temperature,n_years,mean_actual_champion_prob,median_actual_champion_prob,mean_top_pick_prob,mean_top4_mass,mean_top8_mass,top_pick_hit_rate,mean_multiclass_brier,mean_champion_log_loss
1.0,14,0.7203095238095237,0.7741666666666667,0.7311190476190476,0.9295000000000001,0.9821428571428571,0.9285714285714286,0.16744890476190477,0.4093535019419878
1.1,14,0.6919285714285713,0.7418333333333333,0.7016904761904762,0.9145238095238096,0.975047619047619,0.9285714285714286,0.18544468253968255,0.4540717887267925
1.25,14,0.6487380952380952,0.6910000000000001,0.6566190476190475,0.8870238095238095,0.9616190476190477,0.9285714285714286,0.21373103174603175,0.522119216677212
1.4,14,0.6063809523809524,0.646,0.6131428571428571,0.857452380952381,0.9452380952380952,0.9285714285714286,0.24530777777777782,0.5967013243418703
1.6,14,0.5580952380952381,0.5878333333333333,0.5628809523809524,0.8192142857142857,0.919952380952381,0.8571428571428571,0.2821060634920635,0.6837116094744322
1.8,14,0.509595238095238,0.532,0.5144761904761904,0.7774047619047619,0.8914285714285716,0.8571428571428571,0.32268753968253966,0.7784881434830799
2.0,14,0.46814285714285714,0.49566666666666664,0.4729285714285715,0.7371904761904762,0.8625714285714287,0.8571428571428571,0.35967474603174604,0.8668078795350235
2.25,14,0.4183809523809524,0.4421666666666667,0.4224285714285715,0.6877142857142857,0.8237142857142857,0.8571428571428571,0.4090274444444445,0.9825894065999752
2.5,14,0.3775952380952381,0.40166666666666667,0.3811666666666667,0.6405238095238096,0.7841190476190476,0.8571428571428571,0.4514340793650793,1.0866944028938206
3.0,14,0.3099761904761905,0.33166666666666667,0.3131904761904762,0.5591666666666667,0.7092380952380951,0.8571428571428571,0.5291667936507937,1.2842291901911798
