team,Seas_Def_Rebound_Per
UNLV,0.7090000000000001
Iowa,0.708
Old Dominion,0.708
Southern,0.708
Siena,0.708
Georgetown,0.708
Rutgers,0.708
Michigan,0.7070000000000001
Ohio,0.7070000000000001
Kansas St,0.7070000000000001
UTEP,0.706
Norfolk St,0.706
Oral Roberts,0.706
Nicholls,0.706
Penn St,0.705
Abl Christian,0.705
Jackson St,0.705
E Michigan,0.705
Utah Tech,0.705
San Diego,0.705
E Carolina,0.705
St Francis PA,0.705
Air Force,0.7040000000000001
West Virginia,0.703
Fairfield,0.703
VMI,0.7020000000000001
Florida A&M,0.7020000000000001
Stonehill,0.7020000000000001
Cornell,0.701
N Texas,0.701
Buffalo,0.701
C Michigan,0.7
NC Asheville,0.6990000000000001
Lamar,0.6990000000000001
Tennessee St,0.698
Sacred Heart,0.698
Milwaukee,0.698
Louisiana,0.6970000000000001
S Alabama,0.6970000000000001
DePaul,0.6970000000000001
Samford,0.6970000000000001
Stetson,0.696
Tulane,0.695
Monmouth,0.695
Delaware St,0.695
NJIT,0.6940000000000001
Syracuse,0.693
Hampton,0.693
Campbell,0.6920000000000001
Alabama A&M,0.6920000000000001
Florida St,0.69
Tarleton St,0.6890000000000001
Memphis,0.6890000000000001
Bethune,0.687
Winthrop,0.6859999999999999
N Kentucky,0.685
Grambling,0.685
Radford,0.684
S Utah,0.684
UT Rio Grande,0.684
Georgia So,0.684
Elon,0.6829999999999999
E Texas A&M,0.682
NC Central,0.679
Maryland ES,0.679
Cleveland St,0.6779999999999999
AR-Pine Bluff,0.6779999999999999
Cal Poly,0.6759999999999999
Hou Christian,0.6759999999999999
NC A&T,0.675
NW State,0.6729999999999999
Merrimack,0.672
Mississippi,0.6709999999999999
Pacific,0.669
SC Upstate,0.6659999999999999
New Orleans,0.6659999999999999
Prairie View,0.665
Chicago St,0.664
Missouri,0.664
Detroit Mercy,0.659
IU Indy,0.657
Miss Valley St,0.6559999999999999
Morgan St,0.652
Florida Intl,0.65
Coppin St,0.635
