team,Seas_Opp_Off_Rebound
Saint Mary's,0.185
Boston U,0.203
North Carolina,0.205
Arizona,0.207
N Iowa,0.209
Indiana St,0.21100000000000002
BYU,0.212
Dartmouth,0.212
Drake,0.213
Pittsburgh,0.214
Washington St,0.214
Boise St,0.215
Kansas City,0.215
Villanova,0.217
Binghamton,0.217
San Francisco,0.217
Yale,0.218
Lehigh,0.22
Drexel,0.22
W Carolina,0.221
Vermont,0.221
Hawai'i,0.223
Colgate,0.225
Weber St,0.225
Wisconsin,0.225
Loyola Chi,0.22699999999999998
Bowling Green,0.228
Missouri St,0.228
Purdue,0.228
Colorado,0.228
Cal Baptist,0.22899999999999998
Cincinnati,0.22899999999999998
High Point,0.23
UConn,0.231
North Dakota,0.23199999999999998
Creighton,0.23199999999999998
N Colorado,0.23399999999999999
N Dakota St,0.23399999999999999
Wake Forest,0.23600000000000002
CS Northridge,0.23600000000000002
Fordham,0.23600000000000002
S Dakota St,0.23600000000000002
Texas A&M-CC,0.237
Akron,0.237
Utah,0.237
Sacramento St,0.23800000000000002
Liberty,0.23800000000000002
Jacksonville St,0.23800000000000002
S Illinois,0.23800000000000002
Santa Clara,0.239
Louisiana Tech,0.239
Illinois,0.239
Morehead St,0.239
Army,0.239
Clemson,0.239
St Thomas,0.24
California,0.24
Murray St,0.24
Duke,0.24
Towson,0.24
Utah Valley,0.24100000000000002
W Kentucky,0.24100000000000002
Princeton,0.24100000000000002
Illinois St,0.242
Loyola MD,0.242
Charleston,0.242
Utah St,0.243
UCSB,0.243
UC Riverside,0.243
App State,0.243
Providence,0.243
New Hampshire,0.244
UT Martin,0.244
Seattle,0.244
Stanford,0.244
Pepperdine,0.244
UC Irvine,0.244
Kansas,0.244
Penn,0.244
Evansville,0.244
Oregon,0.245
Nevada,0.24600000000000002
American,0.24600000000000002
Richmond,0.24600000000000002
C Connecticut,0.247
Furman,0.247
Wofford,0.247
Oklahoma,0.247
UCF,0.247
Illinois Chicago,0.247
Northeastern,0.248
Virginia Tech,0.248
Boston College,0.248
UMass Lowell,0.249
New Mexico,0.249
Baylor,0.25
UCSD,0.25
Marist,0.251
Sam Houston,0.251
South Carolina,0.251
George Mason,0.251
VCU,0.251
Loyola Mymt,0.251
Omaha,0.251
Gardner-Webb,0.252
Notre Dame,0.252
Northwestern,0.252
J Madison,0.252
Brown,0.252
Youngstown St,0.253
SIU Edward,0.253
Delaware,0.253
N Alabama,0.253
Montana,0.253
The Citadel,0.253
Louisville,0.253
Portland St,0.254
Wagner,0.254
TCU,0.255
Colorado St,0.256
FGCU,0.256
Longwood,0.256
Mississippi St,0.256
Michigan St,0.256
Idaho St,0.256
Niagara,0.257
UTSA,0.257
Minnesota,0.257
Ball St,0.257
Mt St Mary's,0.258
Belmont,0.258
G Washington,0.258
Denver,0.258
E Washington,0.258
S Indiana,0.259
Texas A&M,0.259
UCLA,0.26
Seton Hall,0.26
Tenn Tech,0.26
Georgia Tech,0.261
Holy Cross,0.261
St Bonaventure,0.261
Miami,0.261
Davidson,0.262
Marshall,0.262
Florida,0.263
Virginia,0.263
Saint Louis,0.263
NC State,0.263
Saint Joseph's,0.263
Tennessee,0.264
Columbia,0.264
Gonzaga,0.264
Presbyterian,0.264
Dayton,0.265
Canisius,0.265
Arkansas St,0.265
E Illinois,0.265
W Illinois,0.265
Ohio St,0.265
Toledo,0.266
Long Beach St,0.266
Alabama St,0.266
Maryland,0.266
Idaho,0.266
Chattanooga,0.267
Wichita St,0.267
Purdue FW,0.267
Grand Canyon,0.267
William & Mary,0.267
Bradley,0.268
Quinnipiac,0.268
Lafayette,0.268
Bucknell,0.268
Maine,0.268
Washington,0.26899999999999996
Xavier,0.27
Green Bay,0.27
Texas St,0.27
Portland,0.27
Hofstra,0.27
Wright St,0.27
San Diego St,0.271
Indiana,0.271
Montana St,0.271
UAB,0.271
Butler,0.271
Charlotte,0.271
