team,Seas_Poss
Kennesaw St,77.5
Bryant,77.4
W Kentucky,77.2
UMBC,76.8
Kentucky,76.7
VMI,76.3
Arizona,76.3
Alabama,76.3
Tulane,76.2
Florida,76.0
Albany,75.9
Samford,75.7
UT Martin,75.5
CS Northridge,75.4
Washington,75.2
F Dickinson,75.2
Queens,75.2
UT Rio Grande,75.1
Arkansas,74.9
Hou Christian,74.9
AR-Pine Bluff,74.8
Wright St,74.7
New Hampshire,74.6
Long Beach St,74.6
UTSA,74.5
Memphis,74.4
Iowa,74.3
New Mexico,74.2
G Washington,74.2
Utah Tech,74.1
UMass Lowell,74.1
Marshall,74.1
New Orleans,74.1
UT Arlington,73.9
Florida St,73.9
SF Austin,73.9
San Diego,73.8
Tulsa,73.8
Morgan St,73.8
Troy,73.7
Florida Intl,73.7
Purdue FW,73.7
Denver,73.7
Alabama A&M,73.7
Milwaukee,73.6
Stanford,73.6
Prairie View,73.6
Incarnate Word,73.6
J Madison,73.6
Xavier,73.5
Coastal Car,73.4
TCU,73.4
Old Dominion,73.3
Belmont,73.3
Syracuse,73.3
LIU,73.3
Utah,73.3
North Carolina,73.3
N Colorado,73.2
Furman,73.2
Bethune,73.1
Indiana St,73.1
California,73.1
Cornell,73.0
Georgia,73.0
S Utah,72.9
Georgia So,72.9
Youngstown St,72.8
Abl Christian,72.8
LSU,72.8
USC,72.7
Quinnipiac,72.7
Butler,72.6
Fordham,72.6
Lehigh,72.5
Alabama St,72.5
Auburn,72.5
Penn St,72.5
Arizona St,72.5
Lamar,72.4
S Carolina St,72.4
Toledo,72.4
Georgia St,72.4
S Alabama,72.4
E Kentucky,72.4
Florida Atlantic,72.3
Illinois,72.3
South Dakota,72.2
UTEP,72.2
Louisiana,72.2
Delaware St,72.2
Gardner-Webb,72.2
E Washington,72.2
App State,72.1
Little Rock,72.1
Charleston,72.1
C Arkansas,72.1
Jackson St,72.1
Buffalo,72.1
E Texas A&M,72.1
Sacred Heart,72.1
Texas A&M-CC,72.0
Nicholls,72.0
Louisville,72.0
N Illinois,71.9
Utah St,71.9
Arkansas St,71.9
Kansas St,71.9
BYU,71.9
Miami,71.9
Grand Canyon,71.8
Illinois Chicago,71.8
UC Irvine,71.8
Wichita St,71.8
NC Asheville,71.7
Howard,71.7
UAB,71.7
Hampton,71.7
Lipscomb,71.7
Bowling Green,71.6
Nebraska,71.6
Florida A&M,71.6
Tennessee,71.6
Mt St Mary's,71.6
Portland St,71.5
NW State,71.5
S Indiana,71.5
St John's,71.5
UMass,71.5
Kansas,71.4
Santa Clara,71.4
N Alabama,71.4
Loyola Chi,71.4
SE Missouri St,71.3
Manhattan,71.3
UCF,71.3
Michigan,71.3
Colorado,71.3
Drake,71.3
Montana St,71.3
Texas So,71.2
Southern,71.2
Columbia,71.2
Winthrop,71.2
Utah Valley,71.2
Tennessee St,71.1
Sam Houston,71.1
N Arizona,71.1
Seattle,71.1
Marquette,71.0
Evansville,71.0
Stonehill,71.0
Saint Louis,71.0
Robert Morris,71.0
