team,Seas_Off_Rebound_Per
Virginia Tech,0.22899999999999998
UMBC,0.22899999999999998
Air Force,0.228
Butler,0.22699999999999998
Sacred Heart,0.22699999999999998
Colorado St,0.226
Fresno St,0.226
N Dakota St,0.226
Manhattan,0.225
N Arizona,0.225
N Florida,0.22399999999999998
Liberty,0.22399999999999998
S Dakota St,0.223
Villanova,0.223
N Colorado,0.222
Drake,0.221
Weber St,0.221
N Iowa,0.22
Niagara,0.21899999999999997
UT Rio Grande,0.218
Lafayette,0.218
VMI,0.217
Princeton,0.217
E Texas A&M,0.21600000000000003
Lindenwood,0.215
Syracuse,0.215
Le Moyne,0.215
NC A&T,0.214
Cal Poly,0.214
Holy Cross,0.213
Marist,0.213
Purdue FW,0.21100000000000002
Indiana St,0.21
SC Upstate,0.21
New Hampshire,0.21
Campbell,0.209
Lipscomb,0.20800000000000002
St Thomas,0.20800000000000002
Stanford,0.20800000000000002
Vermont,0.207
Maine,0.20600000000000002
Miami OH,0.205
Portland,0.205
Illinois Chicago,0.205
S Alabama,0.204
San Jose St,0.203
Hofstra,0.203
Stonehill,0.20199999999999999
Merrimack,0.20199999999999999
Idaho,0.2
Bryant,0.19899999999999998
AR-Pine Bluff,0.198
Belmont,0.19699999999999998
Evansville,0.196
Oral Roberts,0.19399999999999998
Arizona St,0.19399999999999998
Lehigh,0.193
Dartmouth,0.19
Montana St,0.18899999999999997
DePaul,0.187
Bellarmine,0.18600000000000003
Tulane,0.174
Tenn Tech,0.16699999999999998
Pacific,0.159
Richmond,0.157
