team,Seas_Opp_Def_Rebound
Texas A&M,0.585
Towson,0.612
St John's,0.63
Saint Mary's,0.63
Purdue,0.631
Houston,0.632
SMU,0.635
Florida,0.636
High Point,0.638
S Carolina St,0.639
UConn,0.643
Longwood,0.645
W Illinois,0.645
Cincinnati,0.649
UMass,0.6509999999999999
Arizona,0.654
Milwaukee,0.657
TCU,0.6579999999999999
Illinois,0.659
Seton Hall,0.662
E Tennessee St,0.665
Mississippi St,0.665
Alabama,0.6659999999999999
UAB,0.669
Jacksonville,0.669
Santa Clara,0.669
Baylor,0.67
Arkansas St,0.6729999999999999
Troy,0.6729999999999999
Grand Canyon,0.6759999999999999
Saint Peter's,0.6759999999999999
Charleston,0.677
Louisiana Tech,0.6779999999999999
W Michigan,0.6779999999999999
Sacramento St,0.6779999999999999
Jackson St,0.6779999999999999
Drexel,0.6779999999999999
Cleveland St,0.679
Memphis,0.679
Gonzaga,0.682
Robert Morris,0.682
UT Arlington,0.682
Texas A&M-CC,0.682
Washington St,0.6829999999999999
Jacksonville St,0.6829999999999999
Youngstown St,0.6829999999999999
Lamar,0.6829999999999999
North Carolina,0.6829999999999999
Tennessee,0.684
CS Bakersfield,0.684
Canisius,0.684
Florida Atlantic,0.685
Fordham,0.685
Long Beach St,0.685
Auburn,0.685
SF Austin,0.6859999999999999
UL Monroe,0.687
E Kentucky,0.687
Siena,0.688
UCF,0.688
New Mexico,0.688
E Carolina,0.6890000000000001
San Diego St,0.6890000000000001
Georgetown,0.6890000000000001
BYU,0.69
Delaware St,0.69
Howard,0.691
Boise St,0.691
N Texas,0.691
Quinnipiac,0.691
Alcorn St,0.6920000000000001
St Francis PA,0.6920000000000001
McNeese,0.6920000000000001
Kansas St,0.693
Cal Baptist,0.6940000000000001
Chicago St,0.6940000000000001
Maryland,0.695
Little Rock,0.696
Sam Houston,0.6970000000000001
Brown,0.6970000000000001
Georgia Tech,0.698
Northeastern,0.698
Morehead St,0.701
South Carolina,0.701
Norfolk St,0.7020000000000001
Iowa St,0.7020000000000001
Ohio St,0.7020000000000001
Duke,0.703
UMass Lowell,0.703
Kansas City,0.7040000000000001
Monmouth,0.7040000000000001
Alabama A&M,0.705
Rider,0.706
UTSA,0.706
J Madison,0.7070000000000001
LSU,0.7070000000000001
Pittsburgh,0.7090000000000001
Colorado,0.7090000000000001
George Mason,0.7090000000000001
UC Irvine,0.7090000000000001
Navy,0.71
Kent St,0.71
Wichita St,0.71
SE Louisiana,0.71
Oakland,0.711
Albany,0.711
NC Central,0.711
Alabama St,0.713
Radford,0.713
North Dakota,0.7140000000000001
Tarleton St,0.7140000000000001
Louisiana,0.7140000000000001
App State,0.7140000000000001
NC Wilmington,0.7140000000000001
Mt St Mary's,0.7140000000000001
Texas So,0.7140000000000001
Michigan St,0.7140000000000001
Idaho St,0.715
Loyola Mymt,0.715
CS Northridge,0.715
Michigan,0.715
Bowling Green,0.715
Texas Tech,0.716
Wisconsin,0.716
Incarnate Word,0.716
Xavier,0.716
Oklahoma,0.7170000000000001
Wofford,0.7170000000000001
Missouri St,0.7170000000000001
Texas St,0.718
NC Greensboro,0.718
San Francisco,0.718
NW State,0.718
W Carolina,0.7190000000000001
Rutgers,0.7190000000000001
Mississippi,0.7190000000000001
Austin Peay,0.7190000000000001
Winthrop,0.7190000000000001
Seattle,0.72
St Bonaventure,0.721
Duquesne,0.721
FGCU,0.721
Texas,0.722
UCLA,0.722
Kennesaw St,0.722
Portland St,0.723
Mercer,0.723
Marshall,0.723
UNLV,0.725
Illinois St,0.725
Furman,0.726
Saint Joseph's,0.726
Wright St,0.727
Minnesota,0.727
UTEP,0.728
Samford,0.728
Akron,0.7290000000000001
Bethune,0.7290000000000001
Wagner,0.7290000000000001
Elon,0.73
N Kentucky,0.73
Coastal Car,0.73
SIU Edward,0.731
Toledo,0.731
USC,0.731
Utah Valley,0.732
C Michigan,0.732
NC State,0.732
Iona,0.732
Hou Christian,0.733
William & Mary,0.733
Morgan St,0.733
California,0.733
Florida St,0.7340000000000001
Bradley,0.7340000000000001
Loyola MD,0.7340000000000001
NJIT,0.7340000000000001
IU Indy,0.735
UC Riverside,0.735
VCU,0.735
UC Davis,0.736
Miami,0.736
Oregon,0.736
Notre Dame,0.736
Penn,0.736
Rhode Island,0.736
C Arkansas,0.736
N Illinois,0.737
Binghamton,0.737
Southern Miss,0.737
W Kentucky,0.737
Pepperdine,0.737
Gardner-Webb,0.738
Maryland ES,0.738
Rice,0.7390000000000001
Grambling,0.7390000000000001
Kentucky,0.7390000000000001
S Florida,0.7390000000000001
American,0.74
Wyoming,0.74
Utah St,0.74
Louisville,0.74
Vanderbilt,0.74
Georgia So,0.741
Utah Tech,0.741
Nebraska,0.742
Nevada,0.742
Ohio,0.742
S Indiana,0.742
C Connecticut,0.742
Middle Tenn,0.743
Temple,0.743
Fairfield,0.743
New Orleans,0.743
Yale,0.745
Stetson,0.745
Clemson,0.745
Utah,0.745
Tennessee St,0.745
Miss Valley St,0.746
S Utah,0.746
UCSD,0.746
F Dickinson,0.747
Chattanooga,0.747
NC Asheville,0.747
Georgia St,0.747
Hampton,0.747
E Illinois,0.748
Providence,0.748
Iowa,0.748
Boston College,0.748
Buffalo,0.748
Indiana,0.7490000000000001
Queens,0.7490000000000001
Charleston So,0.75
E Michigan,0.75
Nicholls,0.7509999999999999
Florida A&M,0.7509999999999999
Ball St,0.7509999999999999
The Citadel,0.7509999999999999
Murray St,0.7509999999999999
Oklahoma St,0.752
Loyola Chi,0.752
N Alabama,0.752
Southern,0.752
Columbia,0.752
Cornell,0.752
Army,0.753
UT Martin,0.753
South Dakota,0.754
San Diego,0.754
Penn St,0.755
Boston U,0.755
E Washington,0.755
Delaware,0.755
Green Bay,0.7559999999999999
Davidson,0.7559999999999999
Detroit Mercy,0.7559999999999999
Kansas,0.7559999999999999
Coppin St,0.7559999999999999
Denver,0.757
West Virginia,0.757
Stony Brook,0.757
Marquette,0.758
Florida Intl,0.759
Dayton,0.759
Missouri,0.759
Northwestern,0.759
Charlotte,0.759
Presbyterian,0.76
Valparaiso,0.76
Washington,0.76
Prairie View,0.7609999999999999
Harvard,0.7609999999999999
Creighton,0.7609999999999999
New Mexico St,0.762
Colgate,0.763
Georgia,0.763
S Illinois,0.763
Saint Louis,0.763
Wake Forest,0.764
UCSB,0.764
Virginia,0.7659999999999999
Old Dominion,0.767
La Salle,0.767
Bucknell,0.767
Arkansas,0.767
G Washington,0.768
Oregon St,0.768
Abl Christian,0.769
Omaha,0.769
CS Fullerton,0.769
LIU,0.77
Tulsa,0.77
Hawai'i,0.77
Montana,0.7709999999999999
SE Missouri St,0.7709999999999999
Virginia Tech,0.7709999999999999
UMBC,0.7709999999999999
Air Force,0.772
Butler,0.773
Sacred Heart,0.773
Colorado St,0.774
Fresno St,0.774
N Dakota St,0.774
Manhattan,0.775
N Arizona,0.775
N Florida,0.7759999999999999
Liberty,0.7759999999999999
S Dakota St,0.777
Villanova,0.777
N Colorado,0.778
Drake,0.779
Weber St,0.779
N Iowa,0.78
Niagara,0.7809999999999999
UT Rio Grande,0.782
Lafayette,0.782
VMI,0.7829999999999999
Princeton,0.7829999999999999
E Texas A&M,0.784
Lindenwood,0.785
Syracuse,0.785
Le Moyne,0.785
NC A&T,0.7859999999999999
Cal Poly,0.7859999999999999
Holy Cross,0.787
Marist,0.787
Purdue FW,0.789
Indiana St,0.79
SC Upstate,0.79
New Hampshire,0.79
Campbell,0.7909999999999999
Lipscomb,0.792
St Thomas,0.792
Stanford,0.792
Vermont,0.7929999999999999
Maine,0.794
Miami OH,0.795
Portland,0.795
Illinois Chicago,0.795
S Alabama,0.7959999999999999
San Jose St,0.797
Hofstra,0.797
Stonehill,0.7979999999999999
Merrimack,0.7979999999999999
Idaho,0.8
Bryant,0.8009999999999999
AR-Pine Bluff,0.802
Belmont,0.8029999999999999
Evansville,0.804
Oral Roberts,0.8059999999999999
Arizona St,0.8059999999999999
Lehigh,0.807
Dartmouth,0.81
Montana St,0.8109999999999999
DePaul,0.813
Bellarmine,0.8140000000000001
Tulane,0.826
Tenn Tech,0.833
Pacific,0.841
Richmond,0.843
