team,Seas_FT_Succ
Villanova,0.8079999999999999
Indiana St,0.8009999999999999
Princeton,0.8009999999999999
Montana,0.7979999999999999
Wake Forest,0.795
Virginia Tech,0.7929999999999999
Missouri,0.792
Butler,0.7879999999999999
Creighton,0.7879999999999999
Colorado,0.784
High Point,0.7829999999999999
Seton Hall,0.782
N Florida,0.7809999999999999
VCU,0.7809999999999999
Texas Tech,0.78
Clemson,0.78
Lipscomb,0.778
Bellarmine,0.7759999999999999
Ball St,0.775
St Bonaventure,0.774
Iowa,0.774
Quinnipiac,0.772
Alabama,0.772
Kentucky,0.772
N Alabama,0.772
UT Martin,0.77
S Illinois,0.77
Youngstown St,0.77
E Washington,0.769
Ohio St,0.767
Tennessee St,0.765
NC Wilmington,0.765
Le Moyne,0.765
Tarleton St,0.763
Stetson,0.763
Wright St,0.76
Nebraska,0.76
San Francisco,0.759
North Carolina,0.759
Bethune,0.758
Morgan St,0.758
AR-Pine Bluff,0.758
Oakland,0.757
Texas,0.757
Fairfield,0.757
Georgia St,0.7559999999999999
Hofstra,0.7559999999999999
Saint Louis,0.7559999999999999
Drake,0.7559999999999999
Arkansas,0.7559999999999999
Wisconsin,0.755
Toledo,0.754
Oral Roberts,0.754
Rider,0.753
UC Irvine,0.752
Charlotte,0.752
Northwestern,0.752
Colorado St,0.752
Howard,0.752
C Arkansas,0.7509999999999999
NC Asheville,0.7509999999999999
South Dakota,0.7509999999999999
UC Davis,0.7509999999999999
Tennessee,0.7509999999999999
Auburn,0.75
Boston College,0.75
Wyoming,0.7490000000000001
Chattanooga,0.7490000000000001
Grand Canyon,0.7490000000000001
Little Rock,0.748
S Alabama,0.748
Omaha,0.748
Niagara,0.748
Northeastern,0.748
Penn St,0.747
Louisville,0.746
Xavier,0.746
Miami,0.745
G Washington,0.745
UCSB,0.7440000000000001
Notre Dame,0.7440000000000001
S Indiana,0.7440000000000001
Stony Brook,0.7440000000000001
UConn,0.743
UCSD,0.743
Oklahoma,0.743
UAB,0.743
New Hampshire,0.743
BYU,0.742
George Mason,0.742
Idaho,0.741
Boise St,0.741
SE Louisiana,0.74
Lehigh,0.74
Dayton,0.74
UMass Lowell,0.74
N Texas,0.74
Seattle,0.7390000000000001
UT Arlington,0.738
Weber St,0.738
Louisiana,0.738
Kent St,0.738
Tulsa,0.738
Milwaukee,0.737
S Florida,0.737
Oregon St,0.737
Illinois,0.736
E Illinois,0.736
Baylor,0.735
Furman,0.735
Bradley,0.735
Detroit Mercy,0.735
Loyola Mymt,0.735
DePaul,0.733
Radford,0.733
Cornell,0.733
NC State,0.733
Charleston So,0.733
UNLV,0.732
Belmont,0.732
Merrimack,0.732
Richmond,0.732
UCLA,0.732
Columbia,0.732
Georgia So,0.732
Lamar,0.732
Troy,0.731
Abl Christian,0.731
TCU,0.731
Tulane,0.731
NC Greensboro,0.731
San Diego St,0.73
Davidson,0.73
Ohio,0.7290000000000001
Norfolk St,0.7290000000000001
Montana St,0.7290000000000001
Lindenwood,0.728
Hawai'i,0.728
Mississippi,0.728
Stanford,0.728
St John's,0.728
S Utah,0.728
SIU Edward,0.727
Green Bay,0.727
Nicholls,0.727
California,0.727
N Colorado,0.727
Gonzaga,0.726
Kansas City,0.726
Coppin St,0.726
Saint Joseph's,0.726
Albany,0.725
N Dakota St,0.725
Memphis,0.725
Mt St Mary's,0.725
Drexel,0.7240000000000001
Akron,0.7240000000000001
St Thomas,0.7240000000000001
Texas So,0.7240000000000001
CS Bakersfield,0.7240000000000001
American,0.7240000000000001
La Salle,0.723
Valparaiso,0.723
Charleston,0.723
Incarnate Word,0.723
LSU,0.723
IU Indy,0.723
Duke,0.723
Boston U,0.723
Kansas,0.722
Maine,0.722
Providence,0.722
Alabama A&M,0.722
Manhattan,0.722
Washington,0.722
Evansville,0.721
Nevada,0.721
Syracuse,0.721
Sam Houston,0.721
Samford,0.721
San Diego,0.721
W Kentucky,0.721
Maryland,0.72
N Kentucky,0.72
Georgia,0.72
Kansas St,0.72
Purdue,0.72
Florida Atlantic,0.72
Robert Morris,0.7190000000000001
Oregon,0.7190000000000001
Miami OH,0.7190000000000001
Sacramento St,0.7190000000000001
Campbell,0.7190000000000001
Alabama St,0.7190000000000001
Vermont,0.718
Saint Peter's,0.718
S Dakota St,0.718
Denver,0.718
Utah St,0.718
CS Fullerton,0.7170000000000001
Illinois St,0.7170000000000001
Arizona,0.7170000000000001
Duquesne,0.716
Prairie View,0.716
Alcorn St,0.716
Bucknell,0.716
New Mexico,0.716
Florida,0.715
Morehead St,0.715
UTSA,0.715
Monmouth,0.715
N Iowa,0.7140000000000001
Tenn Tech,0.7140000000000001
Georgetown,0.7140000000000001
Santa Clara,0.7140000000000001
Texas A&M-CC,0.7140000000000001
Navy,0.7140000000000001
Hampton,0.7140000000000001
UC Riverside,0.7140000000000001
Portland,0.7140000000000001
Maryland ES,0.713
Austin Peay,0.713
NC A&T,0.713
W Carolina,0.7120000000000001
South Carolina,0.711
Buffalo,0.711
UT Rio Grande,0.711
Missouri St,0.711
Bowling Green,0.71
Queens,0.71
Temple,0.71
Georgia Tech,0.7090000000000001
Delaware St,0.7090000000000001
UMBC,0.7090000000000001
Vanderbilt,0.7090000000000001
Grambling,0.7090000000000001
Long Beach St,0.708
Pittsburgh,0.708
New Orleans,0.708
Michigan St,0.708
Southern Miss,0.708
Florida St,0.7070000000000001
C Connecticut,0.7070000000000001
The Citadel,0.7070000000000001
Elon,0.7070000000000001
NJIT,0.7070000000000001
Texas A&M,0.7070000000000001
Delaware,0.7070000000000001
Purdue FW,0.706
Marshall,0.706
Jacksonville,0.706
West Virginia,0.705
Yale,0.705
SF Austin,0.705
Harvard,0.705
Washington St,0.7040000000000001
Pepperdine,0.7040000000000001
Cal Poly,0.7040000000000001
Jackson St,0.7040000000000001
North Dakota,0.7040000000000001
Chicago St,0.703
Marquette,0.703
Michigan,0.703
Iowa St,0.7020000000000001
VMI,0.7020000000000001
UCF,0.7020000000000001
Middle Tenn,0.7020000000000001
Arkansas St,0.7020000000000001
Louisiana Tech,0.701
Wagner,0.7
J Madison,0.7
FGCU,0.7
San Jose St,0.6990000000000001
UMass,0.6990000000000001
Sacred Heart,0.6990000000000001
Murray St,0.698
Oklahoma St,0.6970000000000001
Stonehill,0.6970000000000001
NC Central,0.6970000000000001
Marist,0.6970000000000001
S Carolina St,0.696
Winthrop,0.696
N Arizona,0.696
McNeese,0.696
F Dickinson,0.696
Rice,0.695
William & Mary,0.695
Texas St,0.6940000000000001
USC,0.693
Florida A&M,0.693
Wichita St,0.693
Longwood,0.6920000000000001
Illinois Chicago,0.6920000000000001
E Texas A&M,0.6920000000000001
Jacksonville St,0.691
Minnesota,0.69
Cincinnati,0.688
Portland St,0.688
E Carolina,0.687
App State,0.687
Houston,0.687
Cal Baptist,0.687
