team,Seas_Opp_3PT_Rate
Houston,0.401
Dayton,0.401
Kentucky,0.402
San Diego St,0.40299999999999997
F Dickinson,0.405
W Kentucky,0.405
Richmond,0.40700000000000003
St Bonaventure,0.40700000000000003
Navy,0.40700000000000003
Harvard,0.408
Wagner,0.408
C Michigan,0.408
Oakland,0.409
Jacksonville,0.409
Alabama St,0.41
UT Martin,0.41
Boston U,0.41
Kansas,0.41
Clemson,0.41100000000000003
Nevada,0.41100000000000003
Tennessee,0.41100000000000003
N Iowa,0.41100000000000003
Winthrop,0.41100000000000003
DePaul,0.41100000000000003
Mississippi St,0.41200000000000003
Indiana,0.41200000000000003
Nebraska,0.414
LSU,0.414
Yale,0.415
N Kentucky,0.41600000000000004
Michigan St,0.41600000000000004
George Mason,0.41600000000000004
Sacred Heart,0.41700000000000004
Davidson,0.41700000000000004
E Washington,0.418
Cornell,0.419
Chattanooga,0.42
Tulane,0.42
Old Dominion,0.42
C Arkansas,0.42100000000000004
UCLA,0.42200000000000004
Bucknell,0.42200000000000004
Columbia,0.42200000000000004
American,0.423
Stony Brook,0.423
Saint Louis,0.424
New Mexico St,0.424
Hofstra,0.424
Dartmouth,0.424
Omaha,0.425
Seton Hall,0.425
Saint Joseph's,0.425
Memphis,0.42700000000000005
Wofford,0.42700000000000005
Murray St,0.428
FGCU,0.428
Marquette,0.428
West Virginia,0.43
Le Moyne,0.43
Evansville,0.43
Monmouth,0.43200000000000005
E Carolina,0.433
Campbell,0.433
Long Beach St,0.436
Penn,0.43700000000000006
NC Greensboro,0.442
Bellarmine,0.444
CS Northridge,0.445
SE Louisiana,0.44799999999999995
Texas A&M,0.449
UL Monroe,0.449
Portland,0.452
Iowa St,0.452
Villanova,0.45299999999999996
Norfolk St,0.45399999999999996
Alcorn St,0.45799999999999996
Miami,0.461
Stonehill,0.462
Coastal Car,0.466
S Dakota St,0.469
McNeese,0.47600000000000003
