team,Seas_3PT_Rate
N Florida,0.547
Princeton,0.505
Chattanooga,0.505
BYU,0.504
Indiana St,0.495
AR-Pine Bluff,0.494
Cornell,0.486
Creighton,0.485
Furman,0.48200000000000004
Green Bay,0.48200000000000004
Villanova,0.48
William & Mary,0.479
Saint Joseph's,0.478
Le Moyne,0.475
Air Force,0.47200000000000003
Stonehill,0.47
Charleston,0.469
Liberty,0.46799999999999997
Alabama,0.465
Hofstra,0.461
E Texas A&M,0.46
St Thomas,0.46
Wofford,0.45299999999999996
Army,0.451
Morehead St,0.451
Bucknell,0.449
American,0.449
Georgia So,0.445
UTSA,0.445
Portland,0.445
Pittsburgh,0.444
Dayton,0.44299999999999995
Providence,0.44299999999999995
Nebraska,0.44299999999999995
VCU,0.442
NC Greensboro,0.44
Vermont,0.439
S Illinois,0.43700000000000006
New Hampshire,0.43700000000000006
Elon,0.43700000000000006
Kansas City,0.434
Notre Dame,0.433
Oklahoma St,0.43200000000000005
Merrimack,0.431
Penn,0.431
UT Arlington,0.428
Arkansas St,0.428
Dartmouth,0.428
Robert Morris,0.426
Purdue FW,0.426
Kennesaw St,0.425
Hawai'i,0.424
S Florida,0.423
Youngstown St,0.42200000000000004
Fordham,0.42200000000000004
UC Riverside,0.42200000000000004
Temple,0.42100000000000004
Middle Tenn,0.42100000000000004
Oral Roberts,0.42
San Jose St,0.42
Fairfield,0.42
California,0.42
E Washington,0.42
Belmont,0.419
North Dakota,0.418
Montana St,0.41700000000000004
UCSD,0.41700000000000004
Stetson,0.41700000000000004
G Washington,0.41600000000000004
Florida Intl,0.41600000000000004
Bradley,0.41600000000000004
Virginia Tech,0.41600000000000004
Akron,0.41600000000000004
Ohio,0.414
Texas Tech,0.414
Marshall,0.413
Sacramento St,0.413
Oakland,0.413
Buffalo,0.413
Samford,0.41200000000000003
Kansas St,0.41200000000000003
Tennessee,0.41100000000000003
Marquette,0.41100000000000003
Tulsa,0.41100000000000003
South Carolina,0.41100000000000003
Denver,0.41
Stanford,0.41
Georgetown,0.41
Idaho,0.41
E Tennessee St,0.409
Boston U,0.408
Illinois Chicago,0.408
Queens,0.40700000000000003
Brown,0.40700000000000003
Georgia Tech,0.405
Loyola Chi,0.405
Miami,0.40399999999999997
Utah,0.40399999999999997
S Dakota St,0.40399999999999997
Miami OH,0.40299999999999997
Nicholls,0.40299999999999997
Georgia,0.402
UConn,0.402
San Francisco,0.401
Troy,0.4
