team,Seas_Fouls
Saint Peter's,19.3
San Diego,19.3
NJIT,19.3
Troy,19.3
Auburn,19.4
Abl Christian,19.4
Alabama St,19.4
Loyola Chi,19.5
Gardner-Webb,19.5
Albany,19.6
New Orleans,19.7
Florida St,19.7
Alabama,19.8
Arkansas,19.8
Morgan St,19.9
Southern,19.9
UTEP,20.0
Jacksonville,20.0
Georgia So,20.1
Missouri,20.1
Prairie View,20.2
Fordham,20.2
Kansas City,20.2
SE Missouri St,20.3
Tennessee St,20.4
CS Bakersfield,20.5
New Mexico St,20.8
Alabama A&M,20.8
Bethune,20.8
Kennesaw St,20.8
Utah Tech,20.9
S Carolina St,20.9
UT Arlington,21.1
Texas A&M-CC,21.2
CS Northridge,21.3
SF Austin,21.5
S Indiana,21.6
