team,Seas_Succ_3PT
Grand Canyon,0.263
Iowa St,0.263
The Citadel,0.262
Coastal Car,0.262
Siena,0.262
UMass,0.261
Niagara,0.261
Navy,0.261
Washington St,0.26
Colorado,0.26
Cleveland St,0.259
Chicago St,0.258
E Illinois,0.258
Presbyterian,0.256
W Illinois,0.255
W Kentucky,0.253
Bowling Green,0.253
Seton Hall,0.252
UCLA,0.251
Rutgers,0.251
S Utah,0.25
TCU,0.25
Gonzaga,0.25
Miss Valley St,0.25
Norfolk St,0.249
SF Austin,0.249
Little Rock,0.248
App State,0.247
Tarleton St,0.247
Maine,0.245
N Kentucky,0.245
LIU,0.244
Omaha,0.243
Toledo,0.243
Utah St,0.24100000000000002
UAB,0.24100000000000002
Iowa,0.24
Grambling,0.239
UCSB,0.23800000000000002
Rider,0.23800000000000002
Florida St,0.23800000000000002
Wright St,0.237
New Mexico,0.235
Lindenwood,0.233
Arkansas,0.233
UTEP,0.23199999999999998
Bethune,0.231
Kansas,0.23
Louisville,0.228
Binghamton,0.226
UC Irvine,0.22399999999999998
New Orleans,0.22399999999999998
Jacksonville St,0.223
Abl Christian,0.221
Texas A&M-CC,0.221
Longwood,0.22
Alcorn St,0.21899999999999997
UMass Lowell,0.21600000000000003
UL Monroe,0.213
UT Rio Grande,0.212
Hou Christian,0.212
CS Bakersfield,0.21100000000000002
Long Beach St,0.21100000000000002
Utah Valley,0.21
Indiana,0.209
Prairie View,0.205
Delaware St,0.195
CS Northridge,0.193
Morgan St,0.192
Texas St,0.19
Alabama A&M,0.184
IU Indy,0.154
