team,Seas_Opp_3PT_Succ
Louisiana,0.27899999999999997
Seattle,0.29100000000000004
UMass Lowell,0.292
Albany,0.293
NC Central,0.297
Utah St,0.297
J Madison,0.297
Mississippi St,0.298
Oklahoma,0.299
Cleveland St,0.3
Houston,0.301
Green Bay,0.302
Auburn,0.302
S Illinois,0.303
Penn St,0.303
Wagner,0.304
W Illinois,0.304
Virginia,0.305
Boise St,0.305
New Hampshire,0.305
Akron,0.307
New Mexico,0.307
Colgate,0.307
Georgia St,0.308
Pittsburgh,0.308
Hawai'i,0.308
Bryant,0.308
Merrimack,0.31
San Diego St,0.31
LIU,0.311
Texas A&M-CC,0.311
Charlotte,0.311
Tennessee,0.312
C Michigan,0.312
Kansas St,0.312
UConn,0.312
Delaware,0.313
VCU,0.313
UMBC,0.313
Drexel,0.314
AR-Pine Bluff,0.314
Richmond,0.314
N Kentucky,0.315
Purdue,0.315
S Florida,0.315
Iowa St,0.315
Miami OH,0.315
Nevada,0.315
Vermont,0.315
SE Missouri St,0.315
Santa Clara,0.317
Alabama,0.317
Duquesne,0.318
Morehead St,0.318
Marist,0.318
Duke,0.318
S Alabama,0.319
E Michigan,0.319
CS Fullerton,0.319
Charleston So,0.319
Winthrop,0.32
Dayton,0.32
BYU,0.32
Colorado,0.32
N Arizona,0.32
Saint Peter's,0.321
App State,0.321
North Carolina,0.321
SMU,0.321
Texas St,0.321
Nicholls,0.321
UCSB,0.321
Grand Canyon,0.321
UTEP,0.321
Illinois Chicago,0.322
Texas Tech,0.322
Southern,0.322
Creighton,0.32299999999999995
Little Rock,0.32299999999999995
Saint Mary's,0.32299999999999995
Liberty,0.32299999999999995
Maine,0.32299999999999995
Kansas City,0.324
Texas So,0.324
Butler,0.324
Bucknell,0.324
W Kentucky,0.324
Radford,0.324
UNLV,0.325
Sam Houston,0.325
Washington St,0.325
Notre Dame,0.325
Abl Christian,0.325
Illinois St,0.325
Nebraska,0.325
NW State,0.326
Utah Valley,0.326
Georgia Tech,0.326
Temple,0.326
Florida,0.326
Michigan St,0.326
UC Davis,0.327
Purdue FW,0.327
Wichita St,0.327
Montana St,0.327
Tulsa,0.327
Rutgers,0.327
UT Martin,0.327
Tennessee St,0.327
Maryland,0.32799999999999996
Villanova,0.32799999999999996
Davidson,0.32799999999999996
NC Asheville,0.32899999999999996
Navy,0.32899999999999996
Arizona,0.32899999999999996
Kent St,0.33
Colorado St,0.33
Seton Hall,0.33
Belmont,0.33
Maryland ES,0.33
Bradley,0.33
Saint Joseph's,0.33
Coastal Car,0.33
TCU,0.33
Missouri St,0.33
E Carolina,0.331
Georgia,0.331
Wake Forest,0.331
Clemson,0.331
Brown,0.331
Princeton,0.332
CS Northridge,0.332
Army,0.332
Kentucky,0.332
Oregon St,0.332
Lamar,0.332
Miami,0.33299999999999996
S Indiana,0.33299999999999996
Towson,0.33299999999999996
Drake,0.33299999999999996
Chicago St,0.33299999999999996
McNeese,0.33399999999999996
Le Moyne,0.33399999999999996
SE Louisiana,0.33399999999999996
Cornell,0.33399999999999996
Baylor,0.33399999999999996
Xavier,0.335
St Bonaventure,0.335
NC State,0.335
Tarleton St,0.335
LSU,0.335
Louisiana Tech,0.335
N Texas,0.335
UMass,0.335
S Carolina St,0.336
Utah,0.336
Texas,0.336
Cincinnati,0.336
UCSD,0.336
E Tennessee St,0.337
Washington,0.337
Marquette,0.337
UCLA,0.337
Ohio,0.337
Gardner-Webb,0.337
Florida Atlantic,0.337
Mississippi,0.33799999999999997
