team,Seas_Opp_Fouls
Winthrop,22.2
Nevada,21.2
SF Austin,20.9
Arkansas,20.8
High Point,20.6
Grand Canyon,20.5
Purdue,20.3
New Orleans,20.3
Long Beach St,20.2
E Washington,20.0
Alabama A&M,20.0
Alabama,20.0
Kennesaw St,19.9
UT Arlington,19.8
NC Asheville,19.7
Texas A&M,19.7
Tulane,19.7
CS Northridge,19.5
Utah Tech,19.5
Longwood,19.4
Florida,19.4
UTEP,19.4
Samford,19.4
Prairie View,19.3
S Utah,19.3
Wyoming,19.2
UT Rio Grande,19.1
Baylor,19.1
Auburn,19.0
Arizona,19.0
Maryland,19.0
Louisville,19.0
Howard,18.9
Troy,18.8
Louisiana Tech,18.8
UAB,18.8
Ball St,18.8
S Indiana,18.8
Norfolk St,18.8
Abl Christian,18.8
Delaware St,18.8
UL Monroe,18.8
UMass Lowell,18.7
Tulsa,18.7
Florida St,18.7
AR-Pine Bluff,18.7
San Diego St,18.7
North Carolina,18.6
Illinois,18.6
Utah St,18.5
N Illinois,18.5
UC Davis,18.5
Indiana,18.5
S Florida,18.5
Memphis,18.5
McNeese,18.5
Lamar,18.5
Oregon St,18.5
Washington,18.4
UCLA,18.4
Fordham,18.4
Presbyterian,18.4
S Carolina St,18.4
Pacific,18.4
Rhode Island,18.4
Kansas St,18.4
Navy,18.4
Lindenwood,18.4
Hawai'i,18.3
West Virginia,18.3
Texas A&M-CC,18.3
Omaha,18.3
F Dickinson,18.3
UMass,18.3
Saint Peter's,18.3
Wisconsin,18.3
Sam Houston,18.2
Seattle,18.2
NC Central,18.2
Ohio St,18.2
Wright St,18.2
Queens,18.1
Milwaukee,18.1
Tennessee,18.1
Iowa St,18.1
Utah Valley,18.1
Denver,18.1
UCF,18.1
New Mexico,18.1
Cal Baptist,18.1
Toledo,18.0
UC Irvine,18.0
Mississippi St,18.0
Georgia,18.0
Illinois St,18.0
Niagara,18.0
Florida Atlantic,18.0
CS Fullerton,17.9
Incarnate Word,17.9
UCSB,17.9
Santa Clara,17.9
Idaho St,17.9
Oklahoma,17.9
Tennessee St,17.9
Hou Christian,17.9
Bethune,17.8
W Kentucky,17.8
NW State,17.8
Portland St,17.8
UTSA,17.8
Texas St,17.8
Colorado,17.8
Bowling Green,17.8
George Mason,17.7
Portland,17.7
W Michigan,17.7
Gardner-Webb,17.7
Xavier,17.6
Alcorn St,17.6
Penn St,17.6
Brown,17.6
N Iowa,17.6
TCU,17.6
S Illinois,17.6
Wake Forest,17.6
