team,Seas_Turnovers
Princeton,7.9
Virginia,8.1
NC Wilmington,8.5
Richmond,8.6
Northwestern,8.8
Austin Peay,8.9
Houston,8.9
Pittsburgh,9.0
Vermont,9.2
McNeese,9.3
NC A&T,9.4
Murray St,9.4
St Thomas,9.4
Yale,9.5
NC State,9.6
UConn,9.6
Texas A&M,9.6
Drake,9.6
Iowa,9.6
UCSD,9.6
Villanova,9.6
UC Riverside,9.7
Duke,9.7
Bellarmine,9.7
La Salle,9.7
Gonzaga,9.7
Ohio,9.8
Georgia St,9.8
Temple,9.8
Weber St,9.9
Oral Roberts,9.9
Omaha,9.9
Charlotte,9.9
Wisconsin,9.9
Wagner,10.0
Marquette,10.0
Michigan St,10.0
Charleston,10.0
Lipscomb,10.0
Denver,10.1
North Carolina,10.1
Clemson,10.1
W Carolina,10.1
South Carolina,10.1
Montana,10.1
New Mexico,10.1
Iona,10.2
Oregon,10.2
N Alabama,10.2
Nevada,10.2
Tennessee,10.2
Cleveland St,10.3
Navy,10.3
Saint Mary's,10.3
North Dakota,10.3
E Illinois,10.3
Colorado St,10.3
N Iowa,10.3
Iowa St,10.4
San Jose St,10.4
Vanderbilt,10.4
Dayton,10.4
Stony Brook,10.4
Boston College,10.4
Monmouth,10.5
Arizona St,10.5
Hofstra,10.5
SIU Edward,10.5
William & Mary,10.5
Illinois,10.6
Ohio St,10.6
Davidson,10.6
Purdue FW,10.6
UCLA,10.6
Creighton,10.6
Fairfield,10.7
Kentucky,10.7
Radford,10.7
Auburn,10.7
Stetson,10.7
UNLV,10.7
Colgate,10.7
BYU,10.7
Wake Forest,10.7
J Madison,10.7
Toledo,10.7
App State,10.7
Liberty,10.7
Old Dominion,10.7
Mississippi,10.8
E Carolina,10.8
Loyola Mymt,10.8
St Bonaventure,10.8
S Florida,10.8
Holy Cross,10.8
Delaware,10.8
Utah St,10.9
NC Greensboro,10.9
Drexel,10.9
Pepperdine,10.9
Butler,10.9
St John's,10.9
Youngstown St,10.9
Valparaiso,10.9
Washington St,10.9
SC Upstate,11.0
Boise St,11.0
American,11.0
Oakland,11.0
Idaho St,11.0
San Diego St,11.0
Nebraska,11.1
Virginia Tech,11.1
Penn St,11.1
Texas Tech,11.1
S Illinois,11.1
UMass,11.1
UT Martin,11.1
High Point,11.1
Penn,11.2
N Texas,11.2
Arkansas St,11.2
Mercer,11.2
NJIT,11.2
UTSA,11.2
Illinois St,11.3
California,11.3
C Connecticut,11.3
SMU,11.3
Tarleton St,11.3
E Kentucky,11.3
Purdue,11.3
N Florida,11.3
N Colorado,11.4
Akron,11.4
Gardner-Webb,11.4
Georgia,11.4
Maine,11.4
Furman,11.4
Saint Joseph's,11.4
Rutgers,11.4
S Dakota St,11.4
Bowling Green,11.4
Portland St,11.4
N Dakota St,11.4
Le Moyne,11.4
E Michigan,11.4
Syracuse,11.4
Florida Atlantic,11.4
Alabama St,11.4
Idaho,11.5
Utah,11.5
San Francisco,11.5
Queens,11.5
S Alabama,11.6
FGCU,11.6
Texas,11.6
Missouri,11.6
Tulane,11.6
Kansas,11.6
Lafayette,11.6
Cal Baptist,11.6
Duquesne,11.6
Wofford,11.6
Indiana St,11.6
Evansville,11.6
Xavier,11.6
UC Irvine,11.7
Florida,11.7
UAB,11.7
Alcorn St,11.7
George Mason,11.7
Saint Louis,11.7
Washington,11.7
Miami OH,11.7
Presbyterian,11.7
Portland,11.7
Montana St,11.7
Maryland,11.7
Pacific,11.7
Boston U,11.8
Chattanooga,11.8
E Texas A&M,11.8
Alabama,11.8
Louisiana,11.8
Rice,11.8
C Michigan,11.9
Kent St,11.9
Florida St,11.9
Marshall,11.9
Sacred Heart,11.9
Niagara,11.9
Arizona,11.9
Lehigh,12.0
Morehead St,12.0
Arkansas,12.0
Minnesota,12.0
The Citadel,12.0
