team,Seas_3PT_Rate
C Connecticut,0.348
Bryant,0.348
Iona,0.34700000000000003
Houston,0.34700000000000003
Oklahoma St,0.34700000000000003
Arizona,0.34700000000000003
Pepperdine,0.34700000000000003
TCU,0.34700000000000003
Monmouth,0.34600000000000003
Lindenwood,0.34600000000000003
UMass Lowell,0.34600000000000003
UNLV,0.34600000000000003
N Alabama,0.345
Northwestern,0.342
Morehead St,0.341
Kansas,0.341
CS Fullerton,0.341
NC Central,0.34
Longwood,0.33899999999999997
Presbyterian,0.33899999999999997
UL Monroe,0.33899999999999997
Bethune,0.33899999999999997
Jacksonville,0.33899999999999997
Grand Canyon,0.33799999999999997
Florida St,0.337
Jackson St,0.337
Prairie View,0.337
S Illinois,0.336
Gonzaga,0.336
Tennessee St,0.336
S Indiana,0.335
LIU,0.33399999999999996
C Michigan,0.33299999999999996
Memphis,0.33299999999999996
Georgia St,0.33299999999999996
Southern,0.33299999999999996
Indiana,0.332
Saint Mary's,0.332
La Salle,0.332
Gardner-Webb,0.331
S Carolina St,0.33
Maine,0.33
Boston College,0.33
Michigan St,0.32899999999999996
W Michigan,0.32899999999999996
Lamar,0.32799999999999996
Syracuse,0.327
S Utah,0.326
Cleveland St,0.32299999999999995
Yale,0.322
UMass,0.322
Coppin St,0.321
New Mexico,0.317
Portland St,0.317
SE Louisiana,0.316
Milwaukee,0.315
Temple,0.313
Utah Valley,0.312
St John's,0.31
CS Northridge,0.307
New Orleans,0.307
Miss Valley St,0.306
Seton Hall,0.305
Little Rock,0.303
Rider,0.301
W Georgia,0.301
Florida Intl,0.301
E Illinois,0.297
Alcorn St,0.29600000000000004
UAB,0.293
Texas A&M-CC,0.292
Toledo,0.28600000000000003
Detroit Mercy,0.284
Wichita St,0.284
CS Bakersfield,0.284
Texas St,0.278
Norfolk St,0.276
Tarleton St,0.256
Abl Christian,0.253
Morgan St,0.217
Delaware St,0.207
