team,Seas_Fouls
Saint Peter's,18.9
Fordham,18.9
E Illinois,18.9
LIU,18.9
San Francisco,18.9
Alabama,18.9
Chicago St,19.0
Washington St,19.0
Detroit Mercy,19.0
W Kentucky,19.0
Sacramento St,19.0
Wyoming,19.1
Florida St,19.1
AR-Pine Bluff,19.1
Indiana St,19.1
South Dakota,19.1
Howard,19.2
Tarleton St,19.3
Le Moyne,19.3
NC Asheville,19.3
Kennesaw St,19.3
SC Upstate,19.4
Utah Tech,19.4
Oklahoma St,19.4
Tennessee St,19.4
Marshall,19.5
Ohio St,19.6
Georgia So,19.7
Samford,19.8
N Illinois,20.0
Winthrop,20.3
NC Central,20.3
CS Bakersfield,20.6
CS Northridge,21.0
San Diego,21.2
Alabama A&M,21.3
Abl Christian,21.4
S Carolina St,21.5
Denver,22.4
