team,Seas_Opp_Turnover
Notre Dame,10.0
Vermont,10.0
Wisconsin,10.0
New Mexico St,10.0
Miss Valley St,9.9
Dartmouth,9.9
Tulsa,9.8
Louisiana Tech,9.8
Syracuse,9.8
Saint Louis,9.8
Charlotte,9.8
Wright St,9.7
W Carolina,9.7
Ball St,9.7
Virginia,9.7
Stony Brook,9.6
Wofford,9.6
Oral Roberts,9.5
App State,9.4
Charleston So,9.4
W Illinois,9.4
Morehead St,9.4
Drexel,9.4
Rice,9.3
FGCU,9.3
NJIT,9.3
Portland,9.3
Providence,9.2
Penn,9.1
Stetson,9.1
Georgia St,9.0
Holy Cross,9.0
Illinois,9.0
Jacksonville St,8.9
S Dakota St,8.9
Hawai'i,8.8
Binghamton,8.6
Elon,8.6
Creighton,7.9
Butler,7.7
N Dakota St,7.5
Coastal Car,6.8
