team,Seas_Turnovers
Oklahoma St,13.7
Missouri St,13.7
Florida Intl,13.7
CS Northridge,13.7
Jackson St,13.8
Le Moyne,13.8
Memphis,13.9
Charleston So,13.9
Hawai'i,13.9
Little Rock,13.9
Michigan,14.0
SC Upstate,14.0
Kennesaw St,14.0
Florida A&M,14.1
Long Beach St,14.1
Buffalo,14.1
S Carolina St,14.2
Southern Miss,14.2
Indiana St,14.2
Texas So,14.2
Colorado,14.4
Iona,14.4
Washington St,14.6
Gardner-Webb,14.6
CS Fullerton,14.6
Abl Christian,14.7
Mt St Mary's,14.7
AR-Pine Bluff,14.8
Coppin St,14.9
S Utah,15.1
Howard,15.1
SF Austin,15.2
E Texas A&M,15.3
Tennessee St,15.3
Cal Poly,15.7
Alabama A&M,16.0
Miss Valley St,16.1
Tarleton St,16.9
