team,Seas_Opp_Def_Rebound
Tennessee,0.5529999999999999
Florida,0.568
Illinois,0.616
Arizona,0.619
Arkansas St,0.622
Wichita St,0.623
Michigan St,0.629
Virginia,0.63
Robert Morris,0.633
Duke,0.635
Saint Mary's,0.635
Cal Baptist,0.64
Saint Peter's,0.6409999999999999
Louisiana Tech,0.643
UT Martin,0.643
S Florida,0.644
Baylor,0.644
Auburn,0.648
G Washington,0.648
Santa Clara,0.65
Purdue,0.65
Towson,0.652
Fairfield,0.654
Morehead St,0.654
Michigan,0.655
NC Wilmington,0.655
Illinois Chicago,0.6559999999999999
Houston,0.6559999999999999
Texas,0.657
Miami,0.6579999999999999
Lamar,0.6579999999999999
Gonzaga,0.6579999999999999
Kent St,0.66
Longwood,0.6609999999999999
UConn,0.6629999999999999
LIU,0.6629999999999999
New Orleans,0.664
Rice,0.664
Hofstra,0.664
Kennesaw St,0.664
McNeese,0.664
St John's,0.665
Seton Hall,0.665
Howard,0.6659999999999999
W Carolina,0.667
Fordham,0.667
Wyoming,0.6679999999999999
Memphis,0.669
UT Arlington,0.669
Washington,0.669
Sam Houston,0.669
Iowa St,0.67
Troy,0.67
Quinnipiac,0.67
Georgia,0.6709999999999999
SMU,0.672
Missouri,0.6729999999999999
UCF,0.6729999999999999
Akron,0.6729999999999999
Columbia,0.675
BYU,0.675
Kentucky,0.675
Utah Valley,0.675
Tennessee St,0.677
Texas Tech,0.677
Murray St,0.677
Pacific,0.677
TCU,0.677
Florida Intl,0.6779999999999999
Winthrop,0.6779999999999999
Oklahoma,0.679
Texas St,0.679
LSU,0.68
Charlotte,0.68
N Dakota St,0.68
St Bonaventure,0.68
N Texas,0.6809999999999999
Boise St,0.6809999999999999
Pittsburgh,0.6829999999999999
Detroit Mercy,0.6829999999999999
Mt St Mary's,0.6829999999999999
SF Austin,0.6829999999999999
Butler,0.6829999999999999
Idaho St,0.684
Maryland,0.684
E Kentucky,0.684
Louisville,0.684
Yale,0.685
Presbyterian,0.685
Georgetown,0.6859999999999999
UMass,0.6859999999999999
Elon,0.6859999999999999
Campbell,0.687
VCU,0.687
Grand Canyon,0.688
Wright St,0.688
New Mexico St,0.6890000000000001
Lindenwood,0.6890000000000001
Utah St,0.6890000000000001
Mercer,0.691
Rider,0.691
Milwaukee,0.6920000000000001
La Salle,0.6920000000000001
Southern Miss,0.6920000000000001
Oregon,0.6920000000000001
High Point,0.693
Maryland ES,0.693
Virginia Tech,0.6940000000000001
App State,0.6940000000000001
