team,Seas_3PT_Rate
Alabama,0.537
VMI,0.536
Army,0.5329999999999999
Louisville,0.528
Cal Poly,0.526
Wisconsin,0.526
N Florida,0.517
Cornell,0.516
E Kentucky,0.508
Cleveland St,0.508
Nebraska,0.507
Illinois,0.507
Sacred Heart,0.507
Florida St,0.506
Indiana,0.505
Charleston So,0.495
Youngstown St,0.495
Chattanooga,0.49200000000000005
Colorado St,0.49
Georgia So,0.489
C Arkansas,0.48700000000000004
Dartmouth,0.48700000000000004
Liberty,0.486
Creighton,0.48200000000000004
Texas Tech,0.48
Lipscomb,0.479
Bryant,0.479
The Citadel,0.478
Loyola Chi,0.47700000000000004
Loyola MD,0.47200000000000003
Minnesota,0.47200000000000003
UT Martin,0.47100000000000003
Maryland,0.469
Idaho,0.46799999999999997
Queens,0.46799999999999997
G Washington,0.467
St Thomas,0.465
American,0.465
Virginia,0.465
Tulsa,0.465
Furman,0.46299999999999997
Texas A&M,0.46299999999999997
E Texas A&M,0.462
Delaware,0.462
San Francisco,0.461
Merrimack,0.461
App State,0.45899999999999996
Iona,0.45899999999999996
Stony Brook,0.45799999999999996
Belmont,0.457
Drake,0.457
Samford,0.457
Villanova,0.457
Troy,0.456
Oral Roberts,0.456
Buffalo,0.455
Charlotte,0.45399999999999996
Radford,0.45399999999999996
Purdue FW,0.45399999999999996
Middle Tenn,0.45299999999999996
Saint Joseph's,0.45299999999999996
Indiana St,0.452
F Dickinson,0.452
Saint Louis,0.451
Akron,0.451
N Illinois,0.45
Kent St,0.45
Santa Clara,0.45
Tulane,0.45
Arkansas St,0.449
N Kentucky,0.449
Washington St,0.44799999999999995
Murray St,0.44799999999999995
Stetson,0.447
Montana St,0.447
Vermont,0.446
Miami OH,0.446
Princeton,0.445
South Carolina,0.444
Duke,0.444
Duquesne,0.444
Marshall,0.44299999999999995
Oregon St,0.44299999999999995
Stanford,0.442
Rice,0.441
UCSB,0.441
Winthrop,0.441
Davidson,0.44
Georgia,0.439
NC State,0.439
Nicholls,0.439
Oklahoma,0.43799999999999994
S Florida,0.43799999999999994
Boston U,0.43799999999999994
VCU,0.43799999999999994
Cincinnati,0.43799999999999994
Wake Forest,0.43700000000000006
UT Rio Grande,0.43700000000000006
San Diego,0.43700000000000006
Vanderbilt,0.436
Notre Dame,0.435
UC Davis,0.435
Rhode Island,0.435
Jackson St,0.433
Elon,0.43200000000000005
Hofstra,0.431
CS Fullerton,0.431
Evansville,0.431
New Hampshire,0.431
Wofford,0.431
Coastal Car,0.431
Boise St,0.431
Wyoming,0.43
Kennesaw St,0.429
Clemson,0.429
High Point,0.429
West Virginia,0.429
William & Mary,0.428
Oregon,0.428
Bucknell,0.42700000000000005
N Dakota St,0.42700000000000005
California,0.42700000000000005
Pittsburgh,0.426
Mt St Mary's,0.426
Richmond,0.426
J Madison,0.425
Illinois St,0.424
Georgia St,0.424
Boston College,0.424
UCSD,0.423
North Carolina,0.423
IU Indy,0.42100000000000004
Marquette,0.42100000000000004
UL Monroe,0.419
Idaho St,0.419
Montana,0.418
Michigan,0.418
Air Force,0.418
New Mexico,0.418
Iowa,0.41600000000000004
Dayton,0.415
N Colorado,0.415
UTSA,0.413
Missouri St,0.413
Bellarmine,0.41200000000000003
Kansas St,0.41
Fresno St,0.409
Purdue,0.409
W Carolina,0.409
Omaha,0.409
Le Moyne,0.408
Houston,0.408
Utah St,0.40700000000000003
Robert Morris,0.40700000000000003
North Dakota,0.406
Xavier,0.406
Providence,0.405
Stonehill,0.405
Louisiana,0.405
Niagara,0.405
Loyola Mymt,0.40399999999999997
Bradley,0.40399999999999997
UTEP,0.40299999999999997
UConn,0.40299999999999997
NC Greensboro,0.402
Harvard,0.402
NJIT,0.401
Mississippi St,0.401
Ohio St,0.401
Drexel,0.4
New Haven,0.39799999999999996
Lafayette,0.39799999999999996
Gardner-Webb,0.39799999999999996
