team,Seas_Opp_Off_Rebound
Michigan St,0.203
Vermont,0.204
Saint Mary's,0.21100000000000002
Idaho,0.218
N Colorado,0.21899999999999997
Duke,0.221
Boise St,0.221
Florida,0.225
Pacific,0.225
UCSB,0.228
Hawai'i,0.228
Illinois St,0.23199999999999998
NC Wilmington,0.23399999999999999
UMass,0.235
UMBC,0.235
S Dakota St,0.235
N Dakota St,0.23600000000000002
Gonzaga,0.237
Notre Dame,0.237
Portland St,0.237
Texas,0.239
Miami,0.24
Clemson,0.24100000000000002
Samford,0.242
W Carolina,0.243
Grand Canyon,0.243
S Illinois,0.244
New Hampshire,0.244
Stonehill,0.244
Tennessee,0.245
N Iowa,0.245
CS Northridge,0.245
Arizona,0.245
Louisville,0.24600000000000002
North Carolina,0.247
Fordham,0.248
Purdue,0.248
Jacksonville St,0.248
Michigan,0.249
St Thomas,0.249
F Dickinson,0.249
Bowling Green,0.25
Wyoming,0.25
Cincinnati,0.25
Arkansas St,0.25
Navy,0.251
Winthrop,0.252
UCSD,0.252
FGCU,0.253
UAB,0.253
Saint Louis,0.254
New Haven,0.254
Columbia,0.254
San Francisco,0.254
C Arkansas,0.254
Wichita St,0.254
Weber St,0.255
Boston U,0.255
Nebraska,0.256
CS Fullerton,0.256
Nevada,0.256
Cal Baptist,0.256
Long Beach St,0.256
SF Austin,0.256
E Tennessee St,0.256
Furman,0.257
Florida Atlantic,0.257
Pittsburgh,0.257
Army,0.257
W Georgia,0.257
Washington St,0.257
Longwood,0.258
Washington,0.258
Princeton,0.258
Texas St,0.258
Illinois,0.259
UConn,0.259
Holy Cross,0.26
Harvard,0.26
App State,0.26
George Mason,0.261
Loyola MD,0.262
Abl Christian,0.262
BYU,0.262
Minnesota,0.262
W Kentucky,0.262
Iowa,0.262
Iowa St,0.263
Coastal Car,0.263
Miami OH,0.263
Binghamton,0.264
New Mexico,0.264
Lamar,0.265
Boston College,0.265
Maryland,0.265
UT Arlington,0.265
Xavier,0.265
NC A&T,0.265
Marist,0.266
Wisconsin,0.266
Virginia,0.267
Temple,0.267
Montana St,0.267
Idaho St,0.267
G Washington,0.267
Wofford,0.267
Dayton,0.267
W Michigan,0.267
J Madison,0.268
West Virginia,0.268
Kent St,0.268
VCU,0.268
St John's,0.268
Tulsa,0.268
Omaha,0.26899999999999996
California,0.26899999999999996
Yale,0.26899999999999996
Texas A&M-CC,0.26899999999999996
UCF,0.26899999999999996
Green Bay,0.27
TCU,0.27
Milwaukee,0.271
Fairfield,0.271
Bradley,0.271
Kennesaw St,0.271
SE Missouri St,0.271
Southern Miss,0.272
E Michigan,0.272
Jacksonville,0.272
Colorado,0.272
Belmont,0.272
Hampton,0.272
Tennessee St,0.273
Mt St Mary's,0.273
Alabama A&M,0.273
Wright St,0.273
Middle Tenn,0.27399999999999997
Indiana,0.27399999999999997
Charleston So,0.27399999999999997
Brown,0.27399999999999997
UMass Lowell,0.27399999999999997
Austin Peay,0.275
Mercyhurst,0.275
Kansas,0.275
Colgate,0.275
Valparaiso,0.275
Towson,0.275
Akron,0.275
Loyola Chi,0.276
Robert Morris,0.276
Wagner,0.276
Canisius,0.27699999999999997
Le Moyne,0.27699999999999997
Butler,0.27699999999999997
Dartmouth,0.27699999999999997
Providence,0.278
Utah Valley,0.278
Sam Houston,0.278
St Bonaventure,0.278
Lafayette,0.278
Houston,0.278
Presbyterian,0.27899999999999997
Georgia Tech,0.28
Montana,0.28
Louisiana,0.28
Siena,0.28
E Washington,0.28
Stanford,0.28
Drexel,0.281
Louisiana Tech,0.281
New Mexico St,0.281
Hofstra,0.281
UC Riverside,0.281
Cal Poly,0.281
NC Greensboro,0.282
SMU,0.282
Duquesne,0.28300000000000003
American,0.28300000000000003
Ohio St,0.28300000000000003
Northeastern,0.28300000000000003
DePaul,0.284
Colorado St,0.284
Kentucky,0.284
Old Dominion,0.284
Lindenwood,0.284
Cornell,0.284
Davidson,0.285
Texas Tech,0.285
Creighton,0.285
Murray St,0.28600000000000003
UNLV,0.28600000000000003
Penn,0.28600000000000003
Vanderbilt,0.28600000000000003
Missouri,0.287
South Dakota,0.28800000000000003
Florida A&M,0.28800000000000003
Saint Joseph's,0.28800000000000003
Youngstown St,0.28800000000000003
Seattle,0.28800000000000003
S Florida,0.289
Howard,0.289
Mississippi St,0.289
SIU Edward,0.289
Bethune,0.289
Iona,0.289
Bryant,0.29
Evansville,0.29
Detroit Mercy,0.29
NC State,0.29
UT Rio Grande,0.29
C Connecticut,0.29100000000000004
Oklahoma St,0.29100000000000004
UC Davis,0.29100000000000004
Texas So,0.29100000000000004
UC Irvine,0.29100000000000004
Rhode Island,0.29100000000000004
Utah,0.29100000000000004
Seton Hall,0.29100000000000004
LSU,0.292
San Diego St,0.292
Buffalo,0.292
Fresno St,0.292
N Illinois,0.292
Charleston,0.293
Georgetown,0.293
Richmond,0.293
Lipscomb,0.293
SE Louisiana,0.294
Auburn,0.294
N Texas,0.295
Alabama St,0.295
Radford,0.295
Incarnate Word,0.295
Ball St,0.29600000000000004
SC Upstate,0.29600000000000004
Air Force,0.297
Stony Brook,0.297
LIU,0.297
Albany,0.297
La Salle,0.297
Arkansas,0.297
Sacred Heart,0.298
Drake,0.298
Rutgers,0.298
Portland,0.298
Baylor,0.299
Southern,0.299
Chattanooga,0.299
Mississippi,0.299
Niagara,0.299
UT Martin,0.299
N Kentucky,0.299
Villanova,0.299
Bucknell,0.299
Troy,0.3
High Point,0.3
Loyola Mymt,0.3
NJIT,0.3
Delaware,0.3
Oral Roberts,0.3
Indiana St,0.3
N Alabama,0.3
E Kentucky,0.301
Queens,0.301
Utah St,0.301
S Alabama,0.301
Penn St,0.302
NC Asheville,0.302
Missouri St,0.302
Tenn Tech,0.302
The Citadel,0.303
USC,0.303
Denver,0.303
Hou Christian,0.303
Alabama,0.304
Virginia Tech,0.305
William & Mary,0.305
Oregon,0.305
Quinnipiac,0.306
Liberty,0.306
Oklahoma,0.306
UCLA,0.306
Santa Clara,0.307
Oregon St,0.307
Rice,0.307
Illinois Chicago,0.308
Charlotte,0.308
Grambling,0.308
Stetson,0.308
Lehigh,0.308
Ohio,0.308
NW State,0.309
South Carolina,0.31
E Carolina,0.31
Norfolk St,0.31
Syracuse,0.31
Sacramento St,0.31
North Dakota,0.311
Delaware St,0.312
Texas A&M,0.312
S Indiana,0.314
E Texas A&M,0.314
Elon,0.315
Monmouth,0.315
Maine,0.315
Marshall,0.315
Wake Forest,0.315
Campbell,0.316
UTEP,0.316
Florida Intl,0.316
New Orleans,0.317
McNeese,0.317
Mercer,0.317
Maryland ES,0.317
Rider,0.318
S Utah,0.318
St Francis PA,0.319
Georgia St,0.32
Nicholls,0.32
Marquette,0.32
N Arizona,0.322
Arizona St,0.322
Georgia,0.32299999999999995
Northwestern,0.32299999999999995
Oakland,0.324
CS Bakersfield,0.324
Pepperdine,0.326
Utah Tech,0.326
Morgan St,0.326
Purdue FW,0.327
Toledo,0.32799999999999996
Georgia So,0.32899999999999996
C Michigan,0.32899999999999996
Kansas St,0.32899999999999996
Florida St,0.32899999999999996
Chicago St,0.32899999999999996
Coppin St,0.331
Memphis,0.331
Morehead St,0.33299999999999996
Saint Peter's,0.33399999999999996
E Illinois,0.33399999999999996
Tulane,0.336
AR-Pine Bluff,0.336
Bellarmine,0.336
Prairie View,0.336
Alcorn St,0.33799999999999997
San Diego,0.34
Tarleton St,0.341
Miss Valley St,0.34299999999999997
W Illinois,0.345
Kansas City,0.34700000000000003
UL Monroe,0.349
San Jose St,0.35
IU Indy,0.35
Cleveland St,0.353
Little Rock,0.354
VMI,0.354
Gardner-Webb,0.36200000000000004
Jackson St,0.36200000000000004
N Florida,0.364
Manhattan,0.36700000000000005
S Carolina St,0.368
UTSA,0.373
NC Central,0.381
Merrimack,0.392
