team,Seas_Opp_3PT_Rate
S Indiana,0.271
Murray St,0.273
S Utah,0.295
Campbell,0.299
Abl Christian,0.3
South Dakota,0.3
Charleston So,0.313
Cal Baptist,0.317
UC Riverside,0.317
Morgan St,0.319
Creighton,0.32
Lehigh,0.322
UT Arlington,0.32299999999999995
Stonehill,0.324
Hawai'i,0.324
Merrimack,0.326
Prairie View,0.327
Utah Valley,0.32899999999999996
Lindenwood,0.32899999999999996
Bethune,0.331
SE Missouri St,0.332
LIU,0.332
Texas,0.33299999999999996
Stanford,0.335
Ohio,0.336
Hampton,0.336
Mercyhurst,0.336
St John's,0.337
Florida,0.337
Utah,0.33799999999999997
Wichita St,0.33799999999999997
DePaul,0.33899999999999997
Howard,0.34
Drexel,0.341
Wright St,0.342
Youngstown St,0.34299999999999997
Montana St,0.34299999999999997
Utah Tech,0.34299999999999997
Indiana St,0.344
Florida A&M,0.344
Illinois St,0.345
W Illinois,0.34600000000000003
Baylor,0.34700000000000003
VCU,0.34700000000000003
Delaware St,0.34700000000000003
Texas A&M-CC,0.349
SF Austin,0.35
N Colorado,0.35
UMass Lowell,0.35
Alcorn St,0.35100000000000003
Texas Tech,0.35100000000000003
Alabama,0.35100000000000003
Grambling,0.35200000000000004
Northeastern,0.35200000000000004
Florida Atlantic,0.35200000000000004
Jacksonville,0.35200000000000004
Long Beach St,0.353
Middle Tenn,0.353
Incarnate Word,0.354
Quinnipiac,0.354
Rice,0.355
Saint Peter's,0.355
E Michigan,0.35600000000000004
Coastal Car,0.35700000000000004
UCSB,0.35700000000000004
IU Indy,0.35700000000000004
Idaho,0.358
San Francisco,0.358
Wagner,0.358
Missouri St,0.358
South Carolina,0.358
Colorado,0.358
Bryant,0.358
Syracuse,0.359
Temple,0.359
Samford,0.359
Fairfield,0.359
Columbia,0.36
Tennessee St,0.36
Robert Morris,0.36
Tenn Tech,0.361
SC Upstate,0.361
Wyoming,0.36200000000000004
Loyola Mymt,0.36200000000000004
UConn,0.36200000000000004
Louisiana,0.363
Presbyterian,0.363
Old Dominion,0.364
Alabama A&M,0.365
Oral Roberts,0.366
Washington St,0.36700000000000005
Marist,0.368
Miami OH,0.368
UNLV,0.368
Indiana,0.368
Maine,0.368
Boise St,0.368
Saint Mary's,0.368
Xavier,0.369
New Hampshire,0.369
Villanova,0.369
North Carolina,0.369
Idaho St,0.37
Valparaiso,0.37
Denver,0.37
American,0.37
Davidson,0.371
Liberty,0.371
Arizona,0.37200000000000005
AR-Pine Bluff,0.373
Southern,0.374
Hou Christian,0.374
W Georgia,0.374
Seattle,0.374
Lamar,0.375
UTEP,0.375
Virginia,0.375
Butler,0.375
Texas St,0.376
Georgia,0.376
N Illinois,0.377
UMBC,0.37799999999999995
UC Irvine,0.37799999999999995
SE Louisiana,0.379
Vanderbilt,0.379
LSU,0.379
Radford,0.379
NW State,0.379
Wofford,0.38
E Texas A&M,0.38
Lafayette,0.38
Manhattan,0.38
Montana,0.38
UC Davis,0.381
NC A&T,0.381
N Kentucky,0.381
TCU,0.381
West Virginia,0.381
Santa Clara,0.382
UT Rio Grande,0.382
J Madison,0.382
Arkansas,0.382
Washington,0.382
Grand Canyon,0.382
Kennesaw St,0.38299999999999995
Cornell,0.38299999999999995
Monmouth,0.38299999999999995
Troy,0.384
New Haven,0.384
NC Asheville,0.384
SIU Edward,0.384
C Michigan,0.384
Providence,0.385
Kansas St,0.386
N Texas,0.386
Nicholls,0.387
Harvard,0.387
E Carolina,0.38799999999999996
Arkansas St,0.38799999999999996
Air Force,0.38799999999999996
Weber St,0.38799999999999996
S Carolina St,0.389
Rutgers,0.39
Kansas City,0.39
Boston College,0.39
Georgia St,0.39
N Florida,0.39
CS Bakersfield,0.39
Holy Cross,0.39
E Washington,0.39
Morehead St,0.39
Iowa,0.391
Louisville,0.391
BYU,0.392
UAB,0.392
Binghamton,0.392
Dartmouth,0.392
San Jose St,0.39299999999999996
Penn,0.39299999999999996
C Connecticut,0.39299999999999996
Siena,0.39299999999999996
Southern Miss,0.39399999999999996
Mississippi St,0.395
S Florida,0.395
Georgia So,0.395
UT Martin,0.395
Kentucky,0.395
Queens,0.395
Loyola MD,0.396
Marshall,0.396
Virginia Tech,0.396
Marquette,0.396
Portland St,0.397
Le Moyne,0.397
UCF,0.397
Jackson St,0.397
Oklahoma,0.397
Maryland ES,0.397
Auburn,0.39799999999999996
Stony Brook,0.39799999999999996
Saint Joseph's,0.39899999999999997
Cincinnati,0.39899999999999997
Rider,0.39899999999999997
Toledo,0.39899999999999997
Bradley,0.4
N Arizona,0.4
Tulsa,0.401
San Diego,0.401
Wisconsin,0.402
Lipscomb,0.402
New Orleans,0.402
Northwestern,0.402
Milwaukee,0.402
Arizona St,0.40299999999999997
Duquesne,0.40299999999999997
Pepperdine,0.40299999999999997
Little Rock,0.40299999999999997
Alabama St,0.40399999999999997
Ohio St,0.40399999999999997
USC,0.40399999999999997
Niagara,0.40399999999999997
Tulane,0.405
F Dickinson,0.405
Albany,0.406
Hofstra,0.406
NC Central,0.406
Boston U,0.40700000000000003
Tarleton St,0.40700000000000003
NJIT,0.40700000000000003
Charlotte,0.40700000000000003
Iona,0.40700000000000003
St Bonaventure,0.40700000000000003
Austin Peay,0.408
Cal Poly,0.408
St Francis PA,0.409
Houston,0.409
Utah St,0.409
Miami,0.409
Dayton,0.41
Pittsburgh,0.41
Gardner-Webb,0.41
Stetson,0.41100000000000003
St Thomas,0.41200000000000003
Ball St,0.41200000000000003
E Illinois,0.41200000000000003
Bowling Green,0.41200000000000003
Vermont,0.41200000000000003
Georgetown,0.41200000000000003
New Mexico St,0.413
Princeton,0.414
California,0.414
Towson,0.414
App State,0.414
High Point,0.414
Texas A&M,0.415
Rhode Island,0.415
N Iowa,0.415
Oregon St,0.415
S Illinois,0.415
E Kentucky,0.41600000000000004
Sam Houston,0.41600000000000004
