team,Seas_Def_Rebound_Per
Michigan St,0.797
Vermont,0.7959999999999999
Saint Mary's,0.789
Idaho,0.782
N Colorado,0.7809999999999999
Duke,0.779
Boise St,0.779
Florida,0.775
Pacific,0.775
UCSB,0.772
Hawai'i,0.772
Illinois St,0.768
NC Wilmington,0.7659999999999999
UMass,0.765
UMBC,0.765
S Dakota St,0.765
N Dakota St,0.764
Gonzaga,0.763
Notre Dame,0.763
Portland St,0.763
Texas,0.7609999999999999
Miami,0.76
Clemson,0.759
Samford,0.758
W Carolina,0.757
Grand Canyon,0.757
S Illinois,0.7559999999999999
New Hampshire,0.7559999999999999
Stonehill,0.7559999999999999
Tennessee,0.755
N Iowa,0.755
CS Northridge,0.755
Arizona,0.755
Louisville,0.754
North Carolina,0.753
Fordham,0.752
Purdue,0.752
Jacksonville St,0.752
Michigan,0.7509999999999999
St Thomas,0.7509999999999999
F Dickinson,0.7509999999999999
Bowling Green,0.75
Wyoming,0.75
Cincinnati,0.75
Arkansas St,0.75
Navy,0.7490000000000001
Winthrop,0.748
UCSD,0.748
FGCU,0.747
UAB,0.747
Saint Louis,0.746
New Haven,0.746
Columbia,0.746
San Francisco,0.746
C Arkansas,0.746
Wichita St,0.746
Weber St,0.745
Boston U,0.745
Nebraska,0.7440000000000001
CS Fullerton,0.7440000000000001
Nevada,0.7440000000000001
Cal Baptist,0.7440000000000001
Long Beach St,0.7440000000000001
SF Austin,0.7440000000000001
E Tennessee St,0.7440000000000001
Furman,0.743
Florida Atlantic,0.743
Pittsburgh,0.743
Army,0.743
W Georgia,0.743
Washington St,0.743
Longwood,0.742
Washington,0.742
Princeton,0.742
Texas St,0.742
Illinois,0.741
UConn,0.741
Holy Cross,0.74
Harvard,0.74
App State,0.74
George Mason,0.7390000000000001
Loyola MD,0.738
Abl Christian,0.738
BYU,0.738
Minnesota,0.738
W Kentucky,0.738
Iowa,0.738
Iowa St,0.737
Coastal Car,0.737
Miami OH,0.737
Binghamton,0.736
New Mexico,0.736
Lamar,0.735
Boston College,0.735
Maryland,0.735
UT Arlington,0.735
Xavier,0.735
NC A&T,0.735
Marist,0.7340000000000001
Wisconsin,0.7340000000000001
Virginia,0.733
Temple,0.733
Montana St,0.733
Idaho St,0.733
G Washington,0.733
Wofford,0.733
Dayton,0.733
W Michigan,0.733
J Madison,0.732
West Virginia,0.732
Kent St,0.732
VCU,0.732
St John's,0.732
Tulsa,0.732
Omaha,0.731
California,0.731
Yale,0.731
Texas A&M-CC,0.731
UCF,0.731
Green Bay,0.73
TCU,0.73
Milwaukee,0.7290000000000001
Fairfield,0.7290000000000001
Bradley,0.7290000000000001
Kennesaw St,0.7290000000000001
SE Missouri St,0.7290000000000001
Southern Miss,0.728
E Michigan,0.728
Jacksonville,0.728
Colorado,0.728
Belmont,0.728
Hampton,0.728
Tennessee St,0.727
Mt St Mary's,0.727
Alabama A&M,0.727
Wright St,0.727
Middle Tenn,0.726
Indiana,0.726
Charleston So,0.726
Brown,0.726
UMass Lowell,0.726
Austin Peay,0.725
Mercyhurst,0.725
Kansas,0.725
Colgate,0.725
Valparaiso,0.725
Towson,0.725
Akron,0.725
Loyola Chi,0.7240000000000001
Robert Morris,0.7240000000000001
Wagner,0.7240000000000001
Canisius,0.723
Le Moyne,0.723
Butler,0.723
Dartmouth,0.723
Providence,0.722
Utah Valley,0.722
Sam Houston,0.722
St Bonaventure,0.722
Lafayette,0.722
Houston,0.722
Presbyterian,0.721
Georgia Tech,0.72
Montana,0.72
Louisiana,0.72
Siena,0.72
E Washington,0.72
Stanford,0.72
Drexel,0.7190000000000001
Louisiana Tech,0.7190000000000001
New Mexico St,0.7190000000000001
Hofstra,0.7190000000000001
UC Riverside,0.7190000000000001
Cal Poly,0.7190000000000001
NC Greensboro,0.718
SMU,0.718
Duquesne,0.7170000000000001
American,0.7170000000000001
Ohio St,0.7170000000000001
Northeastern,0.7170000000000001
DePaul,0.716
Colorado St,0.716
Kentucky,0.716
Old Dominion,0.716
Lindenwood,0.716
Cornell,0.716
Davidson,0.715
Texas Tech,0.715
Creighton,0.715
Murray St,0.7140000000000001
UNLV,0.7140000000000001
Penn,0.7140000000000001
Vanderbilt,0.7140000000000001
Missouri,0.713
South Dakota,0.7120000000000001
Florida A&M,0.7120000000000001
Saint Joseph's,0.7120000000000001
Youngstown St,0.7120000000000001
Seattle,0.7120000000000001
S Florida,0.711
Howard,0.711
Mississippi St,0.711
SIU Edward,0.711
Bethune,0.711
Iona,0.711
Bryant,0.71
Evansville,0.71
Detroit Mercy,0.71
NC State,0.71
UT Rio Grande,0.71
C Connecticut,0.7090000000000001
Oklahoma St,0.7090000000000001
UC Davis,0.7090000000000001
Texas So,0.7090000000000001
UC Irvine,0.7090000000000001
Rhode Island,0.7090000000000001
Utah,0.7090000000000001
Seton Hall,0.7090000000000001
LSU,0.708
San Diego St,0.708
Buffalo,0.708
Fresno St,0.708
N Illinois,0.708
Charleston,0.7070000000000001
Georgetown,0.7070000000000001
Richmond,0.7070000000000001
Lipscomb,0.7070000000000001
SE Louisiana,0.706
Auburn,0.706
N Texas,0.705
Alabama St,0.705
Radford,0.705
Incarnate Word,0.705
Ball St,0.7040000000000001
SC Upstate,0.7040000000000001
