team,Seas_PPG
Alabama,91.7
Arkansas,89.9
Georgia,89.8
Texas A&M,87.7
Miami OH,87.2
S Florida,87.0
Akron,86.9
Michigan,86.8
Florida,86.8
High Point,86.5
Saint Louis,86.4
Vanderbilt,86.4
Arizona,86.1
Cornell,85.8
Providence,85.3
Gonzaga,85.1
Queens,84.8
Louisville,84.8
Illinois,84.4
Tulsa,84.3
Oklahoma St,84.3
SMU,84.2
BYU,83.9
NC State,83.7
Belmont,83.5
Murray St,83.3
Kent St,83.0
Wisconsin,83.0
Santa Clara,82.8
Oklahoma,82.7
Auburn,82.7
Texas,82.6
Duke,82.3
Miami,81.9
St Thomas,81.9
Iowa St,81.8
Arkansas St,81.8
Utah St,81.7
Purdue,81.7
G Washington,81.6
Oakland,81.6
St John's,81.6
VCU,81.6
William & Mary,81.5
Winthrop,81.5
LSU,81.4
Cal Poly,81.4
Baylor,81.2
UCF,81.0
Charleston So,80.9
N Kentucky,80.9
IU Indy,80.9
N Colorado,80.8
Kentucky,80.8
Virginia,80.6
CS Northridge,80.6
Yale,80.6
Kennesaw St,80.5
Marshall,80.5
Texas Tech,80.4
Florida St,80.4
CS Fullerton,80.3
Denver,80.3
Mercer,80.1
New Mexico,80.0
Wright St,80.0
Colorado,80.0
UMass,79.9
Sam Houston,79.9
Georgia So,79.9
Radford,79.9
Ohio St,79.8
North Carolina,79.8
Toledo,79.8
Missouri,79.7
Kansas St,79.6
Tennessee,79.5
Butler,79.4
C Arkansas,79.3
UNLV,79.1
N Dakota St,79.1
Austin Peay,79.0
Michigan St,78.9
Bellarmine,78.9
Wake Forest,78.8
Weber St,78.8
Virginia Tech,78.8
Hawai'i,78.7
Cleveland St,78.6
Wofford,78.4
Xavier,78.4
TCU,78.3
Troy,78.3
UAB,78.2
Indiana,78.2
Tennessee St,78.1
South Dakota,78.0
W Kentucky,77.9
USC,77.8
Samford,77.8
UCLA,77.7
Florida Intl,77.7
Utah Valley,77.7
E Washington,77.7
Mississippi St,77.6
Saint Mary's,77.6
Lipscomb,77.6
UConn,77.5
Buffalo,77.5
E Kentucky,77.5
Boise St,77.4
California,77.4
Bradley,77.3
Nebraska,77.3
Florida Atlantic,77.2
Villanova,77.2
Houston,77.1
N Florida,77.1
Washington,77.1
Wichita St,77.1
Duquesne,76.9
San Diego St,76.8
McNeese,76.8
E Tennessee St,76.8
Robert Morris,76.8
Elon,76.8
Bowling Green,76.8
UCSB,76.7
Ohio,76.7
Idaho,76.7
NC Greensboro,76.6
FGCU,76.6
Richmond,76.5
Wyoming,76.4
Arizona St,76.3
W Carolina,76.3
Detroit Mercy,76.3
Liberty,76.2
Southern,76.2
St Bonaventure,76.2
UC Davis,76.1
Campbell,76.1
Stanford,76.0
Nevada,75.9
Longwood,75.9
Sacramento St,75.9
Mississippi,75.9
Prairie View,75.7
Montana,75.7
Old Dominion,75.7
Montana St,75.7
Washington St,75.6
Kansas,75.6
Grand Canyon,75.6
Colgate,75.6
UMBC,75.4
W Georgia,75.3
NC Wilmington,75.3
Charleston,75.3
Memphis,75.2
Iowa,75.2
Colorado St,75.2
Marquette,75.2
Creighton,75.1
Youngstown St,75.1
Furman,75.1
Howard,75.0
Syracuse,75.0
South Carolina,74.9
Columbia,74.9
Northeastern,74.9
Utah Tech,74.7
J Madison,74.7
Milwaukee,74.7
SF Austin,74.6
Boston U,74.6
Penn,74.6
Illinois St,74.5
Bethune,74.5
New Orleans,74.5
Hofstra,74.5
UCSD,74.5
Notre Dame,74.5
S Dakota St,74.4
Lindenwood,74.4
Dayton,74.4
Utah,74.3
Sacred Heart,74.3
UC Irvine,74.3
North Dakota,74.2
Purdue FW,74.2
Quinnipiac,74.2
Clemson,74.1
Chattanooga,74.1
Navy,74.1
LIU,74.1
AR-Pine Bluff,74.0
Illinois Chicago,74.0
Southern Miss,73.9
San Francisco,73.9
Portland St,73.9
Drake,73.9
Green Bay,73.9
W Michigan,73.9
Omaha,73.9
Texas So,73.9
New Mexico St,73.9
NC A&T,73.9
Iona,73.8
Georgia Tech,73.8
UT Rio Grande,73.7
Penn St,73.7
Loyola MD,73.7
Idaho St,73.6
Georgetown,73.6
Middle Tenn,73.5
S Alabama,73.4
SE Missouri St,73.2
Long Beach St,73.2
Northwestern,73.1
Cincinnati,73.1
Dartmouth,73.1
Missouri St,73.1
Cal Baptist,73.0
Temple,73.0
Charlotte,73.0
Fairfield,72.9
George Mason,72.9
San Diego,72.8
S Illinois,72.7
Tarleton St,72.5
Manhattan,72.4
Lehigh,72.4
Fresno St,72.4
Le Moyne,72.3
S Utah,72.3
Loyola Mymt,72.2
Vermont,72.1
Portland,72.1
Tulane,72.0
Rice,72.0
Saint Joseph's,72.0
Monmouth,72.0
American,72.0
Morehead St,72.0
CS Bakersfield,72.0
Stetson,71.9
Texas St,71.9
NC Asheville,71.9
Oral Roberts,71.8
Coastal Car,71.8
Morgan St,71.7
UMass Lowell,71.7
Indiana St,71.7
UL Monroe,71.7
C Michigan,71.7
Norfolk St,71.6
UC Riverside,71.6
E Carolina,71.5
Alabama St,71.5
Alabama A&M,71.4
Pacific,71.4
Valparaiso,71.2
Oregon St,71.1
SC Upstate,71.0
Nicholls,71.0
Oregon,70.8
Army,70.8
San Jose St,70.8
Stony Brook,70.7
Rutgers,70.6
C Connecticut,70.6
Siena,70.5
Pittsburgh,70.5
Incarnate Word,70.4
Pepperdine,70.4
Seton Hall,70.3
DePaul,70.3
Tenn Tech,70.3
Jackson St,70.2
E Michigan,70.2
St Francis PA,70.0
Minnesota,70.0
Florida A&M,70.0
Presbyterian,70.0
Jacksonville St,69.9
Rhode Island,69.9
Harvard,69.8
Seattle,69.7
Maryland,69.7
Wagner,69.6
Davidson,69.5
Jacksonville,69.5
App State,69.3
Saint Peter's,69.2
West Virginia,69.2
N Texas,69.2
Lafayette,69.1
N Iowa,69.1
Grambling,69.0
Marist,68.9
Little Rock,68.9
Albany,68.7
Merrimack,68.5
Texas A&M-CC,68.5
VMI,68.5
Georgia St,68.4
Lamar,68.4
The Citadel,68.3
Mercyhurst,68.3
N Arizona,68.1
Hampton,68.0
Abl Christian,67.9
Mt St Mary's,67.9
Holy Cross,67.9
Delaware,67.9
N Alabama,67.9
Louisiana Tech,67.8
UT Martin,67.8
UT Arlington,67.7
SIU Edward,67.7
NC Central,67.6
Fordham,67.6
Princeton,67.5
S Carolina St,67.4
Boston College,67.4
Bucknell,67.4
Drexel,67.3
UTSA,67.3
Brown,67.2
E Texas A&M,67.1
Towson,67.1
S Indiana,67.0
Kansas City,67.0
Alcorn St,66.9
La Salle,66.9
Loyola Chi,66.8
Binghamton,66.8
New Hampshire,66.6
UTEP,66.4
N Illinois,66.3
Hou Christian,66.3
Gardner-Webb,66.2
NJIT,66.2
Ball St,66.1
NW State,66.1
Evansville,65.8
Chicago St,65.2
F Dickinson,65.1
SE Louisiana,64.8
E Illinois,64.6
Coppin St,64.3
Stonehill,64.2
Louisiana,63.7
Niagara,63.3
Miss Valley St,63.2
W Illinois,63.2
Bryant,63.0
Rider,62.6
Maryland ES,62.4
Canisius,62.2
Air Force,61.5
New Haven,61.5
Maine,61.2
Delaware St,59.7
