team,Seas_Opp_Fouls
N Colorado,15.7
Xavier,15.7
New Haven,15.6
Nebraska,15.6
Lamar,15.6
Columbia,15.6
UMBC,15.6
Utah,15.6
Kansas St,15.6
Sacred Heart,15.5
E Tennessee St,15.5
UTEP,15.5
Santa Clara,15.5
SF Austin,15.5
Ball St,15.5
Mercyhurst,15.5
Niagara,15.4
UTSA,15.4
Rider,15.4
Alcorn St,15.4
Brown,15.4
Canisius,15.4
Holy Cross,15.4
Lipscomb,15.4
The Citadel,15.4
Boston U,15.4
SIU Edward,15.3
Gardner-Webb,15.3
Indiana St,15.2
Louisiana,15.1
E Texas A&M,15.1
Chicago St,15.1
Saint Joseph's,15.0
Towson,14.8
IU Indy,14.8
Marist,14.7
Delaware,14.7
Bryant,14.7
Stonehill,14.7
N Iowa,14.7
Little Rock,14.5
Harvard,14.0
Albany,13.6
