team,seed,contender_tier,AdjEM,AdjO,AdjD,adjem_rank,adjo_rank,adjd_rank,Seas_PPG,Seas_Off_Rebound_Per,Seas_Turnovers,Seas_3PT_Per,seas_ppg_rank,off_rebound_rank,turnover_rank,three_point_rank,secondary_support_count,secondary_supports,risk_flags,meta_points,meta_finish,meta_semifinal,meta_championship
NC State,11,fade,19.6,124.1,104.5,34,17,46,83.7,0.2689999999999999,9.2,0.3879999999999999,20,60,7,4,3,"top_20_scoring,top_20_turnover_control,top_20_three_point_pct","outside_top_20_adjem,outside_top_25_defense",1.6115340883736153,1.649024830199778,0.004255920648574829,1.1417932486633168e-05
Long Island Brooklyn,16,fade,-3.95,105.6,109.6,66,65,61,74.1,0.337,13.0,0.361,63,18,66,18,2,"top_20_off_rebounding,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.14153333334223842,1.110574587190058,0.00925514567643404,0.00011405434049723862
St Louis,9,fade,18.32,119.5,101.2,39,39,31,86.4,0.293,12.5,0.405,11,48,65,1,2,"top_20_scoring,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",1.9198155485642263,1.9091954743489623,0.004228395875543356,2.583154118876062e-05
UCLA,7,fade,21.67,123.7,102.1,27,20,38,77.7,0.289,8.9,0.382,47,53,2,9,2,"top_20_turnover_control,top_20_three_point_pct","outside_top_20_adjem,outside_top_25_defense",2.8789202228301844,2.519092450849712,0.004577456507831812,1.1338958469369722e-05
McNeese,12,fade,12.48,114.3,101.8,47,51,35,76.8,0.336,9.6,0.316,53,20,13,65,2,"top_20_off_rebounding,top_20_turnover_control","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",1.1679039482487286,1.5626828008098528,0.0026036519557237625,1.1281513245020898e-05
Akron,12,fade,12.8,118.8,106.0,46,41,52,86.9,0.327,11.1,0.385,7,29,45,8,2,"top_20_scoring,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",1.2704941809341326,1.5221375550609082,0.001370699959807098,1.0578147171170366e-05
Texas A&M,10,fade,18.67,119.7,101.0,38,38,30,87.7,0.298,10.8,0.362,4,46,36,16,2,"top_20_scoring,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",1.9473702981945717,1.6198085626820102,0.0014177231350913644,9.226799795841085e-06
SMU,11,fade,18.09,122.9,104.8,40,23,47,84.2,0.3279999999999999,11.3,0.374,18,28,49,12,2,"top_20_scoring,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",1.409954660489383,1.2488888347288594,0.0036257209721952677,6.434397482345858e-06
Miami OH,11,fade,8.26,116.8,108.5,51,46,56,87.2,0.23,10.5,0.375,5,65,24,11,2,"top_20_scoring,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.5941757063045923,1.1245616299565881,0.0051337359473109245,5.212644960261945e-06
Hofstra,13,fade,9.49,114.6,105.1,49,50,48,74.5,0.336,10.6,0.368,62,20,29,13,2,"top_20_off_rebounding,top_20_three_point_pct","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.3803398936133482,1.4055365775711834,0.0010811089305207133,4.832835036280962e-06
High Point,12,fade,8.4,117.0,108.6,50,45,57,86.5,0.307,9.3,0.344,10,42,8,50,2,"top_20_scoring,top_20_turnover_control","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.45921430041137445,1.3414240131387487,0.0015139024471864104,2.1396448521388472e-06
South Florida,11,fade,16.39,117.3,100.9,43,44,29,87.0,0.356,11.3,0.331,6,10,49,63,2,"top_20_scoring,top_20_off_rebounding","outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",1.4224459567704477,1.3896346939727664,0.001352548599243164,1.5802841782597405e-06
Cal Baptist,13,fade,5.99,107.9,101.9,52,60,36,73.0,0.36,12.4,0.337,65,9,63,55,1,top_20_off_rebounding,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.6269682283106627,1.1966106256004423,0.02010953053832054,0.00013806755483727103
Wright St,14,fade,2.04,112.1,110.0,55,52,63,80.0,0.312,11.3,0.361,36,40,49,18,1,top_20_three_point_pct,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.19111801351287588,1.0785547506529838,0.0025169404689222574,6.813354889502883e-05
Lehigh,16,fade,-10.37,102.7,113.1,67,67,67,72.4,0.208,12.0,0.365,66,67,59,15,1,top_20_three_point_pct,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.038557828008381645,1.098350202315487,0.016457080841064453,4.199365908370292e-05
UCF,10,fade,15.04,120.5,105.4,45,32,49,81.0,0.327,11.2,0.362,31,29,47,16,1,top_20_three_point_pct,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",2.5286062701568675,1.7263144259341061,0.01082092896103859,3.642233440965709e-05
Georgia,8,fade,20.48,124.7,104.2,32,15,44,89.8,0.3289999999999999,10.7,0.341,3,27,33,51,1,top_20_scoring,"outside_top_20_adjem,outside_top_25_defense",3.773974163609479,2.328443859703839,0.0022784327156841755,3.507191445562699e-05
Texas,11,fade,19.03,125.0,105.9,37,12,50,82.6,0.3429999999999999,10.6,0.349,23,15,29,40,1,top_20_off_rebounding,"outside_top_20_adjem,outside_top_25_defense",1.1024411943750916,1.3873355600517243,0.0030106569174677134,2.063859987953277e-05
Santa Clara,10,fade,19.4,123.6,104.2,35,21,44,82.8,0.35,10.9,0.349,22,11,40,40,1,top_20_off_rebounding,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",3.3040402141360983,2.072422449942678,0.003973711282014847,1.7169454136479532e-05
UMBC,16,fade,-1.67,108.2,109.9,61,59,62,75.4,0.228,9.4,0.359,57,66,10,24,1,top_20_turnover_control,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.1047964190930948,1.079081094590947,0.010428317822515965,1.5885696386584524e-05
Northern Iowa,12,fade,11.81,110.0,98.2,48,56,18,69.1,0.198,9.3,0.349,68,68,8,40,1,top_20_turnover_control,"outside_top_20_adjem,outside_top_20_offense",0.20353167953243215,1.3129365313216113,0.001007266342639923,1.5532180409231702e-05
Queens,15,fade,-1.44,115.8,117.2,60,48,68,84.8,0.286,10.6,0.359,15,54,29,24,1,top_20_scoring,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.13298720660812327,1.1124932097736746,0.006708713714033365,1.4815319217194017e-05
Villanova,8,fade,19.97,120.4,100.4,33,34,25,77.2,0.3,10.2,0.353,51,45,19,33,1,top_20_turnover_control,"outside_top_20_adjem,outside_top_20_offense",4.094526284563516,2.7350383610464633,0.009042440913617611,1.158969907519188e-05
Clemson,8,fade,19.24,116.5,97.3,36,47,16,74.1,0.264,9.4,0.341,63,61,10,51,1,top_20_turnover_control,"outside_top_20_adjem,outside_top_20_offense",1.3774099055842601,1.556318256421946,0.0009494830155745149,9.751356403911375e-06
Miami FL,7,fade,20.68,121.4,100.7,31,29,28,81.9,0.342,11.2,0.347,25,16,47,45,1,top_20_off_rebounding,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",2.8456654507233283,2.849639997817576,0.0031801036093384027,9.321268886105355e-06
N Carolina,6,fade,20.84,121.4,100.5,29,29,27,79.8,0.292,9.7,0.345,37,50,14,48,1,top_20_turnover_control,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",3.1421097789487336,3.0292226932942867,0.0063523887656629086,8.764741475413852e-06
Pennsylvania,14,fade,1.47,107.4,105.9,58,62,50,74.6,0.286,10.7,0.387,61,54,33,5,1,top_20_three_point_pct,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.1943593881006697,1.0618484394508414,0.00285075674764812,7.797479455531673e-06
VCU,11,fade,17.21,119.9,102.7,42,37,41,81.6,0.313,10.5,0.367,29,39,24,14,1,top_20_three_point_pct,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",1.453325063593703,1.5647079799091443,0.0011000224621966481,7.670750548863055e-06
Siena,16,fade,-2.1,107.1,109.2,64,63,59,70.5,0.303,10.3,0.304,67,43,20,68,1,top_20_turnover_control,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.0985156060113377,1.064130486745853,0.0017926754662767053,5.13830768515768e-06
Kennesaw St.,14,fade,0.57,110.6,110.1,59,55,64,80.5,0.336,12.1,0.337,34,20,62,55,1,top_20_off_rebounding,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.1054695938532725,1.0400439279910643,0.0006479556323029101,2.6283708727338366e-06
Tennessee St,15,fade,-1.83,109.1,110.9,62,57,65,78.1,0.3229999999999999,11.7,0.337,46,34,54,55,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense,loose_turnover_profile",0.18435146753189396,1.1320054702227935,0.0038875869940966368,4.8783262151322226e-05
N Dakota St,14,fade,5.13,111.7,106.6,54,53,54,79.1,0.32,10.8,0.357,41,37,36,29,0,,"outside_top_20_adjem,outside_top_20_offense,outside_top_25_defense",0.3425382951738016,1.136475115083158,0.00675668241456151,2.160012551020761e-05
