team,seed,region,play_in_group,expected_wins,win_first_four,make_round_of_64,make_round_of_32,make_sweet_sixteen,make_elite_eight,make_final_four,make_championship,win_championship,win_round_of_64,win_round_of_32,win_sweet_sixteen,win_elite_eight,win_final_four,field_source
NC State,11,West,West-11,1.0187,0.7266,0.7266,0.2502,0.0391,0.0027,0.0001,0.0,0.0,0.2502,0.0391,0.0027,0.0001,0.0,data/raw/2026/tournament_field.csv
Georgia,8,Midwest,,0.8188,0.0,1.0,0.814,0.0043,0.0003,0.0001,0.0001,0.0,0.814,0.0043,0.0003,0.0001,0.0001,data/raw/2026/tournament_field.csv
Kentucky,7,Midwest,,0.3376,0.0,1.0,0.3074,0.0242,0.0059,0.0001,0.0,0.0,0.3074,0.0242,0.0059,0.0001,0.0,data/raw/2026/tournament_field.csv
SMU,11,Midwest,Midwest-11,1.0922,0.9054,0.9054,0.1614,0.0234,0.002,0.0,0.0,0.0,0.1614,0.0234,0.002,0.0,0.0,data/raw/2026/tournament_field.csv
Lehigh,16,South,South-16,0.7871,0.787,0.787,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
Iowa,9,South,,0.7692,0.0,1.0,0.7369,0.0288,0.0035,0.0,0.0,0.0,0.7369,0.0288,0.0035,0.0,0.0,data/raw/2026/tournament_field.csv
UMBC,16,Midwest,Midwest-16,0.7259,0.7259,0.7259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
TCU,9,East,,0.4461,0.0,1.0,0.4438,0.0022,0.0001,0.0,0.0,0.0,0.4438,0.0022,0.0001,0.0,0.0,data/raw/2026/tournament_field.csv
Texas A&M,10,South,,0.3657,0.0,1.0,0.3573,0.0075,0.0009,0.0,0.0,0.0,0.3573,0.0075,0.0009,0.0,0.0,data/raw/2026/tournament_field.csv
Texas,11,West,West-11,0.3216,0.2734,0.2734,0.0454,0.0028,0.0,0.0,0.0,0.0,0.0454,0.0028,0.0,0.0,0.0,data/raw/2026/tournament_field.csv
