team,seed,wins,finish_label,notes
Kansas,1,3,Elite Eight,
North Carolina,1,5,Runner-up,
Oregon,1,3,Elite Eight,
UNC,1,0,First Round,
Virginia,1,3,Elite Eight,
Michigan St,2,0,First Round,
Oklahoma,2,4,Final Four,
VILL,2,1,Round of 32,
Villanova,2,5,Runner-up,
Xavier,2,1,Round of 32,
Miami,3,2,Sweet 16,
Texas A&M,3,2,Sweet 16,
Utah,3,1,Round of 32,
West Virginia,3,0,First Round,
California,4,0,First Round,
Duke,4,2,Sweet 16,
Iowa State,4,2,Sweet 16,
Kentucky,4,1,Round of 32,
Baylor,5,0,First Round,
Indiana,5,2,Sweet 16,
Maryland,5,2,Sweet 16,
Purdue,5,0,First Round,
Arizona,6,0,First Round,
Notre Dame,6,3,Elite Eight,
Seton Hall,6,0,First Round,
Texas,6,0,First Round,
Dayton,7,0,First Round,
Iowa,7,1,Round of 32,
Oregon St,7,0,First Round,
Wisconsin,7,2,Sweet 16,
Colorado,8,0,First Round,
Saint Joseph's,8,1,Round of 32,
Texas Tech,8,0,First Round,
USC,8,0,First Round,
Butler,9,1,Round of 32,
Cincinnati,9,0,First Round,
Providence,9,1,Round of 32,
UConn,9,1,Round of 32,
Pitt,10,0,First Round,
Syracuse,10,4,Final Four,
Temple,10,0,First Round,
VCU,10,1,Round of 32,
Gonzaga,11,2,Sweet 16,
Michigan,11,0,First Round,
Northern Iowa,11,1,Round of 32,
Tulsa,11,0,First Round,
Vanderbilt,11,0,First Round,
Wichita St,11,1,Round of 32,
Chattanooga,12,0,First Round,
Little Rock,12,1,Round of 32,
S Dakota St,12,0,First Round,
Yale,12,1,Round of 32,
Hawai'i,13,1,Round of 32,
Iona,13,0,First Round,
Stony Brook,13,0,First Round,
UNC Wilmington,13,0,First Round,
Buffalo,14,0,First Round,
Fresno St,14,0,First Round,
Green Bay,14,0,First Round,
SF Austin,14,1,Round of 32,
Bakersfield,15,0,First Round,
MTSU,15,1,Round of 32,
UNC Asheville,15,0,First Round,
Weber St,15,0,First Round,
Austin Peay,16,0,First Round,
FDU,16,0,First Round,
FGCU,16,0,First Round,
Hampton,16,0,First Round,
Holy Cross,16,0,First Round,
Southern,16,0,First Round,
