round_name,seed_a,team_a,score_a,seed_b,team_b,score_b
East,1,Villanova,76,16,Mount St Marys,56
East,8,Wisconsin,84,9,Virginia Tech,74
East,5,Virginia,76,12,UNC Wilmington,71
East,4,Florida,80,13,ETSU,65
East,6,SMU,65,11,USC,66
East,3,Baylor,91,14,New Mexico St,73
East,7,South Carolina,93,10,Marquette,73
East,2,Duke,87,15,Troy,65
East,1,Villanova,62,8,Wisconsin,65
East,5,Virginia,39,4,Florida,65
East,11,USC,78,3,Baylor,82
East,7,South Carolina,88,2,Duke,81
East,8,Wisconsin,83,4,Florida,84
East,3,Baylor,50,7,South Carolina,70
East,4,Florida,70,7,South Carolina,77
Midwest,1,Kansas,60,3,Oregon,74
Midwest,1,Kansas,98,4,Purdue,66
Midwest,3,Oregon,69,7,Michigan,68
Midwest,1,Kansas,90,9,Michigan St,70
Midwest,5,Iowa State,76,4,Purdue,80
Midwest,11,Rhode Island,72,3,Oregon,75
Midwest,7,Michigan,73,2,Louisville,69
Midwest,1,Kansas,100,16,UC Davis,62
Midwest,8,Miami,58,9,Michigan St,78
Midwest,5,Iowa State,84,12,Nevada,73
Midwest,4,Purdue,80,13,Vermont,70
Midwest,6,Creighton,72,11,Rhode Island,84
Midwest,3,Oregon,93,14,Iona,77
Midwest,7,Michigan,92,10,Oklahoma St,91
Midwest,2,Louisville,78,15,Jax State,63
Final Four,7,South Carolina,73,1,Gonzaga,77
Final Four,3,Oregon,76,1,North Carolina,77
West,1,Gonzaga,66,16,S Dakota St,46
West,8,Northwestern,68,9,Vanderbilt,66
West,5,Notre Dame,60,12,Princeton,58
West,4,West Virginia,86,13,Bucknell,80
West,6,Maryland,65,11,Xavier,76
West,3,Florida St,86,14,FGCU,80
West,7,Saint Mary's,85,10,VCU,77
West,2,Arizona,100,15,North Dakota,82
West,1,Gonzaga,79,8,Northwestern,73
West,5,Notre Dame,71,4,West Virginia,83
West,11,Xavier,91,3,Florida St,66
West,7,Saint Mary's,60,2,Arizona,69
West,1,Gonzaga,61,4,West Virginia,58
West,11,Xavier,73,2,Arizona,71
West,1,Gonzaga,83,11,Xavier,59
South,1,North Carolina,75,2,Kentucky,73
South,1,North Carolina,92,4,Butler,80
South,3,UCLA,75,2,Kentucky,86
South,1,North Carolina,72,8,Arkansas,65
South,12,MTSU,65,4,Butler,74
South,6,Cincinnati,67,3,UCLA,79
South,10,Wichita St,62,2,Kentucky,65
South,1,North Carolina,103,16,Texas Southern,64
South,8,Arkansas,77,9,Seton Hall,71
South,5,Minnesota,72,12,MTSU,81
South,4,Butler,76,13,Winthrop,64
South,6,Cincinnati,75,11,Kansas St,61
South,3,UCLA,97,14,Kent State,80
South,7,Dayton,58,10,Wichita St,64
South,2,Kentucky,79,15,N Kentucky,70
First Four,11,Kansas St,95,11,Wake Forest,88
First Four,16,Mount St Marys,67,16,New Orleans,66
First Four,11,Providence,71,11,USC,75
First Four,16,NC Central,63,16,UC Davis,67
Championship,1,GONZ,65,1,UNC,71
