team,seed,wins,finish_label,notes
Duke,1,2,Sweet 16,
Kansas,1,3,Elite Eight,
Ohio State,1,2,Sweet 16,
Pitt,1,1,Round of 32,
Florida,2,3,Elite Eight,
North Carolina,2,3,Elite Eight,
Notre Dame,2,1,Round of 32,
San Diego St,2,2,Sweet 16,
BYU,3,2,Sweet 16,
CONN,3,1,Round of 32,
Purdue,3,1,Round of 32,
Syracuse,3,1,Round of 32,
UConn,3,5,Runner-up,
Kentucky,4,4,Final Four,
Louisville,4,0,First Round,
Texas,4,1,Round of 32,
Wisconsin,4,2,Sweet 16,
Arizona,5,3,Elite Eight,
Kansas St,5,1,Round of 32,
Vanderbilt,5,0,First Round,
West Virginia,5,1,Round of 32,
Cincinnati,6,1,Round of 32,
Georgetown,6,0,First Round,
St John's,6,0,First Round,
Xavier,6,0,First Round,
Temple,7,1,Round of 32,
Texas A&M,7,0,First Round,
UCLA,7,1,Round of 32,
Washington,7,1,Round of 32,
BUT,8,0,First Round,
Butler,8,5,Runner-up,
George Mason,8,1,Round of 32,
Michigan,8,1,Round of 32,
UNLV,8,0,First Round,
Illinois,9,1,Round of 32,
Old Dominion,9,0,First Round,
Tennessee,9,0,First Round,
Villanova,9,0,First Round,
Florida St,10,2,Sweet 16,
Georgia,10,0,First Round,
Michigan St,10,0,First Round,
Penn State,10,0,First Round,
Gonzaga,11,1,Round of 32,
Marquette,11,2,Sweet 16,
Missouri,11,0,First Round,
USC,11,0,First Round,
VCU,11,4,Final Four,
Clemson,12,0,First Round,
Memphis,12,0,First Round,
Richmond,12,2,Sweet 16,
UAB,12,0,First Round,
Utah State,12,0,First Round,
Belmont,13,0,First Round,
Morehead St,13,1,Round of 32,
Oakland,13,0,First Round,
Princeton,13,0,First Round,
Bucknell,14,0,First Round,
Indiana St,14,0,First Round,
Saint Peter's,14,0,First Round,
Wofford,14,0,First Round,
Akron,15,0,First Round,
Long Island,15,0,First Round,
N Colorado,15,0,First Round,
Santa Barbara,15,0,First Round,
Alabama St,16,0,First Round,
Boston U,16,0,First Round,
Hampton,16,0,First Round,
Little Rock,16,0,First Round,
UNC Asheville,16,0,First Round,
UTSA,16,0,First Round,
