round_index,round_name,n_games,brier,log_loss,average_precision,accuracy,roc_auc
1,round_of_64,446,0.13625801679243843,0.4299020727657138,0.8844524361333929,0.7869955156950673,0.8872539162259446
2,round_of_32,224,0.14860235340464317,0.46670637668053166,0.8521151752856165,0.7767857142857143,0.8637994260204082
3,sweet_sixteen,112,0.18245410575096294,0.5800428231536482,0.775166391066115,0.7410714285714286,0.8012595663265306
4,elite_eight,56,0.172112806733431,0.5233952486154825,0.8181530645775894,0.7857142857142857,0.8220663265306123
5,final_four,28,0.1775655229949659,0.5932677840284306,0.7972775301748842,0.75,0.8099489795918368
6,championship,12,0.0673287938212244,0.25522148075633594,1.0,1.0,1.0
