calibrator,brier,log_loss,average_precision,accuracy,roc_auc,fold_metric_mean
identity,0.14796236884164163,0.46722965679669154,0.8612839779781236,0.7801822323462415,0.8670240918218564,0.14830265202401055
isotonic,0.14877289512207253,0.4723217854553655,0.8410680400465127,0.7727790432801822,0.8569752388167351,0.14912895215353686
platt,0.14977024696005328,0.47274224674106213,0.8568096202427777,0.7801822323462415,0.8649031501496982,0.15010091844500392
