team,seed,region,win_round_of_64,win_round_of_32,win_sweet_sixteen,win_elite_eight,win_final_four,win_championship,expected_wins
Connecticut,1,East,1.0,0.9977,0.9946,0.9877,0.9808,0.9269,5.8877
Houston,1,South,0.9995,0.9775,0.9128,0.85,0.6631,0.0564,4.4593
Purdue,1,Midwest,0.9988,0.9213,0.8828,0.7194,0.2575,0.0123,3.7921
Alabama,4,West,0.953,0.855,0.6846,0.5483,0.0105,0.0022,3.0536
Illinois,3,East,0.9731,0.8479,0.53,0.0064,0.0028,0.0007,2.3609
Tennessee,2,Midwest,0.9976,0.878,0.6111,0.1805,0.0331,0.0005,2.7008
Colorado,10,South,0.8186,0.4499,0.2918,0.0353,0.0099,0.0002,1.6057
Arizona,2,West,0.9849,0.753,0.4658,0.1652,0.0017,0.0002,2.3708
Iowa St,2,East,0.9968,0.8095,0.3965,0.0041,0.0017,0.0002,2.2088
Duke,4,South,0.9574,0.7532,0.0713,0.0387,0.0101,0.0001,1.8308
Creighton,3,Midwest,0.983,0.6058,0.2377,0.0501,0.0055,0.0001,1.8822
Michigan St,9,West,0.6346,0.2761,0.0719,0.0363,0.0001,0.0001,1.0191
Northwestern,9,East,0.8127,0.0022,0.0013,0.0004,0.0001,0.0001,0.8168
Marquette,2,South,0.9944,0.5048,0.306,0.0369,0.0106,0.0,1.8527
NC State,11,South,0.7395,0.69,0.3305,0.0325,0.0068,0.0,1.7993
Oregon,11,Midwest,0.5978,0.2555,0.0829,0.0143,0.0013,0.0,0.9518
N Carolina,1,West,0.9994,0.6106,0.1771,0.0961,0.001,0.0,1.8842
Utah St,8,Midwest,0.7581,0.0698,0.0491,0.0162,0.0008,0.0,0.894
Auburn,4,East,0.8425,0.62,0.0035,0.0013,0.0006,0.0,1.4679
Gonzaga,5,Midwest,0.8778,0.4744,0.0332,0.0068,0.0004,0.0,1.3926
New Mexico,11,West,0.5498,0.3686,0.1889,0.0601,0.0004,0.0,1.1678
Texas Tech,6,South,0.2605,0.2172,0.05,0.0019,0.0003,0.0,0.5299
S Carolina,6,Midwest,0.4022,0.1382,0.0364,0.004,0.0002,0.0,0.581
Baylor,3,West,0.9625,0.3474,0.1274,0.0251,0.0001,0.0,1.4625
Kansas,4,Midwest,0.588,0.3192,0.0207,0.0039,0.0001,0.0,0.9319
Clemson,6,West,0.4502,0.2833,0.135,0.0358,0.0001,0.0,0.9044
Grd Canyon,12,West,0.6756,0.1009,0.0373,0.0138,0.0001,0.0,0.8277
Samford,13,Midwest,0.412,0.1909,0.0095,0.0021,0.0001,0.0,0.6146
Texas A&M,9,South,0.5314,0.0136,0.0042,0.0011,0.0001,0.0,0.5504
Nebraska,8,South,0.4686,0.0089,0.0019,0.0004,0.0001,0.0,0.4799
San Diego St,5,East,0.6993,0.2584,0.0006,0.0,0.0,0.0,0.9583
James Madison,12,South,0.6684,0.1848,0.0088,0.0023,0.0,0.0,0.8643
Washington St,7,East,0.6452,0.1417,0.0317,0.0001,0.0,0.0,0.8187
Duquesne,11,East,0.6527,0.1111,0.0284,0.0,0.0,0.0,0.7922
Nevada,10,West,0.5187,0.1315,0.0471,0.0076,0.0,0.0,0.7049
Dayton,7,West,0.4813,0.1149,0.0358,0.0035,0.0,0.0,0.6355
Oakland,14,South,0.5519,0.0554,0.0043,0.0001,0.0,0.0,0.6117
Texas,7,Midwest,0.5191,0.0651,0.0177,0.0011,0.0,0.0,0.603
Colorado St,10,Midwest,0.4809,0.0568,0.0142,0.0009,0.0,0.0,0.5528
Mississippi St,8,West,0.3654,0.1133,0.0212,0.0066,0.0,0.0,0.5065
Kentucky,3,South,0.4481,0.0374,0.0019,0.0001,0.0,0.0,0.4875
Drake,10,East,0.3548,0.0488,0.0077,0.0,0.0,0.0,0.4113
Wisconsin,5,South,0.3316,0.0568,0.0009,0.0,0.0,0.0,0.3893
BYU,6,East,0.3473,0.0361,0.0056,0.0,0.0,0.0,0.389
UAB,12,East,0.3007,0.0691,0.0,0.0,0.0,0.0,0.3698
St Marys,5,West,0.3244,0.0295,0.005,0.0009,0.0,0.0,0.3598
TCU,9,Midwest,0.2419,0.0089,0.0045,0.0006,0.0,0.0,0.2559
Florida,7,South,0.1814,0.0453,0.0155,0.0006,0.0,0.0,0.2428
Yale,13,East,0.1575,0.0525,0.0,0.0,0.0,0.0,0.21
Fla Atlantic,8,East,0.1873,0.0001,0.0,0.0,0.0,0.0,0.1874
McNeese,12,Midwest,0.1222,0.0155,0.0002,0.0001,0.0,0.0,0.138
Charleston,13,West,0.047,0.0146,0.0029,0.0007,0.0,0.0,0.0652
Vermont,13,South,0.0426,0.0052,0.0001,0.0001,0.0,0.0,0.048
Colgate,14,West,0.0375,0.0007,0.0,0.0,0.0,0.0,0.0382
Morehead St,14,East,0.0269,0.0049,0.0001,0.0,0.0,0.0,0.0319
Akron,14,Midwest,0.017,0.0005,0.0,0.0,0.0,0.0,0.0175
Long Beach St,15,West,0.0151,0.0006,0.0,0.0,0.0,0.0,0.0157
Western KY,15,South,0.0056,0.0,0.0,0.0,0.0,0.0,0.0056
S Dakota St,15,East,0.0032,0.0,0.0,0.0,0.0,0.0,0.0032
St Peters,15,Midwest,0.0024,0.0001,0.0,0.0,0.0,0.0,0.0025
Grambling,16,Midwest,0.0012,0.0,0.0,0.0,0.0,0.0,0.0012
Wagner,16,West,0.0006,0.0,0.0,0.0,0.0,0.0,0.0006
Longwood,16,South,0.0005,0.0,0.0,0.0,0.0,0.0,0.0005
Stetson,16,East,0.0,0.0,0.0,0.0,0.0,0.0,0.0
