team,seed,wins,finish_label,notes
Duke,1,6,Champion,
Kentucky,1,4,Final Four,
Villanova,1,1,Round of 32,
Wisconsin,1,5,Runner-up,
Arizona,2,3,Elite Eight,
Gonzaga,2,3,Elite Eight,
Kansas,2,1,Round of 32,
Virginia,2,1,Round of 32,
Baylor,3,0,First Round,
Iowa State,3,0,First Round,
Notre Dame,3,3,Elite Eight,
Oklahoma,3,2,Sweet 16,
Georgetown,4,1,Round of 32,
Louisville,4,3,Elite Eight,
Maryland,4,1,Round of 32,
North Carolina,4,2,Sweet 16,
Arkansas,5,1,Round of 32,
Northern Iowa,5,1,Round of 32,
Utah,5,2,Sweet 16,
West Virginia,5,2,Sweet 16,
Butler,6,1,Round of 32,
Providence,6,0,First Round,
SMU,6,0,First Round,
Xavier,6,2,Sweet 16,
Iowa,7,1,Round of 32,
Michigan St,7,4,Final Four,
VCU,7,0,First Round,
Wichita St,7,2,Sweet 16,
Cincinnati,8,1,Round of 32,
NC State,8,2,Sweet 16,
Oregon,8,1,Round of 32,
San Diego St,8,1,Round of 32,
LSU,9,0,First Round,
Oklahoma St,9,0,First Round,
Purdue,9,0,First Round,
St John's,9,0,First Round,
Davidson,10,0,First Round,
Georgia,10,0,First Round,
Indiana,10,0,First Round,
Ohio State,10,1,Round of 32,
BYU,11,0,First Round,
Boise St,11,0,First Round,
Dayton,11,1,Round of 32,
Ole Miss,11,0,First Round,
Texas,11,0,First Round,
UCLA,11,2,Sweet 16,
Buffalo,12,0,First Round,
SF Austin,12,0,First Round,
Wofford,12,0,First Round,
Wyoming,12,0,First Round,
E Washington,13,0,First Round,
Harvard,13,0,First Round,
UC Irvine,13,0,First Round,
Valparaiso,13,0,First Round,
Georgia St,14,1,Round of 32,
Northeastern,14,0,First Round,
UAB,14,1,Round of 32,
UAlbany,14,0,First Round,
Belmont,15,0,First Round,
N Dakota St,15,0,First Round,
New Mexico St,15,0,First Round,
Texas Southern,15,0,First Round,
Coastal,16,0,First Round,
Hampton,16,0,First Round,
Lafayette,16,0,First Round,
Manhattan,16,0,First Round,
North Florida,16,0,First Round,
Robert Morris,16,0,First Round,
