round_name,seed_a,team_a,score_a,seed_b,team_b,score_b
Midwest,1,Kentucky,79,16,Hampton,56
Midwest,8,Cincinnati,66,9,Purdue,65
Midwest,5,West Virginia,68,12,Buffalo,62
Midwest,4,Maryland,65,13,Valparaiso,62
Midwest,6,Butler,56,11,Texas,48
Midwest,3,Notre Dame,69,14,Northeastern,65
Midwest,7,Wichita St,81,10,Indiana,76
Midwest,2,Kansas,75,15,New Mexico St,56
Midwest,1,Kentucky,64,8,Cincinnati,51
Midwest,5,West Virginia,69,4,Maryland,59
Midwest,6,Butler,64,3,Notre Dame,67
Midwest,7,Wichita St,78,2,Kansas,65
Midwest,1,Kentucky,78,5,West Virginia,39
Midwest,3,Notre Dame,81,7,Wichita St,70
Midwest,1,Kentucky,68,3,Notre Dame,66
East,4,Louisville,70,7,Michigan St,76
East,8,NC State,65,4,Louisville,75
East,3,Oklahoma,58,7,Michigan St,62
East,1,Villanova,68,8,NC State,71
East,5,Northern Iowa,53,4,Louisville,66
East,11,Dayton,66,3,Oklahoma,72
East,7,Michigan St,60,2,Virginia,54
East,1,Villanova,93,16,Lafayette,52
East,8,NC State,66,9,LSU,65
East,5,Northern Iowa,71,12,Wyoming,54
East,4,Louisville,57,13,UC Irvine,55
East,6,Providence,53,11,Dayton,66
East,3,Oklahoma,69,14,UAlbany,60
East,7,Michigan St,70,10,Georgia,63
East,2,Virginia,79,15,Belmont,67
Final Four,1,Kentucky,64,1,Wisconsin,71
Final Four,7,Michigan St,61,1,Duke,81
West,1,Wisconsin,86,16,Coastal,72
West,8,Oregon,79,9,Oklahoma St,73
West,5,Arkansas,56,12,Wofford,53
West,4,North Carolina,67,13,Harvard,65
West,6,Xavier,76,11,Ole Miss,57
West,3,Baylor,56,14,Georgia St,57
West,7,VCU,72,10,Ohio State,75
West,2,Arizona,93,15,Texas Southern,72
West,1,Wisconsin,72,8,Oregon,65
West,5,Arkansas,78,4,North Carolina,87
West,6,Xavier,75,14,Georgia St,67
West,10,Ohio State,58,2,Arizona,73
West,1,Wisconsin,79,4,North Carolina,72
West,6,Xavier,60,2,Arizona,68
West,1,Wisconsin,85,2,Arizona,78
South,1,Duke,66,2,Gonzaga,52
South,1,Duke,63,5,Utah,57
South,11,UCLA,62,2,Gonzaga,74
South,1,Duke,68,8,San Diego St,49
South,5,Utah,75,4,Georgetown,64
South,11,UCLA,92,14,UAB,75
South,7,Iowa,68,2,Gonzaga,87
South,1,Duke,85,16,Robert Morris,56
South,8,San Diego St,76,9,St John's,64
South,5,Utah,57,12,SF Austin,50
South,4,Georgetown,84,13,E Washington,74
South,6,SMU,59,11,UCLA,60
South,3,Iowa State,59,14,UAB,60
South,7,Iowa,83,10,Davidson,52
South,2,Gonzaga,86,15,N Dakota St,76
First Four,16,Hampton,74,16,Manhattan,64
First Four,11,Boise St,55,11,Dayton,56
First Four,16,North Florida,77,16,Robert Morris,81
First Four,11,BYU,90,11,Ole Miss,94
Championship,1,Wisconsin,63,1,Duke,68
