team,Seas_Opp_Fouls
West Virginia,22.3
Manhattan,22.0
Auburn,21.7
New Orleans,21.6
Omaha,21.6
TCU,21.5
Texas A&M-CC,21.4
SF Austin,21.2
LIU-Brooklyn,21.1
Buffalo,21.1
Incarnate Word,21.0
BYU,20.8
Oral Roberts,20.8
Texas So,20.8
S Dakota St,20.8
Arizona,20.7
Sam Houston,20.7
Georgia,20.6
Arizona St,20.6
Brown,20.6
Hampton,20.5
San Francisco,20.4
Colorado St,20.3
UTSA,20.3
Florida St,20.3
Siena,20.2
Rhode Island,20.2
Purdue,20.1
Maryland,20.1
W Michigan,20.1
St Fran (NY),20.1
Nicholls,20.0
N Illinois,20.0
Georgetown,20.0
Stanford,20.0
Towson,20.0
Texas Tech,19.9
Kentucky,19.9
Yale,19.9
Xavier,19.9
Dayton,19.9
Elon,19.8
Toledo,19.8
Quinnipiac,19.8
Illinois Chicago,19.8
NW State,19.8
Colorado,19.7
Chattanooga,19.7
Kansas City,19.7
Pacific,19.7
Idaho,19.7
Lipscomb,19.7
Saint Louis,19.7
Gonzaga,19.7
Hou Christian,19.7
Evansville,19.6
Utah,19.6
Wake Forest,19.6
Saint Peter's,19.6
Austin Peay,19.5
Southern,19.5
E Michigan,19.5
UMass,19.5
Villanova,19.5
Charlotte,19.5
Tulsa,19.5
Hofstra,19.4
Grand Canyon,19.4
George Mason,19.4
Alabama,19.4
Maryland ES,19.4
San Diego,19.4
Weber St,19.4
Arkansas,19.3
Portland,19.3
Kansas,19.3
Murray St,19.3
Indiana St,19.3
Wagner,19.2
Louisville,19.2
Portland St,19.2
Hawai'i,19.2
Vermont,19.2
Louisiana,19.2
Princeton,19.2
Providence,19.2
G Washington,19.2
SIU Edward,19.2
Bucknell,19.2
Liberty,19.2
C Michigan,19.2
App State,19.2
Butler,19.1
Alabama A&M,19.1
Niagara,19.1
W Kentucky,19.1
Samford,19.1
Washington St,19.1
New Mexico St,19.1
Duke,19.1
Mississippi St,19.1
E Washington,19.1
Kansas St,19.1
Binghamton,19.1
UTEP,19.1
UT Arlington,19.0
W Carolina,19.0
NJIT,19.0
S Alabama,19.0
Seton Hall,19.0
Purdue FW,19.0
Vanderbilt,19.0
Norfolk St,19.0
Iowa St,18.9
Oakland,18.9
NC State,18.9
Marist,18.9
Delaware,18.9
Idaho St,18.9
North Dakota,18.8
South Carolina,18.8
Army,18.8
SMU,18.8
Belmont,18.8
St Bonaventure,18.7
Albany,18.7
N Florida,18.7
S Utah,18.7
Mississippi,18.7
Monmouth,18.7
VCU,18.7
NC A&T,18.7
Jacksonville St,18.6
E Tennessee St,18.6
Little Rock,18.6
Iona,18.6
Wyoming,18.6
J Madison,18.6
Texas,18.6
Creighton,18.5
Furman,18.5
Marshall,18.5
Lamar,18.5
Rider,18.5
CS Northridge,18.5
UT Rio Grande,18.4
N Iowa,18.4
Mercer,18.4
SE Missouri St,18.4
Green Bay,18.4
Pepperdine,18.4
C Arkansas,18.4
St John's,18.4
UAB,18.4
N Arizona,18.4
CS Fullerton,18.3
Northeastern,18.3
Alabama St,18.3
Wofford,18.3
NC Wilmington,18.3
VMI,18.3
Minnesota,18.3
Indiana,18.3
Boston U,18.3
Texas A&M,18.2
Howard,18.2
North Carolina,18.2
Tulane,18.2
Oklahoma St,18.2
N Colorado,18.2
N Texas,18.2
CS Bakersfield,18.2
Wisconsin,18.2
Savannah St,18.2
Detroit Mercy,18.2
Troy,18.1
UC Riverside,18.1
UMBC,18.1
Long Beach St,18.1
Nebraska,18.1
Coastal Car,18.1
Sacred Heart,18.1
Dartmouth,18.1
Valparaiso,18.1
Milwaukee,18.0
S Illinois,18.0
UCLA,18.0
New Mexico,18.0
Marquette,18.0
Winthrop,18.0
Penn St,18.0
Morgan St,18.0
Montana,18.0
Miami OH,18.0
Saint Mary's,18.0
Wichita St,17.9
Baylor,17.9
USC,17.9
UC Davis,17.9
Tennessee St,17.9
Charleston So,17.9
Texas St,17.9
Michigan St,17.9
Oregon St,17.9
Florida A&M,17.9
UMass Lowell,17.9
Saint Joseph's,17.9
High Point,17.9
Montana St,17.9
Oklahoma,17.9
Harvard,17.9
Iowa,17.9
Morehead St,17.8
Washington,17.8
New Hampshire,17.8
Bethune,17.8
Robert Morris,17.8
Richmond,17.8
Nevada,17.8
Clemson,17.8
Davidson,17.8
Ohio St,17.8
Loyola Mymt,17.8
Illinois St,17.8
Youngstown St,17.8
Ball St,17.8
F Dickinson,17.8
Boston College,17.8
Coppin St,17.8
Loyola MD,17.8
Fairfield,17.7
UCSB,17.7
Jacksonville,17.7
NC Asheville,17.7
Louisiana Tech,17.7
South Dakota,17.7
LSU,17.7
Tenn Tech,17.7
Missouri,17.7
Charleston,17.7
Delaware St,17.6
NC Central,17.6
The Citadel,17.6
DePaul,17.6
Kent St,17.6
Stony Brook,17.6
Fresno St,17.6
Bowling Green,17.6
FGCU,17.5
Georgia So,17.5
Stetson,17.5
Alcorn St,17.5
Cornell,17.5
Miss Valley St,17.5
Radford,17.5
Oregon,17.4
Prairie View,17.4
Miami,17.4
Georgia Tech,17.4
Syracuse,17.4
Gardner-Webb,17.4
Middle Tenn,17.4
Sacramento St,17.3
Jackson St,17.3
Duquesne,17.3
Georgia St,17.3
IU Indy,17.3
Utah Valley,17.3
Houston,17.3
Santa Clara,17.2
La Salle,17.2
UCF,17.1
Holy Cross,17.1
N Dakota St,17.1
Pittsburgh,17.1
E Illinois,17.1
California,17.1
Cincinnati,17.1
Penn,17.1
Air Force,17.1
SE Louisiana,17.1
American,17.1
Temple,17.1
William & Mary,17.0
Bradley,17.0
AR-Pine Bluff,17.0
S Florida,17.0
Lehigh,17.0
Seattle,16.9
Old Dominion,16.9
Canisius,16.9
UNLV,16.9
Tennessee,16.9
E Kentucky,16.9
Utah St,16.9
NC Greensboro,16.9
Florida Intl,16.8
Rice,16.8
Hartford,16.8
St Francis PA,16.8
Mt St Mary's,16.8
San Diego St,16.8
Akron,16.8
UC Irvine,16.8
SC Upstate,16.8
Rutgers,16.8
Arkansas St,16.8
Fordham,16.7
Bryant,16.7
Boise St,16.7
Illinois,16.6
Notre Dame,16.6
W Illinois,16.6
E Carolina,16.6
UConn,16.6
Virginia Tech,16.6
Lafayette,16.5
Drexel,16.5
Abl Christian,16.5
S Carolina St,16.5
Loyola Chi,16.4
Ohio,16.4
N Kentucky,16.4
UT Martin,16.3
Missouri St,16.3
Virginia,16.3
Navy,16.3
Campbell,16.2
Southern Miss,16.2
Memphis,16.2
Grambling,16.1
Cal Poly,16.0
Drake,16.0
Florida Atlantic,16.0
Longwood,15.9
Denver,15.9
Kennesaw St,15.9
Cleveland St,15.8
Presbyterian,15.8
Chicago St,15.8
Florida,15.8
McNeese,15.7
Maine,15.7
Wright St,15.6
C Connecticut,15.6
San Jose St,15.6
Michigan,15.5
Columbia,15.1
Northwestern,15.0
Colgate,15.0
UL Monroe,14.6
