team,Seas_3PT_Per
UC Davis,0.441
Idaho,0.41
Lafayette,0.408
Sacramento St,0.408
Indiana,0.406
Drake,0.406
The Citadel,0.402
Utah,0.401
Gonzaga,0.4
N Iowa,0.39799999999999996
S Utah,0.397
Vanderbilt,0.396
Iona,0.396
Colgate,0.395
Utah St,0.39399999999999996
UT Martin,0.39399999999999996
E Washington,0.39299999999999996
Loyola Chi,0.39299999999999996
BYU,0.39
Notre Dame,0.39
Villanova,0.389
Virginia Tech,0.389
William & Mary,0.389
Boise St,0.389
Duke,0.387
Davidson,0.387
High Point,0.386
Northeastern,0.386
Michigan St,0.385
Valparaiso,0.384
Murray St,0.38299999999999995
Maryland ES,0.382
UC Irvine,0.382
Baylor,0.382
N Dakota St,0.382
S Dakota St,0.381
N Florida,0.381
Bucknell,0.381
Denver,0.38
Cleveland St,0.379
Kansas,0.379
Detroit Mercy,0.379
Abl Christian,0.37799999999999995
Portland,0.37799999999999995
Seattle,0.37799999999999995
Stanford,0.377
Belmont,0.377
Charlotte,0.376
Maryland,0.376
N Colorado,0.375
Robert Morris,0.375
E Illinois,0.374
New Hampshire,0.374
J Madison,0.374
American,0.374
SF Austin,0.373
Portland St,0.373
Princeton,0.373
Minnesota,0.37200000000000005
Rice,0.37200000000000005
NJIT,0.371
Saint Mary's,0.371
Ohio St,0.37
UCSB,0.37
Longwood,0.369
SIU Edward,0.369
C Michigan,0.369
Oregon,0.369
Boston U,0.368
NW State,0.368
UCLA,0.368
Wofford,0.368
E Tennessee St,0.36700000000000005
Kent St,0.366
Toledo,0.366
Montana,0.366
UTEP,0.366
Yale,0.365
Wisconsin,0.365
Middle Tenn,0.363
Purdue FW,0.363
New Mexico St,0.363
SMU,0.363
Iowa St,0.36200000000000004
Hofstra,0.36200000000000004
Duquesne,0.36200000000000004
UNLV,0.361
NC Greensboro,0.361
Arizona,0.36
Campbell,0.36
Northwestern,0.36
W Michigan,0.359
Columbia,0.359
Coastal Car,0.359
California,0.359
Albany,0.358
Oral Roberts,0.358
Jacksonville,0.358
North Carolina,0.358
Miami,0.358
South Dakota,0.358
Indiana St,0.35700000000000004
NC State,0.35600000000000004
NC Central,0.35600000000000004
Dayton,0.35600000000000004
Montana St,0.35600000000000004
W Kentucky,0.35600000000000004
E Carolina,0.35600000000000004
Youngstown St,0.35600000000000004
Butler,0.35600000000000004
Illinois,0.355
Oakland,0.355
UConn,0.355
Winthrop,0.355
Air Force,0.354
Alabama St,0.354
Wichita St,0.354
Georgetown,0.353
Coppin St,0.353
Michigan,0.353
Evansville,0.353
C Arkansas,0.353
NC Asheville,0.35200000000000004
G Washington,0.35200000000000004
Virginia,0.35200000000000004
W Illinois,0.35200000000000004
DePaul,0.35200000000000004
E Kentucky,0.35100000000000003
Niagara,0.35100000000000003
Loyola Mymt,0.35100000000000003
Xavier,0.35100000000000003
Auburn,0.35
Arizona St,0.35
Delaware St,0.35
Seton Hall,0.35
Incarnate Word,0.35
Arkansas,0.349
Florida Atlantic,0.349
Vermont,0.349
Akron,0.349
Weber St,0.349
Idaho St,0.349
UMass Lowell,0.349
Kentucky,0.349
Texas A&M,0.349
Tennessee St,0.348
Lehigh,0.348
W Carolina,0.348
Colorado St,0.348
N Arizona,0.34700000000000003
Louisiana,0.34700000000000003
Bryant,0.34600000000000003
Dartmouth,0.34600000000000003
Penn,0.34600000000000003
Gardner-Webb,0.34600000000000003
Creighton,0.34600000000000003
Oklahoma St,0.34600000000000003
Santa Clara,0.34600000000000003
Delaware,0.345
St John's,0.345
Norfolk St,0.345
San Diego,0.345
UCF,0.345
Elon,0.345
Miami OH,0.344
Marquette,0.344
Chattanooga,0.344
Illinois St,0.34299999999999997
Charleston,0.34299999999999997
VCU,0.34299999999999997
Oklahoma,0.34299999999999997
Harvard,0.34299999999999997
Saint Peter's,0.34299999999999997
Washington St,0.342
Mercer,0.342
Georgia,0.342
Pacific,0.342
Wright St,0.341
Buffalo,0.341
Ohio,0.34
NC Wilmington,0.34
Morehead St,0.34
Little Rock,0.34
Samford,0.34
Richmond,0.34
New Orleans,0.33899999999999997
FGCU,0.33899999999999997
LSU,0.33899999999999997
Texas,0.33799999999999997
Bowling Green,0.33799999999999997
Monmouth,0.33799999999999997
Grand Canyon,0.337
San Francisco,0.337
Holy Cross,0.337
Charleston So,0.337
SE Missouri St,0.337
Ball St,0.336
Pittsburgh,0.336
Manhattan,0.336
Penn St,0.336
Wake Forest,0.336
Texas A&M-CC,0.335
Troy,0.335
Kansas St,0.335
Colorado,0.335
N Kentucky,0.33399999999999996
Rider,0.33399999999999996
Kansas City,0.33399999999999996
Iowa,0.33299999999999996
Washington,0.33299999999999996
Navy,0.33299999999999996
S Illinois,0.33299999999999996
Mississippi,0.332
Long Beach St,0.332
AR-Pine Bluff,0.332
UAB,0.332
Siena,0.332
Milwaukee,0.332
SC Upstate,0.332
St Francis PA,0.331
Tennessee,0.331
Omaha,0.331
Prairie View,0.331
North Dakota,0.331
Mt St Mary's,0.33
UC Riverside,0.33
CS Northridge,0.33
Drexel,0.33
Cincinnati,0.32899999999999996
Louisiana Tech,0.32899999999999996
USC,0.32899999999999996
S Alabama,0.32899999999999996
Furman,0.32799999999999996
Hawai'i,0.32799999999999996
Memphis,0.32799999999999996
Southern Miss,0.32799999999999996
TCU,0.327
Purdue,0.327
UMBC,0.326
UTSA,0.326
Radford,0.326
Missouri,0.326
Hartford,0.326
Wyoming,0.326
Lipscomb,0.326
Old Dominion,0.325
Loyola MD,0.325
Maine,0.325
LIU-Brooklyn,0.324
Boston College,0.324
Florida,0.32299999999999995
Tulsa,0.32299999999999995
Army,0.32299999999999995
Georgia St,0.32299999999999995
Texas Tech,0.32299999999999995
Fairfield,0.322
N Illinois,0.322
Texas So,0.322
Alabama,0.322
Tenn Tech,0.322
Stony Brook,0.322
C Connecticut,0.322
