team,Seas_Turnovers
Hawai'i,13.0
Vermont,13.0
Rutgers,13.0
Milwaukee,13.0
Presbyterian,13.0
Purdue,13.1
J Madison,13.1
The Citadel,13.1
St Fran (NY),13.1
Elon,13.1
Drake,13.2
Kansas St,13.2
Colorado,13.2
Southern,13.3
Lehigh,13.3
UC Riverside,13.3
Houston,13.3
Detroit Mercy,13.3
Weber St,13.3
UT Rio Grande,13.3
UMass Lowell,13.3
Sam Houston,13.3
Furman,13.3
UC Davis,13.3
DePaul,13.3
Memphis,13.3
Army,13.3
Towson,13.4
Wake Forest,13.4
Morehead St,13.4
N Texas,13.4
Arkansas St,13.5
S Florida,13.5
Charlotte,13.5
Coppin St,13.5
Loyola Mymt,13.5
Delaware St,13.6
Niagara,13.6
Omaha,13.6
UAB,13.6
SIU Edward,13.6
Montana St,13.6
Marist,13.6
W Carolina,13.6
Seattle,13.7
Belmont,13.7
Robert Morris,13.7
LIU-Brooklyn,13.7
App State,13.7
Alabama St,13.7
SF Austin,13.7
C Connecticut,13.7
Norfolk St,13.7
NJIT,13.7
Bethune,13.7
Binghamton,13.7
S Utah,13.8
Sacred Heart,13.8
New Mexico St,13.8
San Jose St,13.8
Northeastern,13.8
Texas Tech,13.8
Rhode Island,13.8
Tenn Tech,13.9
Wagner,13.9
Quinnipiac,13.9
N Illinois,13.9
Saint Louis,13.9
USC,13.9
Arizona St,13.9
Nevada,14.0
Southern Miss,14.0
Long Beach St,14.1
Indiana St,14.1
Troy,14.1
UMass,14.1
Kennesaw St,14.1
Ball St,14.1
Tennessee St,14.1
Austin Peay,14.1
Hampton,14.1
Alabama A&M,14.1
Longwood,14.2
Rice,14.2
Prairie View,14.3
Florida A&M,14.3
NC Asheville,14.3
George Mason,14.3
Jackson St,14.3
LSU,14.4
S Alabama,14.5
Maine,14.5
Hou Christian,14.6
Brown,14.6
UT Arlington,14.7
Louisiana,14.7
Fordham,14.8
NC A&T,14.8
Chicago St,14.9
Mississippi St,14.9
Florida Intl,14.9
Penn,15.0
Miss Valley St,15.0
Florida St,15.1
Manhattan,15.2
VMI,15.2
Marshall,15.3
Maryland ES,15.3
New Orleans,15.4
UMBC,15.5
SE Louisiana,15.5
IU Indy,15.5
AR-Pine Bluff,15.8
Lamar,15.8
Howard,16.1
Savannah St,16.2
Liberty,16.4
Grambling,17.2
Nicholls,17.2
C Arkansas,18.2
