team,Seas_Turnovers
Wisconsin,7.5
Cal Poly,8.8
Wichita St,9.3
Virginia,9.3
Notre Dame,9.4
Temple,9.5
Davidson,9.5
Michigan,9.7
Pittsburgh,9.7
Richmond,9.9
Illinois,9.9
Miami,10.0
N Dakota St,10.0
Boise St,10.2
N Iowa,10.4
Utah St,10.4
Kentucky,10.4
Georgia St,10.4
NC State,10.4
C Michigan,10.4
Santa Clara,10.5
Little Rock,10.5
Sacramento St,10.5
Colorado St,10.5
N Colorado,10.5
Gonzaga,10.5
Drexel,10.5
St John's,10.6
Villanova,10.6
McNeese,10.6
VCU,10.6
Wofford,10.7
Louisiana Tech,10.7
Morgan St,10.7
Old Dominion,10.8
UCSB,10.8
Stanford,10.8
SC Upstate,10.8
Holy Cross,10.9
E Washington,10.9
Duke,10.9
Grand Canyon,11.0
Portland St,11.0
Mercer,11.0
California,11.0
Arizona,11.1
Iowa St,11.1
Butler,11.1
Iowa,11.1
Fresno St,11.1
Bucknell,11.1
Hofstra,11.1
Kent St,11.1
Northwestern,11.2
Incarnate Word,11.2
E Carolina,11.2
Mississippi,11.2
American,11.2
Wyoming,11.2
South Dakota,11.3
Denver,11.3
UNLV,11.3
Illinois Chicago,11.3
William & Mary,11.3
Coastal Car,11.3
S Dakota St,11.3
Michigan St,11.3
Ohio St,11.3
Tulsa,11.4
Louisville,11.4
UL Monroe,11.4
Utah,11.4
San Diego St,11.4
Virginia Tech,11.5
Buffalo,11.5
Harvard,11.5
Lafayette,11.5
Indiana,11.5
Charleston So,11.5
Dayton,11.5
Murray St,11.5
High Point,11.5
UConn,11.5
Albany,11.5
Colgate,11.6
Oregon,11.6
FGCU,11.6
N Kentucky,11.6
Washington,11.6
Oral Roberts,11.6
E Kentucky,11.6
UC Irvine,11.7
Air Force,11.7
Alcorn St,11.7
N Arizona,11.7
Clemson,11.7
UT Martin,11.8
Bowling Green,11.8
San Diego,11.8
Navy,11.8
Bryant,11.8
Youngstown St,11.8
Montana,11.8
Oregon St,11.8
Washington St,11.8
San Francisco,11.8
Alabama,11.8
NW State,11.9
G Washington,11.9
Georgia So,11.9
W Michigan,11.9
Creighton,11.9
Saint Mary's,11.9
Portland,11.9
Canisius,11.9
Syracuse,11.9
UCLA,11.9
Arkansas,11.9
Idaho St,12.0
Winthrop,12.0
E Michigan,12.0
Cleveland St,12.0
TCU,12.0
Providence,12.0
Oklahoma,12.0
Gardner-Webb,12.0
Valparaiso,12.0
Oklahoma St,12.0
Charleston,12.0
Radford,12.0
Green Bay,12.0
Jacksonville St,12.0
Missouri St,12.0
NC Central,12.1
Xavier,12.1
Penn St,12.1
UTSA,12.1
Columbia,12.1
Boston College,12.1
Tennessee,12.1
Minnesota,12.1
E Illinois,12.1
Hartford,12.1
Idaho,12.1
Princeton,12.2
Jacksonville,12.2
Akron,12.2
Stetson,12.2
Stony Brook,12.2
BYU,12.2
Iona,12.2
Purdue FW,12.2
Delaware,12.2
New Hampshire,12.2
Mt St Mary's,12.2
Saint Peter's,12.2
Cornell,12.2
Toledo,12.3
Wright St,12.3
North Dakota,12.3
Pepperdine,12.3
UTEP,12.3
Maryland,12.3
Duquesne,12.3
SMU,12.3
Texas A&M-CC,12.3
St Francis PA,12.4
CS Bakersfield,12.4
W Illinois,12.4
NC Wilmington,12.4
Pacific,12.4
N Florida,12.4
St Bonaventure,12.4
Seton Hall,12.4
Florida,12.4
Boston U,12.4
Saint Joseph's,12.5
Georgetown,12.5
Rider,12.5
Texas A&M,12.5
Siena,12.5
Nebraska,12.5
Marquette,12.6
Utah Valley,12.6
Ohio,12.6
S Carolina St,12.6
Campbell,12.6
Bradley,12.6
Loyola Chi,12.6
Florida Atlantic,12.6
NC Greensboro,12.6
Oakland,12.6
Georgia Tech,12.6
New Mexico,12.7
F Dickinson,12.7
North Carolina,12.7
Baylor,12.7
Cincinnati,12.7
South Carolina,12.8
Georgia,12.8
Illinois St,12.8
Fairfield,12.8
S Illinois,12.8
CS Fullerton,12.8
Middle Tenn,12.8
Evansville,12.8
Abl Christian,12.8
E Tennessee St,12.8
Texas St,12.8
SE Missouri St,12.8
Vanderbilt,12.8
Texas,12.8
Tulane,12.8
Yale,12.8
Kansas,12.9
Monmouth,12.9
Dartmouth,12.9
Chattanooga,12.9
Samford,12.9
Missouri,12.9
Auburn,12.9
UCF,12.9
Loyola MD,12.9
CS Northridge,12.9
Kansas City,12.9
West Virginia,12.9
Lipscomb,13.0
W Kentucky,13.0
Miami OH,13.0
Texas So,13.0
La Salle,13.0
