team,Seas_Succ_3PT
Rice,0.429
VMI,0.425
Akron,0.419
Davidson,0.405
Columbia,0.401
Belmont,0.4
Coppin St,0.397
C Michigan,0.39299999999999996
Campbell,0.391
Charleston So,0.389
E Tennessee St,0.384
Hartford,0.384
Montana St,0.382
E Kentucky,0.381
San Jose St,0.379
Houston,0.377
E Washington,0.376
Boise St,0.373
UMass Lowell,0.37200000000000005
Iona,0.371
Longwood,0.365
Indiana,0.363
Michigan,0.36200000000000004
Mt St Mary's,0.361
William & Mary,0.361
Denver,0.36
Ball St,0.36
UC Davis,0.359
Princeton,0.359
NJIT,0.35700000000000004
Abl Christian,0.35700000000000004
Villanova,0.355
Creighton,0.354
N Florida,0.353
E Carolina,0.349
Colgate,0.349
Florida Atlantic,0.34700000000000003
E Illinois,0.34600000000000003
Montana,0.34600000000000003
Marist,0.345
Boston U,0.34299999999999997
Marshall,0.34299999999999997
UT Martin,0.342
Utah St,0.341
Hofstra,0.341
Gardner-Webb,0.34
Lipscomb,0.34
N Iowa,0.33799999999999997
Miami,0.33799999999999997
W Illinois,0.33799999999999997
VCU,0.337
New Hampshire,0.337
Northwestern,0.337
Delaware St,0.336
Virginia Tech,0.335
DePaul,0.335
SC Upstate,0.335
S Dakota St,0.33399999999999996
Indiana St,0.33299999999999996
Air Force,0.332
St Francis PA,0.331
Santa Clara,0.33
American,0.33
Chicago St,0.33
Georgia So,0.33
Bryant,0.32899999999999996
Kent St,0.32899999999999996
Drake,0.32899999999999996
N Dakota St,0.32799999999999996
Cleveland St,0.32799999999999996
Duquesne,0.327
Winthrop,0.326
The Citadel,0.326
Maine,0.326
Weber St,0.325
Seattle,0.325
S Utah,0.324
Middle Tenn,0.32299999999999995
Auburn,0.32299999999999995
Fairfield,0.322
Lafayette,0.321
Ohio,0.321
Maryland,0.32
W Kentucky,0.32
Southern Miss,0.319
Utah,0.319
AR-Pine Bluff,0.319
Michigan St,0.318
Kennesaw St,0.317
NC Asheville,0.316
Milwaukee,0.314
Oakland,0.314
Oklahoma St,0.313
UNLV,0.313
Illinois,0.313
Pacific,0.313
Vanderbilt,0.313
F Dickinson,0.312
Florida,0.311
C Arkansas,0.31
Long Beach St,0.31
Idaho,0.309
Army,0.309
J Madison,0.309
Purdue FW,0.308
BYU,0.308
Kansas City,0.308
N Kentucky,0.308
Furman,0.307
Elon,0.307
SIU Edward,0.307
Saint Mary's,0.307
Valparaiso,0.307
Notre Dame,0.306
Charleston,0.306
Baylor,0.306
UC Riverside,0.305
Bowling Green,0.305
Sam Houston,0.304
NW State,0.304
App State,0.303
UCF,0.302
UConn,0.302
Delaware,0.302
Little Rock,0.302
Seton Hall,0.302
Troy,0.302
Missouri,0.301
Tulane,0.301
Yale,0.301
UCSB,0.3
Wright St,0.3
