team,Seas_FT_Succ
Georgia So,0.6609999999999999
SE Louisiana,0.6609999999999999
San Jose St,0.6609999999999999
Binghamton,0.6609999999999999
Texas So,0.6609999999999999
Saint Peter's,0.66
SC Upstate,0.66
Charleston,0.66
UTEP,0.66
Akron,0.66
Kent St,0.659
Air Force,0.659
New Mexico,0.6579999999999999
Texas A&M,0.6579999999999999
Syracuse,0.6579999999999999
VCU,0.657
Stetson,0.657
UMass Lowell,0.657
W Kentucky,0.657
Alcorn St,0.657
Seton Hall,0.657
Rhode Island,0.6559999999999999
Maryland ES,0.6559999999999999
Norfolk St,0.655
Alabama St,0.654
Miss Valley St,0.654
E Illinois,0.653
Rutgers,0.653
Saint Louis,0.653
Tulane,0.652
Hampton,0.652
Idaho St,0.6509999999999999
California,0.65
Charlotte,0.65
Florida A&M,0.649
Prairie View,0.649
Pacific,0.648
Georgia Tech,0.648
Grambling,0.648
Alabama A&M,0.648
Presbyterian,0.647
Tulsa,0.647
Jackson St,0.647
Dartmouth,0.6459999999999999
Marshall,0.645
McNeese,0.645
Marquette,0.645
Sacred Heart,0.644
UCF,0.644
UMBC,0.644
Florida Intl,0.643
Texas Tech,0.642
Virginia Tech,0.64
Green Bay,0.64
Southern,0.639
Wake Forest,0.638
Florida,0.635
USC,0.634
N Texas,0.634
Duquesne,0.633
San Francisco,0.632
Michigan St,0.632
San Diego St,0.63
Nicholls,0.629
NC Greensboro,0.629
Campbell,0.623
Morgan St,0.622
Tennessee St,0.621
Southern Miss,0.621
S Florida,0.616
Saint Joseph's,0.615
TCU,0.615
Rider,0.603
S Carolina St,0.601
Savannah St,0.565
