team,Seas_Fouls
Wisconsin,12.5
C Connecticut,13.8
Wyoming,14.0
Northeastern,14.2
San Diego St,14.2
Notre Dame,14.2
Virginia,14.3
Michigan,14.5
American,14.5
N Iowa,14.5
Cincinnati,14.9
UT Martin,15.2
Syracuse,15.2
UL Monroe,15.2
The Citadel,15.3
N Dakota St,15.4
Iowa St,15.5
Southern Miss,15.6
High Point,15.6
Drake,15.6
Miami,15.6
Troy,15.6
Duke,15.6
Marquette,15.7
Lafayette,15.7
Loyola Chi,15.7
LSU,15.7
UCF,15.7
St Francis PA,15.7
Iowa,15.8
UMBC,15.8
Harvard,15.9
Dayton,15.9
G Washington,16.0
Mercer,16.1
Ohio St,16.1
J Madison,16.1
New Mexico St,16.1
Presbyterian,16.1
William & Mary,16.2
Clemson,16.2
SMU,16.2
Utah St,16.2
Oklahoma,16.3
Texas,16.3
UConn,16.3
Gardner-Webb,16.4
Albany,16.5
UTSA,16.5
E Illinois,16.5
Cal Poly,16.5
Villanova,16.5
Purdue FW,16.5
Rutgers,16.6
Belmont,16.6
UNLV,16.6
Baylor,16.6
Georgia Tech,16.6
Bowling Green,16.7
Maryland,16.7
Tulsa,16.7
Valparaiso,16.7
Louisiana Tech,16.7
Wichita St,16.7
Coastal Car,16.7
N Florida,16.8
Colorado St,16.8
Gonzaga,16.8
Saint Joseph's,16.8
SC Upstate,16.8
Seattle,16.8
Utah,16.9
Florida,16.9
Stony Brook,16.9
E Kentucky,16.9
Sacramento St,17.0
UC Irvine,17.0
Wofford,17.0
Richmond,17.0
Ohio,17.0
Kentucky,17.1
Toledo,17.1
Temple,17.1
Colgate,17.1
Charleston So,17.1
UTEP,17.2
Arkansas St,17.2
McNeese,17.2
Georgia So,17.2
Boise St,17.2
St Bonaventure,17.2
Washington,17.2
E Carolina,17.3
Vanderbilt,17.3
Stetson,17.3
Iona,17.3
FGCU,17.3
Louisville,17.3
W Illinois,17.3
Butler,17.4
New Mexico,17.4
Delaware,17.4
Texas So,17.4
Evansville,17.4
Delaware St,17.4
Texas Tech,17.4
Milwaukee,17.4
Charlotte,17.4
Navy,17.5
Utah Valley,17.5
Drexel,17.5
Pepperdine,17.5
Illinois,17.5
Saint Mary's,17.5
Austin Peay,17.5
Oakland,17.5
Boston U,17.6
Loyola Mymt,17.6
Texas St,17.6
Lehigh,17.6
Houston,17.6
USC,17.6
Kennesaw St,17.6
La Salle,17.6
NC State,17.6
Idaho St,17.6
S Alabama,17.6
Old Dominion,17.7
Tulane,17.7
Yale,17.7
Marist,17.7
St John's,17.7
Indiana,17.7
Portland St,17.7
UAB,17.7
Kansas,17.8
Missouri St,17.8
Xavier,17.8
Winthrop,17.8
C Michigan,17.8
Creighton,17.8
Pittsburgh,17.8
N Texas,17.8
Air Force,17.8
Florida A&M,17.9
Northwestern,17.9
Rider,17.9
Arizona,17.9
UCLA,17.9
Binghamton,17.9
UC Davis,17.9
Furman,17.9
Columbia,18.0
Alcorn St,18.0
S Carolina St,18.0
Alabama St,18.0
Texas A&M,18.0
Duquesne,18.0
Colorado,18.1
Virginia Tech,18.1
Bryant,18.1
UT Rio Grande,18.1
Wake Forest,18.1
Illinois Chicago,18.1
UMass Lowell,18.1
W Kentucky,18.1
Minnesota,18.2
E Washington,18.2
Campbell,18.2
Weber St,18.2
CS Northridge,18.3
St Fran (NY),18.3
Indiana St,18.3
Jacksonville,18.3
San Jose St,18.3
Mt St Mary's,18.3
Memphis,18.3
Middle Tenn,18.3
Florida Atlantic,18.3
SIU Edward,18.3
Georgia St,18.4
SE Louisiana,18.4
Sacred Heart,18.4
Georgia,18.4
Oregon,18.4
Portland,18.4
Washington St,18.4
W Michigan,18.4
Miss Valley St,18.4
Providence,18.4
Howard,18.4
Florida Intl,18.4
Canisius,18.4
Buffalo,18.4
Murray St,18.4
Maine,18.4
UMass,18.5
Florida St,18.5
S Illinois,18.5
NC A&T,18.5
Hartford,18.6
Kent St,18.6
Robert Morris,18.6
Davidson,18.6
Green Bay,18.6
South Dakota,18.6
Radford,18.6
Youngstown St,18.6
Niagara,18.6
CS Fullerton,18.7
Bucknell,18.7
Louisiana,18.7
N Arizona,18.7
Nebraska,18.7
Morgan St,18.7
NC Central,18.7
Arizona St,18.8
Akron,18.8
Monmouth,18.8
Purdue,18.9
Oregon St,18.9
Rice,18.9
Michigan St,18.9
Fordham,18.9
Princeton,18.9
NW State,19.0
S Florida,19.0
Miami OH,19.0
Boston College,19.0
Arkansas,19.0
Santa Clara,19.0
App State,19.0
California,19.0
Quinnipiac,19.0
Oral Roberts,19.0
Mississippi St,19.0
Fairfield,19.1
Little Rock,19.1
Incarnate Word,19.1
Hofstra,19.1
Stanford,19.1
Grambling,19.1
Alabama,19.2
Oklahoma St,19.2
VCU,19.2
N Illinois,19.2
Brown,19.2
Illinois St,19.2
Seton Hall,19.2
Dartmouth,19.2
Vermont,19.2
UCSB,19.2
Long Beach St,19.2
Saint Peter's,19.2
Wright St,19.2
Kansas City,19.3
Cornell,19.3
Cleveland St,19.3
Jacksonville St,19.3
Ball St,19.3
South Carolina,19.3
North Carolina,19.4
Montana,19.4
Tenn Tech,19.4
AR-Pine Bluff,19.4
Missouri,19.5
Holy Cross,19.5
Nevada,19.5
Tennessee,19.5
Bethune,19.5
New Hampshire,19.5
Savannah St,19.6
Liberty,19.6
Grand Canyon,19.6
Mississippi,19.6
