team,Seas_Opp_3PT_Rate
Florida Atlantic,0.21100000000000002
New Mexico St,0.235
TCU,0.245
VMI,0.247
California,0.254
Wisconsin,0.258
Fairfield,0.265
St Fran (NY),0.265
Rhode Island,0.265
Manhattan,0.272
San Diego,0.27399999999999997
Duke,0.276
N Florida,0.276
Chattanooga,0.276
Weber St,0.27699999999999997
SF Austin,0.27899999999999997
Milwaukee,0.28
Sam Houston,0.28
Texas So,0.28300000000000003
Arizona St,0.285
Northeastern,0.28800000000000003
C Arkansas,0.28800000000000003
Radford,0.28800000000000003
Louisiana Tech,0.289
Army,0.289
Savannah St,0.289
UC Irvine,0.29100000000000004
Illinois Chicago,0.29100000000000004
Alabama A&M,0.29100000000000004
LSU,0.292
Utah,0.293
Richmond,0.293
Tulane,0.293
UMass,0.294
Incarnate Word,0.294
App State,0.294
Washington,0.294
Vermont,0.294
Mt St Mary's,0.295
La Salle,0.295
Alcorn St,0.295
Bucknell,0.295
Montana St,0.29600000000000004
Washington St,0.29600000000000004
Gardner-Webb,0.297
S Alabama,0.297
Kent St,0.297
North Dakota,0.297
UC Riverside,0.297
Princeton,0.298
Louisiana,0.298
Indiana St,0.298
Denver,0.298
Oral Roberts,0.3
Columbia,0.301
Prairie View,0.302
Hampton,0.302
Green Bay,0.303
NC Wilmington,0.303
Pepperdine,0.303
Gonzaga,0.303
Jacksonville St,0.303
Grand Canyon,0.303
Wichita St,0.304
Morgan St,0.304
UCF,0.304
Indiana,0.304
S Utah,0.304
UNLV,0.305
Purdue,0.305
Kentucky,0.305
Drexel,0.306
Brown,0.306
Alabama St,0.306
Akron,0.306
Quinnipiac,0.308
Texas,0.308
Pittsburgh,0.308
Coppin St,0.308
Memphis,0.309
DePaul,0.31
NW State,0.311
Samford,0.311
Arkansas,0.312
New Orleans,0.313
IU Indy,0.313
Wofford,0.313
Southern,0.313
NC State,0.313
Boston College,0.315
Notre Dame,0.315
Arizona,0.315
Florida,0.315
S Dakota St,0.315
Holy Cross,0.316
Harvard,0.317
Louisville,0.318
UAB,0.318
Hou Christian,0.318
Seton Hall,0.319
Kansas St,0.319
Nicholls,0.319
Iona,0.319
Kansas,0.32
SE Missouri St,0.32
San Diego St,0.32
UTEP,0.32
CS Fullerton,0.321
West Virginia,0.322
Charleston,0.322
Oklahoma St,0.322
Villanova,0.322
Cal Poly,0.322
Colgate,0.322
Rice,0.322
Stanford,0.32299999999999995
BYU,0.32299999999999995
Yale,0.32299999999999995
Portland,0.324
Wright St,0.324
Morehead St,0.324
