team,Seas_Off_Rebound_Per
Quinnipiac,0.41100000000000003
Baylor,0.40700000000000003
St Fran (NY),0.396
New Mexico St,0.39399999999999996
Nevada,0.39
Kentucky,0.38799999999999996
Towson,0.385
West Virginia,0.385
North Carolina,0.384
Texas,0.373
Georgia Tech,0.37
SF Austin,0.361
Wagner,0.36
Stony Brook,0.359
Cincinnati,0.359
Memphis,0.359
TCU,0.359
Hou Christian,0.35600000000000004
Jackson St,0.35600000000000004
Purdue,0.35200000000000004
N Illinois,0.35100000000000003
Tenn Tech,0.35
SMU,0.35
Old Dominion,0.35
Murray St,0.349
Duke,0.348
Tennessee,0.34700000000000003
Sam Houston,0.34700000000000003
G Washington,0.34600000000000003
Arkansas,0.345
Maryland ES,0.342
George Mason,0.341
Alabama A&M,0.341
Siena,0.341
Arizona,0.34
Illinois St,0.33899999999999997
Alabama St,0.33899999999999997
N Arizona,0.33799999999999997
Iowa,0.336
Louisville,0.336
SC Upstate,0.336
Portland,0.336
Virginia,0.336
San Diego St,0.335
Radford,0.33399999999999996
Kansas,0.33299999999999996
Houston,0.33299999999999996
Clemson,0.331
Louisiana,0.331
Wichita St,0.33
Coastal Car,0.33
Georgetown,0.32899999999999996
Saint Mary's,0.32899999999999996
Indiana,0.32899999999999996
Colorado,0.32799999999999996
McNeese,0.32799999999999996
W Carolina,0.32799999999999996
Yale,0.32799999999999996
Kent St,0.32799999999999996
UTSA,0.327
Charlotte,0.327
New Orleans,0.327
Mississippi,0.326
Valparaiso,0.326
NC State,0.325
Michigan St,0.325
Syracuse,0.325
South Carolina,0.324
UAB,0.324
UMass,0.324
Morgan St,0.324
CS Bakersfield,0.324
St Bonaventure,0.324
Seton Hall,0.32299999999999995
Colorado St,0.32299999999999995
Norfolk St,0.32299999999999995
Green Bay,0.322
Texas Tech,0.322
Lamar,0.322
Fordham,0.322
FGCU,0.322
Buffalo,0.322
Canisius,0.322
Morehead St,0.322
Gonzaga,0.321
Texas A&M,0.321
Bethune,0.32
Providence,0.32
NC A&T,0.32
Pittsburgh,0.318
Howard,0.318
Ohio St,0.318
New Mexico,0.318
Pacific,0.318
Loyola Mymt,0.317
Chicago St,0.317
Charleston So,0.316
Hawai'i,0.316
LSU,0.316
Chattanooga,0.316
UCLA,0.315
Hofstra,0.315
Villanova,0.315
Harvard,0.314
Mercer,0.314
Sacred Heart,0.314
Stanford,0.314
Albany,0.313
BYU,0.313
Cleveland St,0.312
Butler,0.312
Mississippi St,0.311
Kansas St,0.309
Tulane,0.308
Columbia,0.308
UL Monroe,0.307
Georgia So,0.307
Wisconsin,0.306
Florida,0.305
Saint Peter's,0.305
Georgia,0.305
Austin Peay,0.305
Rider,0.304
Bradley,0.303
Vanderbilt,0.303
Utah,0.303
Troy,0.303
Middle Tenn,0.303
SE Missouri St,0.303
Texas So,0.302
Toledo,0.302
VCU,0.301
USC,0.301
Cal Poly,0.3
Oklahoma,0.3
Rhode Island,0.3
Dartmouth,0.3
NC Wilmington,0.299
NC Asheville,0.299
Hampton,0.299
Akron,0.299
Wake Forest,0.298
Bowling Green,0.298
VMI,0.298
Temple,0.297
Saint Joseph's,0.297
Niagara,0.29600000000000004
Florida St,0.29600000000000004
Tulsa,0.29600000000000004
Prairie View,0.29600000000000004
UCSB,0.295
Southern,0.294
S Florida,0.294
UT Arlington,0.294
S Illinois,0.294
IU Indy,0.293
Omaha,0.293
Duquesne,0.293
Long Beach St,0.292
C Connecticut,0.292
N Colorado,0.292
Loyola MD,0.292
UT Martin,0.29100000000000004
LIU-Brooklyn,0.29100000000000004
Xavier,0.29100000000000004
Kansas City,0.29100000000000004
Delaware St,0.29
N Texas,0.29
Arizona St,0.29
App State,0.289
Idaho,0.289
Texas A&M-CC,0.289
Manhattan,0.289
Robert Morris,0.28800000000000003
NC Central,0.28800000000000003
W Kentucky,0.28800000000000003
South Dakota,0.287
UC Irvine,0.287
Rutgers,0.28600000000000003
Bucknell,0.28600000000000003
Liberty,0.285
Nicholls,0.284
Georgia St,0.28300000000000003
Creighton,0.28300000000000003
Winthrop,0.28300000000000003
Oregon,0.282
Davidson,0.282
Washington,0.281
High Point,0.281
Gardner-Webb,0.281
Seattle,0.281
UConn,0.281
Ball St,0.28
San Francisco,0.28
UC Riverside,0.28
Oral Roberts,0.28
Alcorn St,0.28
E Tennessee St,0.28
Northeastern,0.28
Penn St,0.27899999999999997
The Citadel,0.27899999999999997
Mt St Mary's,0.27899999999999997
