team,Seas_PPG
NW State,83.6
BYU,82.1
Duke,79.6
Iona,79.5
E Washington,79.2
Hofstra,78.5
Davidson,78.3
SF Austin,78.0
Notre Dame,78.0
Murray St,78.0
Gonzaga,77.8
Iowa St,77.8
North Carolina,77.7
Indiana,77.4
Arkansas,77.4
VMI,77.1
Incarnate Word,77.0
Arizona,76.6
Villanova,76.5
Idaho,76.4
Omaha,76.1
Ohio St,75.3
Toledo,75.2
C Michigan,75.0
Louisiana,75.0
Oregon,74.8
Buffalo,74.6
Kentucky,74.4
N Florida,74.0
Charlotte,73.8
N Colorado,73.8
Oakland,73.6
Belmont,73.6
LSU,73.4
Xavier,73.3
Gardner-Webb,73.2
Minnesota,73.1
Louisiana Tech,73.1
Lafayette,73.0
Mississippi,72.8
Sacred Heart,72.8
Wisconsin,72.7
West Virginia,72.6
S Dakota St,72.6
VCU,72.5
Stanford,72.3
UCLA,71.9
William & Mary,71.9
Hawai'i,71.8
Colorado St,71.7
Winthrop,71.7
Oklahoma,71.5
E Tennessee St,71.4
Army,71.4
Charleston So,71.4
Kansas,71.1
Michigan St,71.1
UT Arlington,71.0
High Point,70.9
UC Davis,70.9
NC Asheville,70.9
Utah,70.9
Georgetown,70.9
Youngstown St,70.8
Duquesne,70.7
Alabama St,70.7
Sam Houston,70.7
Washington St,70.6
Lipscomb,70.6
Portland St,70.6
Coppin St,70.5
Coastal Car,70.5
Montana,70.5
Chattanooga,70.4
St John's,70.3
Vanderbilt,70.3
Radford,70.2
W Michigan,70.2
NC State,70.1
Georgia St,70.1
Sacramento St,70.0
Purdue,69.9
Siena,69.8
W Carolina,69.8
Iowa,69.8
Quinnipiac,69.7
W Kentucky,69.7
Providence,69.7
Manhattan,69.7
UTSA,69.6
Evansville,69.6
Portland,69.6
Tenn Tech,69.5
NJIT,69.4
Arizona St,69.4
Boise St,69.4
UMass,69.4
DePaul,69.4
Detroit Mercy,69.3
Wichita St,69.3
Norfolk St,69.3
UTEP,69.2
E Kentucky,69.1
Morehead St,69.1
Illinois,69.1
SMU,69.1
Maryland,69.1
Wake Forest,69.0
Butler,69.0
South Dakota,69.0
Louisville,69.0
Robert Morris,69.0
Colorado,69.0
Little Rock,69.0
Hou Christian,68.9
NC Wilmington,68.8
Saint Mary's,68.8
Delaware St,68.8
Purdue FW,68.8
Baylor,68.7
San Francisco,68.7
Washington,68.6
New Orleans,68.6
S Utah,68.5
N Arizona,68.5
Northeastern,68.5
St Fran (NY),68.5
UT Martin,68.5
Samford,68.5
S Alabama,68.4
Oral Roberts,68.4
Seton Hall,68.4
SC Upstate,68.3
Texas So,68.3
N Kentucky,68.3
Lamar,68.3
Bucknell,68.2
Miami,68.2
Valparaiso,68.2
E Michigan,68.2
Georgia,68.2
TCU,68.2
SE Missouri St,68.1
UAB,68.1
NC Greensboro,68.0
Princeton,67.9
Grand Canyon,67.9
Wagner,67.9
Boston U,67.9
FGCU,67.8
Elon,67.8
Texas A&M,67.8
Dayton,67.8
UCSB,67.7
Syracuse,67.6
Ohio,67.6
New Mexico St,67.6
SE Louisiana,67.5
Maryland ES,67.5
Auburn,67.5
McNeese,67.4
LIU-Brooklyn,67.4
Akron,67.4
Texas,67.4
Memphis,67.3
Creighton,67.3
Green Bay,67.3
St Bonaventure,67.3
G Washington,67.3
Illinois St,67.2
J Madison,67.2
Prairie View,67.1
North Dakota,67.1
Hampton,67.0
Alabama,67.0
USC,67.0
Lehigh,67.0
Penn St,66.9
Rhode Island,66.8
UNLV,66.8
Oklahoma St,66.7
Florida St,66.6
Pittsburgh,66.6
California,66.5
Bowling Green,66.5
Vermont,66.5
Longwood,66.4
UC Irvine,66.4
Cleveland St,66.4
Bryant,66.4
Utah St,66.3
Miami OH,66.3
F Dickinson,66.2
Kent St,66.2
Mercer,66.2
Richmond,66.1
Indiana St,66.1
Delaware,66.0
Troy,66.0
Temple,65.8
Texas A&M-CC,65.8
Boston College,65.8
Canisius,65.7
UCF,65.7
Georgia So,65.7
New Hampshire,65.6
Long Beach St,65.6
Yale,65.5
Wofford,65.5
SIU Edward,65.4
Virginia,65.4
Albany,65.3
Marshall,65.3
Virginia Tech,65.3
C Arkansas,65.3
Colgate,65.3
Weber St,65.3
Rider,65.2
N Iowa,65.2
Milwaukee,65.1
Marquette,65.1
Brown,65.0
N Illinois,65.0
Old Dominion,64.9
NC Central,64.9
Stetson,64.9
Holy Cross,64.8
Air Force,64.7
Monmouth,64.7
South Carolina,64.6
Stony Brook,64.6
Rice,64.6
San Diego,64.5
Houston,64.4
Niagara,64.3
N Dakota St,64.3
Tulsa,64.3
N Texas,64.2
