team,Seas_Def_Rebound_Per
Arizona,0.8140000000000001
N Dakota St,0.7879999999999999
Wisconsin,0.785
Virginia,0.78
New Hampshire,0.779
Arizona St,0.7759999999999999
Colorado St,0.7759999999999999
Stony Brook,0.773
Northeastern,0.772
Georgia Tech,0.7709999999999999
Butler,0.77
California,0.77
Saint Mary's,0.768
Wichita St,0.765
S Illinois,0.765
N Arizona,0.765
Michigan St,0.764
Old Dominion,0.764
New Mexico,0.762
Bucknell,0.7609999999999999
Middle Tenn,0.759
Wyoming,0.759
Texas,0.758
UT Martin,0.758
Princeton,0.758
Albany,0.757
Valparaiso,0.757
Harvard,0.7559999999999999
Boise St,0.7559999999999999
N Iowa,0.755
CS Bakersfield,0.755
Quinnipiac,0.754
CS Fullerton,0.753
Sam Houston,0.753
Wake Forest,0.7509999999999999
Gonzaga,0.748
Purdue FW,0.748
Idaho,0.748
Utah,0.747
Stanford,0.747
Xavier,0.747
Louisiana,0.745
Georgia,0.745
Colorado,0.7440000000000001
Morehead St,0.7440000000000001
Jackson St,0.7440000000000001
Ball St,0.743
Yale,0.743
Illinois,0.742
Dayton,0.741
Colgate,0.74
Wofford,0.74
Tulsa,0.74
Evansville,0.74
Hofstra,0.74
Coastal Car,0.74
Boston U,0.738
SMU,0.738
St Fran (NY),0.737
Texas A&M,0.737
South Dakota,0.737
Montana St,0.736
Rhode Island,0.736
UCLA,0.736
BYU,0.736
Creighton,0.736
Green Bay,0.7340000000000001
Seattle,0.7340000000000001
Charleston So,0.7340000000000001
Dartmouth,0.733
Florida,0.733
Cal Poly,0.733
Villanova,0.733
St Bonaventure,0.733
Fordham,0.733
IU Indy,0.732
Providence,0.732
S Dakota St,0.731
Montana,0.731
Vermont,0.731
Miami,0.731
Tenn Tech,0.731
UCSB,0.73
Navy,0.73
S Utah,0.73
Milwaukee,0.73
Loyola MD,0.73
Illinois St,0.73
Bradley,0.7290000000000001
North Dakota,0.7290000000000001
Temple,0.728
George Mason,0.728
N Kentucky,0.728
Omaha,0.728
Purdue,0.728
Cleveland St,0.728
Columbia,0.728
Cornell,0.727
Towson,0.727
Hampton,0.726
App State,0.726
Tulane,0.726
Bowling Green,0.726
Illinois Chicago,0.726
Alabama St,0.726
SF Austin,0.726
Holy Cross,0.725
UC Riverside,0.725
San Diego St,0.725
Austin Peay,0.7240000000000001
Georgetown,0.7240000000000001
W Kentucky,0.7240000000000001
W Illinois,0.723
UL Monroe,0.723
Penn,0.722
Iowa St,0.722
Washington St,0.722
Detroit Mercy,0.722
Rider,0.721
Nebraska,0.721
Missouri St,0.721
VCU,0.721
Ohio,0.721
Hartford,0.721
Penn St,0.72
Buffalo,0.72
Norfolk St,0.72
Mississippi St,0.72
Iowa,0.72
Saint Joseph's,0.7190000000000001
Niagara,0.7190000000000001
Chattanooga,0.7190000000000001
UTEP,0.7190000000000001
NC State,0.7190000000000001
Weber St,0.718
NC Central,0.718
NC Greensboro,0.718
Pittsburgh,0.718
Duke,0.718
CS Northridge,0.718
Oakland,0.718
Lehigh,0.7170000000000001
Kentucky,0.7170000000000001
N Illinois,0.7170000000000001
Toledo,0.716
Little Rock,0.716
Miami OH,0.716
Campbell,0.716
Maryland,0.715
New Mexico St,0.715
William & Mary,0.715
Brown,0.715
Louisville,0.7140000000000001
W Michigan,0.7140000000000001
Belmont,0.713
Memphis,0.713
San Diego,0.713
San Francisco,0.713
Wright St,0.713
Denver,0.7120000000000001
Oregon,0.7120000000000001
Clemson,0.711
Wagner,0.711
Northwestern,0.711
UConn,0.711
Charlotte,0.711
Syracuse,0.71
Portland,0.71
Mississippi,0.71
Oklahoma,0.71
North Carolina,0.7090000000000001
Akron,0.7090000000000001
FGCU,0.7090000000000001
Indiana,0.7090000000000001
E Washington,0.7090000000000001
Lipscomb,0.7090000000000001
Incarnate Word,0.708
Pacific,0.708
UMass,0.7070000000000001
Saint Peter's,0.7070000000000001
Arkansas St,0.7070000000000001
Indiana St,0.7070000000000001
Baylor,0.7070000000000001
SE Missouri St,0.706
UMass Lowell,0.706
Davidson,0.706
Rutgers,0.706
Drexel,0.705
C Michigan,0.705
Utah Valley,0.705
Portland St,0.705
N Florida,0.705
Ohio St,0.7040000000000001
Kansas St,0.7040000000000001
La Salle,0.7040000000000001
Florida St,0.7040000000000001
Army,0.7040000000000001
Oral Roberts,0.703
American,0.703
Delaware St,0.703
G Washington,0.703
Alabama,0.703
Cincinnati,0.7020000000000001
South Carolina,0.7020000000000001
Florida Intl,0.7020000000000001
Canisius,0.7020000000000001
Kansas,0.701
Maryland ES,0.701
Lamar,0.701
Notre Dame,0.701
Boston College,0.701
Loyola Chi,0.701
Kent St,0.701
UMBC,0.701
West Virginia,0.701
UNLV,0.7
Delaware,0.7
High Point,0.7
SIU Edward,0.6990000000000001
Sacramento St,0.6990000000000001
UC Irvine,0.6990000000000001
St Francis PA,0.698
Oregon St,0.698
Michigan,0.6970000000000001
Hou Christian,0.6970000000000001
LIU-Brooklyn,0.6970000000000001
Texas St,0.6970000000000001
Pepperdine,0.696
Elon,0.696
Drake,0.696
Charleston,0.696
TCU,0.695
N Colorado,0.695
NC Wilmington,0.695
Oklahoma St,0.695
NC Asheville,0.695
Nevada,0.6940000000000001
Saint Louis,0.6940000000000001
Florida Atlantic,0.6940000000000001
UTSA,0.6940000000000001
Minnesota,0.6940000000000001
Mt St Mary's,0.693
SE Louisiana,0.693
Furman,0.693
Rice,0.693
Winthrop,0.693
UAB,0.6920000000000001
