team,Seas_Opp_PPG
AR-Pine Bluff,66.9
Creighton,66.9
Saint Louis,66.9
Drake,66.9
Alabama St,67.0
Florida St,67.0
Binghamton,67.0
Marquette,67.0
IU Indy,67.1
UMBC,67.1
Kansas City,67.1
Maryland ES,67.2
Santa Clara,67.2
Rutgers,67.2
UC Riverside,67.2
Penn,67.2
Holy Cross,67.2
California,67.3
Stanford,67.3
Xavier,67.4
Boston College,67.4
St John's,67.5
Chicago St,67.5
Quinnipiac,67.5
Norfolk St,67.6
Savannah St,67.6
LSU,67.7
Manhattan,67.7
Campbell,67.7
S Carolina St,67.7
Bryant,67.7
UAB,67.7
Indiana St,67.8
N Arizona,67.9
William & Mary,67.9
Washington,67.9
Chattanooga,67.9
Seton Hall,68.0
Minnesota,68.0
Murray St,68.0
Long Beach St,68.1
UCLA,68.1
Colorado,68.1
SIU Edward,68.2
Missouri,68.2
W Kentucky,68.2
Texas So,68.2
Winthrop,68.2
Hampton,68.2
Florida Atlantic,68.2
Buffalo,68.3
Hawai'i,68.3
J Madison,68.3
C Michigan,68.4
Mississippi,68.4
San Francisco,68.4
Wright St,68.4
Tennessee St,68.4
N Texas,68.5
Montana,68.5
Robert Morris,68.5
Purdue FW,68.5
Radford,68.6
NJIT,68.6
S Florida,68.6
Alabama A&M,68.7
Marist,68.8
High Point,68.8
North Carolina,68.8
Southern Miss,68.9
Fordham,68.9
N Florida,68.9
Iowa St,69.0
Weber St,69.0
Grand Canyon,69.1
Bucknell,69.1
Jacksonville St,69.2
Portland,69.2
Sacramento St,69.2
Ball St,69.2
George Mason,69.3
Virginia Tech,69.4
UT Rio Grande,69.4
NC Wilmington,69.5
Pacific,69.5
Davidson,69.5
Troy,69.6
SE Missouri St,69.6
Arkansas St,69.6
Idaho St,69.7
Prairie View,69.8
Furman,69.8
W Michigan,70.1
C Connecticut,70.1
App State,70.1
Arkansas,70.1
Milwaukee,70.1
Hofstra,70.2
Brown,70.2
Oral Roberts,70.3
UTSA,70.3
Miami OH,70.3
Boston U,70.4
South Dakota,70.4
Belmont,70.4
UMass,70.5
Little Rock,70.5
Louisiana,70.5
The Citadel,70.6
Charleston So,70.6
N Kentucky,70.6
San Jose St,70.7
Loyola Mymt,70.9
Morgan St,70.9
USC,71.0
Elon,71.0
Toledo,71.0
CS Fullerton,71.0
Oregon,71.1
Illinois Chicago,71.1
CS Northridge,71.2
LIU-Brooklyn,71.2
Liberty,71.2
Presbyterian,71.3
Marshall,71.6
NC Greensboro,71.6
Detroit Mercy,71.7
Indiana,71.7
W Illinois,71.7
Niagara,71.8
Abl Christian,71.9
UT Arlington,71.9
W Carolina,72.0
Delaware,72.0
Tenn Tech,72.1
McNeese,72.1
Wake Forest,72.1
Ohio,72.2
UCF,72.2
E Tennessee St,72.2
SE Louisiana,72.3
Samford,72.3
Charlotte,72.4
Auburn,72.4
NC Asheville,72.5
Lamar,72.7
Montana St,72.8
Delaware St,72.8
Florida A&M,72.9
Army,72.9
Lafayette,73.2
Iona,73.3
Portland St,73.4
Jacksonville,73.4
DePaul,73.6
BYU,73.6
Austin Peay,73.7
Nicholls,73.8
Grambling,73.8
Siena,73.8
Longwood,73.9
F Dickinson,73.9
Kennesaw St,74.1
New Orleans,74.1
Sacred Heart,74.2
Alcorn St,74.2
Wagner,74.4
Stetson,74.4
N Colorado,74.4
E Washington,74.6
Maine,74.8
S Alabama,74.8
S Utah,75.0
Duquesne,75.1
Gardner-Webb,75.3
North Dakota,75.5
Oakland,76.2
Lipscomb,76.3
Hou Christian,76.5
Washington St,76.5
Incarnate Word,76.7
Youngstown St,76.7
Idaho,77.3
Omaha,78.2
Miss Valley St,80.1
C Arkansas,82.2
VMI,83.0
Coppin St,83.6
NW State,84.6
