team,Seas_Opp_PPG
Virginia,51.5
San Diego St,54.0
Kentucky,54.3
N Iowa,54.6
NC Central,55.5
Cincinnati,55.8
Old Dominion,57.1
Utah,57.4
Wyoming,57.4
Wichita St,57.4
Wisconsin,57.9
Harvard,58.5
American,58.6
Oregon St,59.1
Arizona,59.7
SMU,59.7
Vermont,59.7
Louisville,59.8
Valparaiso,59.9
Wofford,59.9
UConn,60.0
Florida,60.1
New Mexico,60.2
Baylor,60.2
New Mexico St,60.2
Saint Peter's,60.2
Loyola Chi,60.3
Texas,60.3
Rhode Island,60.4
Tulsa,60.5
Albany,60.5
Stony Brook,60.6
Boise St,60.8
Cal Poly,60.8
Dayton,60.8
Villanova,60.9
Butler,61.0
Yale,61.1
Temple,61.2
Green Bay,61.2
Richmond,61.2
UL Monroe,61.2
Georgia So,61.4
Pepperdine,61.6
Sam Houston,61.7
Texas St,61.7
Gonzaga,61.8
CS Bakersfield,61.9
G Washington,62.0
S Illinois,62.0
Columbia,62.0
Bethune,62.1
Bradley,62.1
Illinois St,62.1
Clemson,62.2
La Salle,62.3
South Carolina,62.3
Bowling Green,62.3
Iowa,62.3
TCU,62.4
Cornell,62.4
N Dakota St,62.4
Middle Tenn,62.5
Cleveland St,62.6
Georgia St,62.6
Howard,62.6
Seattle,62.6
Oklahoma,62.7
San Diego,62.9
Canisius,62.9
Texas A&M,62.9
Ohio St,63.0
Denver,63.0
New Hampshire,63.1
Dartmouth,63.1
Memphis,63.1
SC Upstate,63.1
Nebraska,63.1
Kent St,63.2
Akron,63.2
UC Irvine,63.3
Miami,63.3
Maryland,63.4
Syracuse,63.4
Oklahoma St,63.4
Jackson St,63.5
Illinois,63.6
Michigan St,63.6
Utah St,63.7
Rider,63.7
UTEP,63.8
Kansas St,63.8
Michigan,63.9
Saint Mary's,63.9
St Francis PA,63.9
Monmouth,63.9
Mississippi St,64.1
Mercer,64.1
Duke,64.2
Tennessee,64.2
Southern,64.3
Colorado St,64.3
Texas Tech,64.3
Georgia,64.4
St Fran (NY),64.4
Saint Joseph's,64.5
Purdue,64.6
Northwestern,64.6
Charleston,64.6
Alabama,64.6
Georgia Tech,64.6
Vanderbilt,64.6
Hartford,64.6
Tulane,64.6
FGCU,64.7
St Bonaventure,64.7
Drexel,64.7
UNLV,64.8
Colgate,64.8
Kansas,64.8
Mt St Mary's,64.8
Utah Valley,64.9
Texas A&M-CC,65.0
E Kentucky,65.0
Navy,65.1
Northeastern,65.1
UCSB,65.2
SF Austin,65.2
Georgetown,65.2
Coastal Car,65.4
Missouri St,65.5
Providence,65.5
Pittsburgh,65.5
Houston,65.5
Towson,65.7
NC State,65.8
Notre Dame,65.8
VCU,65.8
Fairfield,65.8
Air Force,65.9
E Carolina,65.9
Louisiana Tech,66.0
S Dakota St,66.1
E Michigan,66.1
UC Davis,66.2
Loyola MD,66.2
Evansville,66.2
Penn St,66.2
E Illinois,66.2
Princeton,66.3
Lehigh,66.4
Morehead St,66.5
Florida Intl,66.5
Nevada,66.6
Arizona St,66.6
NC A&T,66.6
Rice,66.6
N Illinois,66.7
UT Martin,66.7
West Virginia,66.8
UMass Lowell,66.8
Fresno St,66.9
