team,Seas_Opp_Off_Rebound
Oklahoma,0.303
Grambling,0.303
VMI,0.303
S Utah,0.304
E Michigan,0.304
UTEP,0.304
Sam Houston,0.304
S Indiana,0.304
Iowa,0.305
UT Arlington,0.306
Georgia So,0.306
Florida A&M,0.306
Missouri,0.307
Delaware,0.307
Abl Christian,0.307
N Kentucky,0.308
Alcorn St,0.308
Cleveland St,0.308
Washington St,0.308
UL Monroe,0.308
Maine,0.308
Kansas St,0.31
Oakland,0.31
E Kentucky,0.311
Manhattan,0.312
LSU,0.312
Chicago St,0.312
SF Austin,0.312
G Washington,0.313
Utah Tech,0.313
Samford,0.313
Mercyhurst,0.314
S Alabama,0.314
E Washington,0.314
Purdue FW,0.314
Tarleton St,0.316
UMBC,0.317
The Citadel,0.317
SC Upstate,0.318
Stetson,0.318
Oral Roberts,0.318
NC Asheville,0.319
UCF,0.319
Long Beach St,0.319
UC Davis,0.322
Le Moyne,0.32299999999999995
IU Indy,0.324
Texas So,0.325
Cal Poly,0.325
Maryland ES,0.326
Little Rock,0.326
Howard,0.326
Alabama A&M,0.326
UT Rio Grande,0.32799999999999996
Fresno St,0.32899999999999996
South Dakota,0.33
Coppin St,0.331
N Florida,0.331
Canisius,0.33299999999999996
Monmouth,0.33299999999999996
Norfolk St,0.336
UTSA,0.336
New Orleans,0.33799999999999997
AR-Pine Bluff,0.33899999999999997
Louisiana,0.342
E Texas A&M,0.34600000000000003
Morgan St,0.36200000000000004
Merrimack,0.369
Miss Valley St,0.37200000000000005
NC Central,0.377
Prairie View,0.38
