team,Seas_Opp_3PT_Succ
Albany,0.35600000000000004
N Iowa,0.35600000000000004
UMass Lowell,0.35600000000000004
CS Bakersfield,0.35700000000000004
UTSA,0.35700000000000004
CS Northridge,0.35700000000000004
Mercyhurst,0.35700000000000004
BYU,0.35700000000000004
Rider,0.35700000000000004
Prairie View,0.35700000000000004
Nevada,0.35700000000000004
Grambling,0.35700000000000004
AR-Pine Bluff,0.35700000000000004
Lafayette,0.358
Chicago St,0.358
Radford,0.358
Mississippi St,0.358
Incarnate Word,0.358
Pacific,0.358
W Michigan,0.358
UMBC,0.358
Baylor,0.359
Duquesne,0.359
C Michigan,0.359
South Dakota,0.359
Stetson,0.359
Indiana St,0.359
Oakland,0.359
UT Arlington,0.36
Fairfield,0.36
Boston U,0.361
Quinnipiac,0.361
Missouri St,0.361
Texas St,0.361
S Illinois,0.361
Canisius,0.36200000000000004
Sam Houston,0.36200000000000004
NW State,0.36200000000000004
Air Force,0.363
Stony Brook,0.363
Coppin St,0.363
New Orleans,0.364
Seton Hall,0.366
Sacramento St,0.366
Vanderbilt,0.366
S Indiana,0.36700000000000005
Weber St,0.36700000000000005
N Arizona,0.36700000000000005
Wright St,0.36700000000000005
Niagara,0.36700000000000005
W Georgia,0.368
Morgan St,0.368
E Washington,0.369
N Kentucky,0.37
Le Moyne,0.37
Green Bay,0.37
Florida Atlantic,0.371
North Dakota,0.371
Buffalo,0.37200000000000005
Idaho St,0.373
IU Indy,0.373
Colgate,0.373
E Texas A&M,0.374
Penn,0.375
Ohio,0.376
California,0.376
Miss Valley St,0.377
E Michigan,0.377
Portland,0.37799999999999995
Austin Peay,0.379
N Illinois,0.38
Long Beach St,0.381
Toledo,0.382
E Carolina,0.384
San Diego,0.385
C Arkansas,0.387
Bellarmine,0.39
Alabama A&M,0.39
Columbia,0.392
Miami,0.397
