team,Seas_3PT_Per
E Illinois,0.317
S Alabama,0.317
Albany,0.317
Boise St,0.317
Florida St,0.317
South Carolina,0.316
Wagner,0.316
S Florida,0.316
South Dakota,0.316
Morgan St,0.316
Prairie View,0.315
Maryland ES,0.315
Middle Tenn,0.315
California,0.315
Fairfield,0.315
Mississippi St,0.314
Marist,0.314
E Texas A&M,0.314
C Michigan,0.313
St Bonaventure,0.313
Louisiana,0.313
Fresno St,0.313
Youngstown St,0.313
Miami,0.313
G Washington,0.313
Illinois,0.313
Seattle,0.313
Grand Canyon,0.313
Idaho St,0.312
Southern,0.312
Morehead St,0.312
E Carolina,0.312
Army,0.312
Kent St,0.312
Richmond,0.312
Rider,0.312
Seton Hall,0.312
Tulsa,0.312
Sacramento St,0.312
Michigan St,0.311
UT Martin,0.311
VMI,0.31
Charlotte,0.31
AR-Pine Bluff,0.31
Hawai'i,0.31
New Mexico St,0.309
Alabama A&M,0.308
Norfolk St,0.308
Texas A&M,0.307
Charleston So,0.307
Oakland,0.306
Kennesaw St,0.306
Chicago St,0.306
NJIT,0.305
S Utah,0.305
LSU,0.305
Buffalo,0.305
New Orleans,0.304
LIU,0.303
Wichita St,0.302
St John's,0.301
Troy,0.301
NC A&T,0.3
TCU,0.3
Evansville,0.299
Southern Miss,0.298
Quinnipiac,0.298
Pacific,0.297
San Diego,0.297
W Georgia,0.297
W Carolina,0.297
C Arkansas,0.29600000000000004
SC Upstate,0.294
The Citadel,0.292
Coppin St,0.29
Abl Christian,0.289
Miss Valley St,0.28800000000000003
Florida Intl,0.28800000000000003
SF Austin,0.287
Wake Forest,0.285
Old Dominion,0.28300000000000003
W Michigan,0.282
UMass,0.28
CS Fullerton,0.27
Lindenwood,0.267
