team,Seas_Def_Rebound_Per
S Florida,0.7
Old Dominion,0.6990000000000001
San Jose St,0.6990000000000001
Seton Hall,0.698
NW State,0.698
Green Bay,0.698
Stony Brook,0.6970000000000001
NC State,0.6970000000000001
Oklahoma,0.6970000000000001
Grambling,0.6970000000000001
VMI,0.6970000000000001
S Utah,0.696
E Michigan,0.696
UTEP,0.696
Sam Houston,0.696
S Indiana,0.696
Iowa,0.695
UT Arlington,0.6940000000000001
Georgia So,0.6940000000000001
Florida A&M,0.6940000000000001
Missouri,0.693
Delaware,0.693
Abl Christian,0.693
N Kentucky,0.6920000000000001
Alcorn St,0.6920000000000001
Cleveland St,0.6920000000000001
Washington St,0.6920000000000001
UL Monroe,0.6920000000000001
Maine,0.6920000000000001
Kansas St,0.69
Oakland,0.69
E Kentucky,0.6890000000000001
Manhattan,0.688
LSU,0.688
Chicago St,0.688
SF Austin,0.688
G Washington,0.687
Utah Tech,0.687
Samford,0.687
Mercyhurst,0.6859999999999999
S Alabama,0.6859999999999999
E Washington,0.6859999999999999
Purdue FW,0.6859999999999999
Tarleton St,0.684
UMBC,0.6829999999999999
The Citadel,0.6829999999999999
SC Upstate,0.682
Stetson,0.682
Oral Roberts,0.682
NC Asheville,0.6809999999999999
UCF,0.6809999999999999
Long Beach St,0.6809999999999999
UC Davis,0.6779999999999999
Le Moyne,0.677
IU Indy,0.6759999999999999
Texas So,0.675
Cal Poly,0.675
Maryland ES,0.674
Little Rock,0.674
Howard,0.674
Alabama A&M,0.674
UT Rio Grande,0.672
Fresno St,0.6709999999999999
South Dakota,0.67
Coppin St,0.669
N Florida,0.669
Canisius,0.667
Monmouth,0.667
Norfolk St,0.664
UTSA,0.664
New Orleans,0.662
AR-Pine Bluff,0.6609999999999999
Louisiana,0.6579999999999999
E Texas A&M,0.654
Morgan St,0.638
Merrimack,0.631
Miss Valley St,0.628
NC Central,0.623
Prairie View,0.62
