team,Seas_Succ_3PT
Oregon St,0.27699999999999997
Georgia St,0.27699999999999997
Southern Miss,0.27699999999999997
Seattle,0.276
UNLV,0.276
Old Dominion,0.275
Georgia,0.275
Arkansas,0.275
Morehead St,0.273
Oklahoma St,0.272
Penn St,0.272
St Bonaventure,0.271
SC Upstate,0.271
TCU,0.271
NC Wilmington,0.27
E Carolina,0.26899999999999996
NC Central,0.26899999999999996
Jackson St,0.268
South Dakota,0.268
Bethune,0.268
Prairie View,0.266
Hawai'i,0.266
UMass Lowell,0.265
Saint Mary's,0.263
LIU,0.263
Arizona,0.261
Southern,0.261
Gonzaga,0.261
S Carolina St,0.261
Cleveland St,0.26
CS Bakersfield,0.257
Syracuse,0.257
Seton Hall,0.256
Indiana,0.255
New Mexico,0.255
E Illinois,0.255
Gardner-Webb,0.254
Temple,0.253
Detroit Mercy,0.253
Miss Valley St,0.252
Tennessee St,0.251
C Michigan,0.249
S Utah,0.249
Portland St,0.248
Coppin St,0.248
Alcorn St,0.247
Longwood,0.247
SE Louisiana,0.247
CS Northridge,0.247
Florida St,0.247
New Orleans,0.245
W Michigan,0.242
Lindenwood,0.242
Rider,0.242
UAB,0.24100000000000002
Wake Forest,0.239
UMass,0.239
Grand Canyon,0.23800000000000002
Texas A&M-CC,0.237
CS Fullerton,0.23600000000000002
Texas St,0.23600000000000002
St John's,0.235
W Georgia,0.235
Utah Valley,0.23399999999999999
Michigan St,0.23399999999999999
Milwaukee,0.233
Toledo,0.225
Florida Intl,0.221
Wichita St,0.21
Tarleton St,0.203
Norfolk St,0.191
Abl Christian,0.182
Delaware St,0.17800000000000002
Morgan St,0.166
