team,Seas_Opp_3PT_Rate
Jackson St,0.41700000000000004
Columbia,0.418
Oklahoma,0.42
Illinois St,0.42
Manhattan,0.42
C Connecticut,0.42
Army,0.42
Florida St,0.42100000000000004
Kent St,0.42200000000000004
Tarleton St,0.42200000000000004
SE Louisiana,0.42200000000000004
Stony Brook,0.423
Bowling Green,0.424
New Orleans,0.424
Dayton,0.424
TCU,0.425
Oklahoma St,0.426
Purdue,0.426
The Citadel,0.42700000000000005
New Mexico St,0.428
Tulane,0.428
Bradley,0.429
Wagner,0.429
Weber St,0.43
Jacksonville St,0.43
Fresno St,0.43
Norfolk St,0.431
Sacred Heart,0.431
NC Greensboro,0.431
St Francis PA,0.431
FGCU,0.433
UNLV,0.434
Belmont,0.434
Houston,0.434
N Alabama,0.434
Mississippi,0.435
NC Wilmington,0.435
Kentucky,0.43700000000000006
W Georgia,0.43700000000000006
C Michigan,0.439
W Carolina,0.44
Mississippi St,0.44
Elon,0.44
Samford,0.44
W Kentucky,0.441
Little Rock,0.442
Utah St,0.444
UCSD,0.444
Seton Hall,0.444
E Illinois,0.444
Iona,0.445
Tennessee,0.446
Nevada,0.447
AR-Pine Bluff,0.449
Evansville,0.449
Omaha,0.45
UCLA,0.45
UL Monroe,0.451
Mt St Mary's,0.452
Alcorn St,0.45299999999999996
CS Fullerton,0.45799999999999996
Villanova,0.45799999999999996
Wake Forest,0.45799999999999996
Nebraska,0.45899999999999996
Sacramento St,0.46
Mercer,0.46
Wofford,0.46
Texas A&M,0.462
George Mason,0.462
BYU,0.462
McNeese,0.469
Detroit Mercy,0.47
St Bonaventure,0.47100000000000003
San Diego St,0.47100000000000003
Bellarmine,0.474
VMI,0.475
Yale,0.478
S Dakota St,0.478
UT Martin,0.48200000000000004
Richmond,0.486
CS Northridge,0.508
C Arkansas,0.521
S Alabama,0.593
