round_name,seed_a,team_a,score_a,seed_b,team_b,score_b
West,1,Gonzaga,98,16,Norfolk St,55
West,8,Oklahoma,72,9,Missouri,68
West,5,Creighton,63,12,Santa Barbara,62
West,4,Virginia,58,13,Ohio,62
West,6,USC,72,11,Drake,56
West,3,Kansas,93,14,E Washington,84
West,2,Iowa,86,15,Grand Canyon,74
West,1,Gonzaga,87,8,Oklahoma,71
West,5,Creighton,72,13,Ohio,58
West,6,USC,85,3,Kansas,51
West,7,Oregon,95,2,Iowa,80
West,1,Gonzaga,83,5,Creighton,65
West,6,USC,82,7,Oregon,68
West,1,Gonzaga,85,6,USC,66
South,1,Baylor,81,3,Arkansas,72
South,1,Baylor,62,5,Villanova,51
South,3,Arkansas,72,15,Oral Roberts,70
South,1,Baylor,76,9,Wisconsin,63
South,5,Villanova,84,13,North Texas,61
South,6,Texas Tech,66,3,Arkansas,68
South,7,Florida,78,15,Oral Roberts,81
South,1,Baylor,79,16,Hartford,55
South,8,North Carolina,62,9,Wisconsin,85
South,5,Villanova,73,12,Winthrop,63
South,4,Purdue,69,13,North Texas,78
South,6,Texas Tech,65,11,Utah State,53
South,3,Arkansas,85,14,Colgate,68
South,7,Florida,75,10,Virginia Tech,70
South,2,Ohio State,72,15,Oral Roberts,75
Final Four,1,Gonzaga,93,11,UCLA,90
Final Four,1,Baylor,78,2,Houston,59
East,1,Michigan,82,16,Texas Southern,66
East,8,LSU,76,9,St Bonaventure,61
East,5,Colorado,96,12,Georgetown,73
East,4,Florida St,64,13,UNC Greensboro,54
East,6,BYU,62,11,UCLA,73
East,3,Texas,52,14,Abilene Chrstn,53
East,7,UConn,54,10,Maryland,63
East,2,Alabama,68,15,Iona,55
East,1,Michigan,86,8,LSU,78
East,5,Colorado,53,4,Florida St,71
East,11,UCLA,67,14,Abilene Chrstn,47
East,10,Maryland,77,2,Alabama,96
East,1,Michigan,76,4,Florida St,58
East,11,UCLA,88,2,Alabama,78
East,1,Michigan,49,11,UCLA,51
Midwest,12,Oregon St,61,2,Houston,67
Midwest,8,Loyola Chicago,58,12,Oregon St,65
Midwest,11,Syracuse,46,2,Houston,62
Midwest,1,Illinois,58,8,Loyola Chicago,71
Midwest,12,Oregon St,80,4,Oklahoma St,70
Midwest,11,Syracuse,75,3,West Virginia,72
Midwest,10,Rutgers,60,2,Houston,63
Midwest,1,Illinois,78,16,Drexel,49
Midwest,8,Loyola Chicago,71,9,Georgia Tech,60
Midwest,5,Tennessee,56,12,Oregon St,70
Midwest,4,Oklahoma St,69,13,Liberty,60
Midwest,6,San Diego St,62,11,Syracuse,78
Midwest,3,West Virginia,84,14,Morehead St,67
Midwest,7,Clemson,56,10,Rutgers,60
Midwest,2,Houston,87,15,Cleveland St,56
First Four,16,Norfolk St,54,16,App State,53
First Four,11,Wichita St,52,11,Drake,53
First Four,11,Michigan St,80,11,UCLA,86
First Four,16,Mount St Marys,52,16,Texas Southern,60
Championship,1,GONZ,70,1,BAY,86
