year,team,year_team,seed,Finish,First_Rd,Second_Rd,Sweet_Sixteen,Elite_Eight,Final_Four,Championship,Pts,AdjEM,AdjO,AdjD,AdjT,Luck,Seas_PPG,Seas_Succ_3PT,Seas_3PT_Per,Seas_FT_Succ,Seas_3PT_Rate,Seas_Off_Rebound_Per,Seas_Def_Rebound_Per,Seas_Turnovers,Seas_Fouls,Seas_Opp_PPG,Seas_Opp_3PT_Succ,Seas_Opp_3PT_Rate,Seas_Opp_Off_Rebound,Seas_Opp_Def_Rebound,Seas_Opp_Turnover,Seas_Opp_Fouls,Seas_Poss
2011,Xavier,2011Xavier,6,1,0,0,0,0,0,0,0,16.02,112.8,96.8,64.3,0.035,72.6,0.228,0.333,0.748,0.311,0.313,0.735,11.9,17.2,64.5,0.338,0.354,0.265,0.687,12.4,20.5,67.5
2011,Temple,2011Temple,7,2,1,0,0,0,0,0,1,16.84,110.5,93.7,64.2,0.014,70.9,0.258,0.354,0.694,0.301,0.31,0.733,10.7,15.9,62.2,0.351,0.276,0.267,0.69,13.1,17.3,67.6
2011,Texas A&M,2011Texas A&M,7,1,0,0,0,0,0,0,0,14.62,110.0,95.4,60.9,0.05,68.6,0.234,0.337,0.704,0.307,0.366,0.722,13.0,18.5,61.5,0.318,0.33,0.278,0.634,13.3,21.0,65.8
2011,UCLA,2011UCLA,7,2,1,0,0,0,0,0,1,13.57,108.7,95.1,65.5,0.033,70.0,0.222,0.328,0.683,0.294,0.348,0.707,14.6,17.5,65.8,0.343,0.253,0.293,0.652,11.9,19.0,68.8
2011,Washington,2011Washington,7,2,1,0,0,0,0,0,1,21.69,117.7,96.0,69.9,-0.099,83.5,0.317,0.371,0.667,0.368,0.37,0.707,12.3,20.2,70.4,0.322,0.281,0.293,0.63,14.8,19.2,74.5
2011,Butler,2011Butler,8,6,1,1,1,1,1,0,31,16.46,112.3,95.9,63.5,0.033,72.5,0.308,0.362,0.728,0.369,0.311,0.748,11.1,19.1,65.0,0.327,0.361,0.252,0.689,12.5,19.6,67.4
2011,George Mason,2011George Mason,8,2,1,0,0,0,0,0,1,18.3,114.1,95.8,64.5,0.028,73.3,0.275,0.397,0.69,0.31,0.305,0.708,10.9,17.2,61.5,0.313,0.327,0.292,0.695,13.3,19.9,66.6
2011,Michigan,2011Michigan,8,2,1,0,0,0,0,0,1,17.69,112.8,95.1,61.5,-0.014,65.5,0.372,0.354,0.7,0.432,0.238,0.721,9.9,16.8,62.6,0.327,0.373,0.279,0.762,11.4,16.6,63.3
2011,UNLV,2011UNLV,8,1,0,0,0,0,0,0,0,17.75,110.6,92.9,66.4,0.003,71.9,0.231,0.331,0.69,0.3,0.326,0.701,12.6,19.3,62.6,0.324,0.333,0.299,0.674,16.0,19.7,68.9
2011,Illinois,2011Illinois,9,2,1,0,0,0,0,0,1,20.14,113.3,93.1,64.8,-0.074,71.3,0.288,0.387,0.729,0.314,0.302,0.696,12.5,17.6,65.2,0.305,0.348,0.304,0.698,12.2,16.4,67.9
2011,Old Dominion,2011Old Dominion,9,1,0,0,0,0,0,0,0,14.66,110.0,95.4,60.4,0.059,65.8,0.222,0.329,0.664,0.275,0.448,0.747,12.3,14.7,58.3,0.37,0.374,0.253,0.552,11.0,18.1,62.0
2011,Tennessee,2011Tennessee,9,1,0,0,0,0,0,0,0,12.41,108.0,95.6,66.1,-0.013,70.6,0.221,0.304,0.683,0.298,0.368,0.708,13.1,19.5,67.3,0.332,0.367,0.292,0.632,14.0,19.1,69.6
2011,Villanova,2011Villanova,9,1,0,0,0,0,0,0,0,17.83,114.9,97.0,65.0,-0.04,72.7,0.262,0.349,0.758,0.329,0.335,0.73,11.8,17.4,65.6,0.321,0.363,0.27,0.665,11.8,19.8,68.3
