year,team,year_team,seed,Finish,First_Rd,Second_Rd,Sweet_Sixteen,Elite_Eight,Final_Four,Championship,Pts,AdjEM,AdjO,AdjD,AdjT,Luck,Seas_PPG,Seas_Succ_3PT,Seas_3PT_Per,Seas_FT_Succ,Seas_3PT_Rate,Seas_Off_Rebound_Per,Seas_Def_Rebound_Per,Seas_Turnovers,Seas_Fouls,Seas_Opp_PPG,Seas_Opp_3PT_Succ,Seas_Opp_3PT_Rate,Seas_Opp_Off_Rebound,Seas_Opp_Def_Rebound,Seas_Opp_Turnover,Seas_Opp_Fouls,Seas_Poss
2024,Connecticut,2024Connecticut,1,7,1,1,1,1,1,1,63,36.43,127.5,91.1,64.6,0.037,81.4,0.313,0.358,0.743,0.402,0.357,0.769,9.6,16.3,63.4,0.312,0.3289999999999999,0.231,0.643,10.6,16.6,67.9
2024,Houston,2024Houston,1,3,1,1,0,0,0,0,3,31.17,118.9,87.7,63.5,0.042,73.5,0.315,0.348,0.687,0.368,0.368,0.7170000000000001,8.9,17.8,57.6,0.301,0.401,0.283,0.632,15.8,16.2,66.4
2024,N Carolina,2024N Carolina,1,3,1,1,0,0,0,0,3,26.19,119.7,93.5,70.6,-0.038,81.9,0.298,0.359,0.759,0.361,0.317,0.795,10.1,16.5,70.5,0.321,0.358,0.205,0.6829999999999999,10.6,18.6,73.3
2024,Purdue,2024Purdue,1,6,1,1,1,1,1,0,31,30.62,125.2,94.6,67.0,0.048,82.3,0.297,0.4039999999999999,0.72,0.347,0.369,0.772,11.3,13.7,69.0,0.315,0.369,0.228,0.631,9.4,20.3,70.1
2024,Arizona,2024Arizona,2,3,1,1,0,0,0,0,3,26.55,120.2,93.7,72.2,-0.047,87.1,0.272,0.366,0.7170000000000001,0.3339999999999999,0.346,0.7929999999999999,11.9,16.4,72.1,0.3289999999999999,0.379,0.207,0.654,13.4,19.0,76.3
2024,Iowa St,2024Iowa St,2,3,1,1,0,0,0,0,3,26.47,113.9,87.5,67.2,0.002,75.3,0.263,0.358,0.7020000000000001,0.315,0.298,0.7190000000000001,10.4,16.5,61.5,0.315,0.452,0.281,0.7020000000000001,16.9,18.1,69.0
2024,Marquette,2024Marquette,2,3,1,1,0,0,0,0,3,23.02,118.2,95.2,69.1,0.035,78.1,0.34,0.352,0.703,0.411,0.242,0.713,10.0,15.0,69.8,0.337,0.428,0.287,0.758,14.7,14.6,71.0
2024,Tennessee,2024Tennessee,2,4,1,1,1,0,0,0,7,26.61,116.8,90.2,69.3,-0.026,78.8,0.3329999999999999,0.344,0.7509999999999999,0.411,0.316,0.736,10.2,17.5,67.4,0.312,0.411,0.264,0.684,13.0,18.1,71.6
2024,Baylor,2024Baylor,3,2,1,0,0,0,0,0,1,21.9,122.4,100.5,65.8,-0.016,79.9,0.327,0.395,0.735,0.389,0.33,0.75,12.0,16.7,71.1,0.3339999999999999,0.354,0.25,0.67,11.6,19.1,69.7
2024,Creighton,2024Creighton,3,3,1,1,0,0,0,0,3,24.22,120.9,96.7,66.8,-0.018,80.4,0.4,0.368,0.7879999999999999,0.485,0.239,0.768,10.6,11.5,69.9,0.3229999999999999,0.2789999999999999,0.2319999999999999,0.7609999999999999,7.6,14.8,70.5
2024,Illinois,2024Illinois,3,4,1,1,1,0,0,0,7,24.53,125.5,101.0,69.8,-0.004,83.4,0.3,0.349,0.736,0.385,0.341,0.7609999999999999,10.6,15.2,73.3,0.341,0.283,0.239,0.659,8.7,18.6,72.3
