year,round_index,round_name,team_left,team_right,left_seed,right_seed,seed_diff,seed_abs_diff,left_score,right_score,margin,left_win,AdjEM_left,AdjEM_right,AdjEM_diff,AdjO_left,AdjO_right,AdjO_diff,AdjD_left,AdjD_right,AdjD_diff,AdjT_left,AdjT_right,AdjT_diff,Luck_left,Luck_right,Luck_diff,Seas_PPG_left,Seas_PPG_right,Seas_PPG_diff,Seas_Succ_3PT_left,Seas_Succ_3PT_right,Seas_Succ_3PT_diff,Seas_3PT_Per_left,Seas_3PT_Per_right,Seas_3PT_Per_diff,Seas_FT_Succ_left,Seas_FT_Succ_right,Seas_FT_Succ_diff,Seas_3PT_Rate_left,Seas_3PT_Rate_right,Seas_3PT_Rate_diff,Seas_Off_Rebound_Per_left,Seas_Off_Rebound_Per_right,Seas_Off_Rebound_Per_diff,Seas_Def_Rebound_Per_left,Seas_Def_Rebound_Per_right,Seas_Def_Rebound_Per_diff,Seas_Turnovers_left,Seas_Turnovers_right,Seas_Turnovers_diff,Seas_Fouls_left,Seas_Fouls_right,Seas_Fouls_diff,Seas_Opp_PPG_left,Seas_Opp_PPG_right,Seas_Opp_PPG_diff,Seas_Opp_3PT_Succ_left,Seas_Opp_3PT_Succ_right,Seas_Opp_3PT_Succ_diff,Seas_Opp_3PT_Rate_left,Seas_Opp_3PT_Rate_right,Seas_Opp_3PT_Rate_diff,Seas_Opp_Off_Rebound_left,Seas_Opp_Off_Rebound_right,Seas_Opp_Off_Rebound_diff,Seas_Opp_Def_Rebound_left,Seas_Opp_Def_Rebound_right,Seas_Opp_Def_Rebound_diff,Seas_Opp_Turnover_left,Seas_Opp_Turnover_right,Seas_Opp_Turnover_diff,Seas_Opp_Fouls_left,Seas_Opp_Fouls_right,Seas_Opp_Fouls_diff,Seas_Poss_left,Seas_Poss_right,Seas_Poss_diff
2011,1,round_of_64,Duke,Hampton,1,16,-15,15,87,45,42,1,28.42,-4.21,32.63,119.7,94.4,25.299999999999997,91.3,98.7,-7.400000000000006,68.6,66.1,2.5,0.017,0.108,-0.091,81.1,66.9,14.199999999999989,0.296,0.288,0.008000000000000007,0.375,0.321,0.05399999999999999,0.75,0.647,0.10299999999999998,0.356,0.357,-0.0010000000000000009,0.333,0.278,0.05499999999999999,0.687,0.667,0.020000000000000018,12.2,11.9,0.29999999999999893,17.9,18.5,-0.6000000000000014,64.3,61.9,2.3999999999999986,0.316,0.312,0.0040000000000000036,0.242,0.309,-0.067,0.313,0.333,-0.020000000000000018,0.667,0.722,-0.05499999999999994,14.9,15.3,-0.40000000000000036,20.1,20.5,-0.3999999999999986,72.3,69.9,2.3999999999999915
2011,1,round_of_64,Florida,Santa Barbara,2,15,-13,13,79,51,28,1,20.61,3.15,17.46,115.8,103.7,12.099999999999994,95.2,100.5,-5.299999999999997,62.5,64.1,-1.5999999999999943,0.038,0.002,0.036,71.5,67.9,3.5999999999999943,0.26,0.308,-0.04799999999999999,0.356,0.37,-0.014000000000000012,0.666,0.765,-0.09899999999999998,0.311,0.367,-0.055999999999999994,0.363,0.274,0.08899999999999997,0.715,0.694,0.02100000000000002,12.4,14.1,-1.6999999999999993,14.4,19.7,-5.299999999999999,63.1,65.8,-2.6999999999999957,0.319,0.366,-0.046999999999999986,0.318,0.353,-0.034999999999999976,0.285,0.306,-0.02100000000000002,0.637,0.726,-0.08899999999999997,12.5,13.2,-0.6999999999999993,18.3,17.5,0.8000000000000007,66.6,67.1,-0.5
2011,1,round_of_64,Florida St,Texas A&M,10,7,3,3,57,50,7,1,16.76,14.62,2.1400000000000023,104.5,110.0,-5.5,87.7,95.4,-7.700000000000003,66.7,60.9,5.800000000000004,-0.017,0.05,-0.067,69.3,68.6,0.7000000000000028,0.268,0.234,0.034,0.33,0.337,-0.007000000000000006,0.663,0.704,-0.040999999999999925,0.334,0.307,0.027000000000000024,0.348,0.366,-0.018000000000000016,0.709,0.722,-0.013000000000000012,16.0,13.0,3.0,19.3,18.5,0.8000000000000007,62.3,61.5,0.7999999999999972,0.301,0.318,-0.017000000000000015,0.388,0.33,0.057999999999999996,0.291,0.278,0.012999999999999956,0.652,0.634,0.018000000000000016,15.4,13.3,2.0999999999999996,19.7,21.0,-1.3000000000000007,71.4,65.8,5.6000000000000085
2011,1,round_of_64,George Mason,Villanova,8,9,-1,1,61,57,4,1,18.3,17.83,0.4700000000000024,114.1,114.9,-0.8000000000000114,95.8,97.0,-1.2000000000000028,64.5,65.0,-0.5,0.028,-0.04,0.068,73.3,72.7,0.5999999999999943,0.275,0.262,0.013000000000000012,0.397,0.349,0.04800000000000004,0.69,0.758,-0.06800000000000006,0.31,0.329,-0.019000000000000017,0.305,0.335,-0.030000000000000027,0.708,0.73,-0.02200000000000002,10.9,11.8,-0.9000000000000004,17.2,17.4,-0.1999999999999993,61.5,65.6,-4.099999999999994,0.313,0.321,-0.008000000000000007,0.327,0.363,-0.035999999999999976,0.292,0.27,0.021999999999999964,0.695,0.665,0.029999999999999916,13.3,11.8,1.5,19.9,19.8,0.09999999999999787,66.6,68.3,-1.7000000000000028
2011,1,round_of_64,Georgetown,VCU,6,11,-5,5,56,74,-18,0,17.65,13.49,4.159999999999998,114.2,112.0,2.200000000000003,96.6,98.5,-1.9000000000000057,63.4,65.6,-2.1999999999999957,0.048,0.021,0.027,71.0,71.5,-0.5,0.297,0.343,-0.04600000000000004,0.36,0.359,0.0010000000000000009,0.732,0.719,0.013000000000000012,0.366,0.408,-0.04199999999999998,0.317,0.308,0.009000000000000008,0.697,0.66,0.03699999999999992,13.1,11.3,1.799999999999999,18.6,18.2,0.40000000000000213,66.1,67.4,-1.3000000000000114,0.33,0.355,-0.024999999999999967,0.289,0.291,-0.0020000000000000018,0.303,0.34,-0.03700000000000003,0.683,0.692,-0.008999999999999897,11.2,14.5,-3.3000000000000007,17.0,18.6,-1.6000000000000014,66.6,67.2,-0.6000000000000085
2011,1,round_of_64,Georgia,Washington,10,7,3,3,65,68,-3,0,12.24,21.69,-9.450000000000001,108.2,117.7,-9.5,95.9,96.0,-0.09999999999999432,63.5,69.9,-6.400000000000006,-0.003,-0.099,0.096,68.8,83.5,-14.700000000000003,0.206,0.317,-0.11100000000000002,0.34,0.371,-0.030999999999999972,0.696,0.667,0.028999999999999915,0.251,0.368,-0.11699999999999999,0.345,0.37,-0.025000000000000022,0.707,0.707,0.0,13.2,12.3,0.8999999999999986,16.5,20.2,-3.6999999999999993,64.3,70.4,-6.1000000000000085,0.322,0.322,0.0,0.32,0.281,0.03899999999999998,0.293,0.293,0.0,0.655,0.63,0.025000000000000022,11.9,14.8,-2.9000000000000004,17.1,19.2,-2.099999999999998,67.9,74.5,-6.599999999999994
2011,1,round_of_64,Gonzaga,St Johns,11,6,5,5,86,71,15,1,16.45,15.87,0.5800000000000001,112.1,111.2,0.8999999999999915,95.6,95.3,0.29999999999999716,66.1,66.0,0.09999999999999432,-0.007,0.047,-0.054,75.9,70.1,5.800000000000011,0.222,0.182,0.04000000000000001,0.356,0.33,0.025999999999999968,0.759,0.711,0.04800000000000004,0.284,0.24,0.043999999999999984,0.344,0.322,0.021999999999999964,0.732,0.687,0.04499999999999993,13.6,12.3,1.299999999999999,18.7,18.8,-0.10000000000000142,65.2,66.4,-1.2000000000000028,0.361,0.366,-0.0050000000000000044,0.357,0.403,-0.04600000000000004,0.268,0.313,-0.044999999999999984,0.656,0.678,-0.02200000000000002,14.5,15.8,-1.3000000000000007,20.4,20.5,-0.10000000000000142,70.2,67.8,2.4000000000000057
2011,1,round_of_64,Hampton,Duke,16,1,15,15,45,87,-42,0,-4.21,28.42,-32.63,94.4,119.7,-25.299999999999997,98.7,91.3,7.400000000000006,66.1,68.6,-2.5,0.108,0.017,0.091,66.9,81.1,-14.199999999999989,0.288,0.296,-0.008000000000000007,0.321,0.375,-0.05399999999999999,0.647,0.75,-0.10299999999999998,0.357,0.356,0.0010000000000000009,0.278,0.333,-0.05499999999999999,0.667,0.687,-0.020000000000000018,11.9,12.2,-0.29999999999999893,18.5,17.9,0.6000000000000014,61.9,64.3,-2.3999999999999986,0.312,0.316,-0.0040000000000000036,0.309,0.242,0.067,0.333,0.313,0.020000000000000018,0.722,0.667,0.05499999999999994,15.3,14.9,0.40000000000000036,20.5,20.1,0.3999999999999986,69.9,72.3,-2.3999999999999915
2011,1,round_of_64,Illinois,UNLV,9,8,1,1,73,62,11,1,20.14,17.75,2.3900000000000006,113.3,110.6,2.700000000000003,93.1,92.9,0.19999999999998863,64.8,66.4,-1.6000000000000085,-0.074,0.003,-0.077,71.3,71.9,-0.6000000000000085,0.288,0.231,0.05699999999999997,0.387,0.331,0.055999999999999994,0.729,0.69,0.039000000000000035,0.314,0.3,0.014000000000000012,0.302,0.326,-0.02400000000000002,0.696,0.701,-0.0050000000000000044,12.5,12.6,-0.09999999999999964,17.6,19.3,-1.6999999999999993,65.2,62.6,2.6000000000000014,0.305,0.324,-0.019000000000000017,0.348,0.333,0.014999999999999958,0.304,0.299,0.0050000000000000044,0.698,0.674,0.02399999999999991,12.2,16.0,-3.8000000000000007,16.4,19.7,-3.3000000000000007,67.9,68.9,-1.0
2011,1,round_of_64,Indiana St,Syracuse,14,3,11,11,60,77,-17,0,5.45,22.49,-17.04,102.8,114.9,-12.100000000000009,97.4,92.4,5.0,65.0,64.6,0.4000000000000057,0.051,0.032,0.018999999999999996,65.8,73.6,-7.799999999999997,0.308,0.259,0.04899999999999999,0.355,0.352,0.0030000000000000027,0.713,0.659,0.05399999999999994,0.362,0.316,0.045999999999999985,0.293,0.348,-0.05499999999999999,0.725,0.685,0.039999999999999925,13.8,12.1,1.700000000000001,20.3,15.3,5.0,64.8,63.3,1.5,0.329,0.312,0.017000000000000015,0.333,0.392,-0.059,0.275,0.315,-0.03999999999999998,0.707,0.652,0.05499999999999994,12.5,13.5,-1.0,19.8,17.4,2.400000000000002,67.1,68.4,-1.3000000000000114
