source,raw_team,normalized_team,canonical_team,match_method,year
games,Alabama,alabama,Alabama,season_exact,2012
games,Temple,temple,Temple,season_exact,2012
games,Michigan,michigan,Michigan,season_exact,2012
games,San Diego St,san diego st,San Diego St,global_alias,2012
games,Belmont,belmont,Belmont,season_exact,2012
games,Saint Mary's,st marys,St Marys,global_alias,2012
games,Detroit Mercy,detroit mercy,Detroit,global_alias,2012
games,UK,uk,Kentucky,abbreviation_alias,2012
games,KU,ku,Kansas,abbreviation_alias,2012
games,Louisville,louisville,Louisville,season_exact,2013
games,NC A&T,nc a and t,North Carolina A&T,global_alias,2013
games,Colorado St,colorado st,Colorado St,season_exact,2013
games,Missouri,missouri,Missouri,season_exact,2013
games,Oklahoma St,oklahoma st,Oklahoma St,season_exact,2013
games,Oregon,oregon,Oregon,season_exact,2013
games,Saint Louis,st louis,St Louis,season_exact,2013
games,New Mexico St,new mexico st,New Mexico St,season_exact,2013
games,Memphis,memphis,Memphis,season_exact,2013
games,Saint Mary's,st marys,St Marys,global_alias,2013
games,Michigan St,michigan st,Michigan St,global_alias,2013
games,Valparaiso,valparaiso,Valparaiso,season_exact,2013
games,Creighton,creighton,Creighton,season_exact,2013
games,Cincinnati,cincinnati,Cincinnati,season_exact,2013
games,Duke,duke,Duke,season_exact,2013
games,UAlbany,ualbany,Albany,global_alias,2013
games,Michigan,michigan,Michigan,season_exact,2013
games,Florida,florida,Florida,season_exact,2013
games,Kansas,kansas,Kansas,season_exact,2013
games,FGCU,fgcu,Florida Gulf Coast,global_alias,2013
games,North Carolina,north carolina,North Carolina,global_alias,2013
games,VCU,vcu,VCU,season_exact,2013
games,Minnesota,minnesota,Minnesota,season_exact,2013
games,San Diego St,san diego st,San Diego St,global_alias,2013
games,Western KY,western ky,Western Kentucky,season_fuzzy,2013
games,Villanova,villanova,Villanova,season_exact,2013
games,Akron,akron,Akron,season_exact,2013
games,S Dakota St,south dakota st,South Dakota St,global_alias,2013
games,UCLA,ucla,UCLA,season_exact,2013
games,N'Western St,northwestern st,Northwestern St,season_exact,2013
games,Oklahoma,oklahoma,Oklahoma,season_exact,2013
games,Georgetown,georgetown,Georgetown,season_exact,2013
games,Wichita St,wichita st,Wichita St,season_exact,2013
games,Syracuse,syracuse,Syracuse,season_exact,2013
games,Gonzaga,gonzaga,Gonzaga,season_exact,2013
games,Southern,southern,Southern,season_exact,2013
games,Pitt,pitt,Pittsburgh,global_alias,2013
games,Wisconsin,wisconsin,Wisconsin,season_exact,2013
games,Ole Miss,mississippi,Ole Miss,global_alias,2013
games,Kansas St,kansas st,Kansas St,season_exact,2013
games,La Salle,la salle,La Salle,season_exact,2013
games,Arizona,arizona,Arizona,season_exact,2013
games,Belmont,belmont,Belmont,season_exact,2013
games,New Mexico,new mexico,New Mexico,season_exact,2013
games,Harvard,harvard,Harvard,season_exact,2013
games,Notre Dame,notre dame,Notre Dame,season_exact,2013
games,Iowa State,iowa state,Iowa St,global_alias,2013
games,Ohio State,ohio state,Ohio St,global_alias,2013
games,Iona,iona,Iona,season_exact,2013
games,Marquette,marquette,Marquette,season_exact,2013
games,Indiana,indiana,Indiana,season_exact,2013
games,Miami,miami,Miami,global_alias,2013
games,Temple,temple,Temple,season_exact,2013
games,California,california,California,season_exact,2013
games,Butler,butler,Butler,season_exact,2013
games,Illinois,illinois,Illinois,season_exact,2013
games,James Madison,james madison,James Madison,season_exact,2013
games,NC State,nc state,NC State,season_exact,2013
games,UNLV,unlv,UNLV,season_exact,2013
games,Montana,montana,Montana,season_exact,2013
games,Bucknell,bucknell,Bucknell,season_exact,2013
games,Davidson,davidson,Davidson,season_exact,2013
games,Colorado,colorado,Colorado,season_exact,2013
games,Pacific,pacific,Pacific,season_exact,2013
games,LOU,lou,Louisville,abbreviation_alias,2013
games,MICH,mich,Michigan,abbreviation_alias,2013
games,Florida,florida,Florida,season_exact,2014
games,UAlbany,ualbany,Albany,global_alias,2014
games,Colorado,colorado,Colorado,season_exact,2014
games,Pitt,pitt,Pittsburgh,global_alias,2014
games,VCU,vcu,VCU,season_exact,2014
games,SF Austin,stephen f austin,Stephen F Austin,global_alias,2014
games,UCLA,ucla,UCLA,season_exact,2014
games,Tulsa,tulsa,Tulsa,season_exact,2014
games,Ohio State,ohio state,Ohio St,global_alias,2014
games,Dayton,dayton,Dayton,season_exact,2014
games,Syracuse,syracuse,Syracuse,season_exact,2014
games,W Michigan,western michigan,Western Michigan,season_exact,2014
games,New Mexico,new mexico,New Mexico,season_exact,2014
games,Stanford,stanford,Stanford,season_exact,2014
games,Kansas,kansas,Kansas,season_exact,2014
games,E Kentucky,eastern kentucky,Eastern Kentucky,season_exact,2014
games,Arizona,arizona,Arizona,season_exact,2014
games,Wisconsin,wisconsin,Wisconsin,season_exact,2014
games,San Diego St,san diego st,San Diego St,global_alias,2014
games,Baylor,baylor,Baylor,season_exact,2014
games,Gonzaga,gonzaga,Gonzaga,season_exact,2014
games,N Dakota St,north dakota st,North Dakota St,global_alias,2014
games,Creighton,creighton,Creighton,season_exact,2014
games,Oregon,oregon,Oregon,season_exact,2014
games,Weber St,weber st,Weber St,season_exact,2014
games,Oklahoma St,oklahoma st,Oklahoma St,season_exact,2014
games,Oklahoma,oklahoma,Oklahoma,season_exact,2014
games,New Mexico St,new mexico st,New Mexico St,season_exact,2014
games,Nebraska,nebraska,Nebraska,season_exact,2014
games,Louisiana,louisiana,Louisiana Lafayette,global_alias,2014
games,BYU,byu,BYU,season_exact,2014
games,American,american,American,season_exact,2014
games,UConn,uconn,Connecticut,global_alias,2014
games,Kentucky,kentucky,Kentucky,season_exact,2014
games,Virginia,virginia,Virginia,season_exact,2014
games,Coastal,coastal,Coastal Carolina,global_alias,2014
games,Memphis,memphis,Memphis,season_exact,2014
games,G Washington,george washington,George Washington,season_fuzzy,2014
games,Cincinnati,cincinnati,Cincinnati,season_exact,2014
games,Harvard,harvard,Harvard,season_exact,2014
games,Michigan St,michigan st,Michigan St,global_alias,2014
games,Delaware,delaware,Delaware,season_exact,2014
games,North Carolina,north carolina,North Carolina,global_alias,2014
games,Providence,providence,Providence,season_exact,2014
games,Iowa State,iowa state,Iowa St,global_alias,2014
games,NC Central,nc central,North Carolina Central,global_alias,2014
games,Saint Joseph's,st joseph s,St Josephs,global_alias,2014
games,Villanova,villanova,Villanova,season_exact,2014
games,Milwaukee,milwaukee,Wisconsin Milwaukee,global_alias,2014
games,Michigan,michigan,Michigan,season_exact,2014
games,Louisville,louisville,Louisville,season_exact,2014
games,Tennessee,tennessee,Tennessee,season_exact,2014
games,Wichita St,wichita st,Wichita St,season_exact,2014
games,Saint Louis,st louis,St Louis,season_exact,2014
games,Mercer,mercer,Mercer,season_exact,2014
games,Texas,texas,Texas,season_exact,2014
games,Cal Poly,cal poly,Cal Poly,season_exact,2014
games,Kansas St,kansas st,Kansas St,season_exact,2014
games,NC State,nc state,NC State,season_exact,2014
games,Manhattan,manhattan,Manhattan,season_exact,2014
games,UMass,umass,Massachusetts,global_alias,2014
games,Duke,duke,Duke,season_exact,2014
games,Arizona St,arizona st,Arizona St,season_exact,2014
games,Wofford,wofford,Wofford,season_exact,2014
games,CONN,conn,Connecticut,global_alias,2014
games,UK,uk,Kentucky,abbreviation_alias,2014
games,Kentucky,kentucky,Kentucky,season_exact,2015
games,Hampton,hampton,Hampton,season_exact,2015
games,Cincinnati,cincinnati,Cincinnati,season_exact,2015
games,Purdue,purdue,Purdue,season_exact,2015
games,West Virginia,west virginia,West Virginia,season_exact,2015
games,Buffalo,buffalo,Buffalo,season_exact,2015
games,Maryland,maryland,Maryland,season_exact,2015
games,Valparaiso,valparaiso,Valparaiso,season_exact,2015
games,Butler,butler,Butler,season_exact,2015
games,Texas,texas,Texas,season_exact,2015
games,Notre Dame,notre dame,Notre Dame,season_exact,2015
games,Northeastern,northeastern,Northeastern,season_exact,2015
games,Wichita St,wichita st,Wichita St,season_exact,2015
games,Indiana,indiana,Indiana,season_exact,2015
games,Kansas,kansas,Kansas,season_exact,2015
games,New Mexico St,new mexico st,New Mexico St,season_exact,2015
games,Louisville,louisville,Louisville,season_exact,2015
games,Michigan St,michigan st,Michigan St,global_alias,2015
games,NC State,nc state,NC State,season_exact,2015
games,Oklahoma,oklahoma,Oklahoma,season_exact,2015
games,Villanova,villanova,Villanova,season_exact,2015
games,Northern Iowa,northern iowa,Northern Iowa,season_exact,2015
games,Dayton,dayton,Dayton,season_exact,2015
games,Virginia,virginia,Virginia,season_exact,2015
games,Lafayette,lafayette,Lafayette,season_exact,2015
games,LSU,lsu,LSU,season_exact,2015
games,Wyoming,wyoming,Wyoming,season_exact,2015
games,UC Irvine,uc irvine,UC Irvine,season_exact,2015
games,Providence,providence,Providence,season_exact,2015
games,UAlbany,ualbany,Albany,global_alias,2015
games,Georgia,georgia,Georgia,season_exact,2015
games,Belmont,belmont,Belmont,season_exact,2015
games,Wisconsin,wisconsin,Wisconsin,season_exact,2015
games,Duke,duke,Duke,season_exact,2015
games,Coastal,coastal,Coastal Carolina,global_alias,2015
games,Oregon,oregon,Oregon,season_exact,2015
games,Oklahoma St,oklahoma st,Oklahoma St,season_exact,2015
games,Arkansas,arkansas,Arkansas,season_exact,2015
games,Wofford,wofford,Wofford,season_exact,2015
games,North Carolina,north carolina,N Carolina,global_alias,2015
games,Harvard,harvard,Harvard,season_exact,2015
games,Xavier,xavier,Xavier,season_exact,2015
games,Ole Miss,mississippi,Mississippi,global_alias,2015
games,Baylor,baylor,Baylor,season_exact,2015
games,Georgia St,georgia st,Georgia St,season_exact,2015
games,VCU,vcu,VCU,season_exact,2015
games,Ohio State,ohio state,Ohio St,global_alias,2015
games,Arizona,arizona,Arizona,season_exact,2015
games,Texas Southern,texas southern,Texas Southern,season_exact,2015
games,Gonzaga,gonzaga,Gonzaga,season_exact,2015
games,Utah,utah,Utah,season_exact,2015
games,UCLA,ucla,UCLA,season_exact,2015
games,San Diego St,san diego st,San Diego St,global_alias,2015
games,Georgetown,georgetown,Georgetown,season_exact,2015
games,UAB,uab,UAB,season_exact,2015
games,Iowa,iowa,Iowa,season_exact,2015
games,Robert Morris,robert morris,Robert Morris,season_exact,2015
games,St John's,st john s,St Johns,global_alias,2015
games,SF Austin,stephen f austin,SF Austin,global_alias,2015
games,E Washington,east washington,Eastern Washington,season_fuzzy,2015
games,SMU,smu,SMU,season_exact,2015
games,Iowa State,iowa state,Iowa St,global_alias,2015
games,Davidson,davidson,Davidson,season_exact,2015
games,N Dakota St,north dakota st,N Dakota St,global_alias,2015
games,Kansas,kansas,Kansas,season_exact,2016
games,Austin Peay,austin peay,Austin Peay,season_exact,2016
games,Colorado,colorado,Colorado,season_exact,2016
games,UConn,uconn,Connecticut,global_alias,2016
games,Maryland,maryland,Maryland,season_exact,2016
games,S Dakota St,south dakota st,South Dakota St,global_alias,2016
games,California,california,California,season_exact,2016
games,Hawai'i,hawai i,Hawaii,global_alias,2016
games,Arizona,arizona,Arizona,season_exact,2016
games,Wichita St,wichita st,Wichita St,season_exact,2016
games,Miami,miami,Miami,global_alias,2016
games,Buffalo,buffalo,Buffalo,season_exact,2016
games,Iowa,iowa,Iowa,season_exact,2016
games,Temple,temple,Temple,season_exact,2016
games,Villanova,villanova,Villanova,season_exact,2016
games,UNC Asheville,unc asheville,UNC Asheville,season_exact,2016
games,North Carolina,north carolina,North Carolina,global_alias,2016
games,Notre Dame,notre dame,Notre Dame,season_exact,2016
games,Indiana,indiana,Indiana,season_exact,2016
