team,Seas_3PT_Per
Sacramento St,0.319
Georgetown,0.318
Grand Canyon,0.318
New Orleans,0.318
Alabama St,0.318
Marquette,0.318
Jacksonville,0.317
Hou Christian,0.317
E Illinois,0.317
Illinois Chicago,0.317
Maryland,0.317
Stonehill,0.317
Morgan St,0.317
Loyola Chi,0.317
USC,0.317
McNeese,0.316
Hawai'i,0.316
Indiana St,0.316
UC Riverside,0.316
Presbyterian,0.316
Memphis,0.316
NC A&T,0.316
VMI,0.315
Washington,0.315
SC Upstate,0.314
Longwood,0.314
Pepperdine,0.314
Jackson St,0.314
Ball St,0.314
E Texas A&M,0.313
Maine,0.312
Tenn Tech,0.311
South Carolina,0.311
Rhode Island,0.311
Abl Christian,0.31
Gardner-Webb,0.31
Saint Peter's,0.31
W Illinois,0.309
N Illinois,0.309
SE Missouri St,0.309
Florida,0.308
Saint Joseph's,0.308
Coppin St,0.307
N Alabama,0.307
Bucknell,0.306
Georgia St,0.306
Charleston,0.306
Air Force,0.306
New Hampshire,0.305
Seton Hall,0.305
Siena,0.304
App State,0.304
NJIT,0.304
UT Martin,0.303
Brown,0.303
F Dickinson,0.303
New Haven,0.302
Ohio,0.301
La Salle,0.3
Bryant,0.3
Portland,0.299
S Indiana,0.299
Miss Valley St,0.295
Lindenwood,0.294
Boston College,0.294
Towson,0.294
E Carolina,0.293
UTSA,0.292
UT Arlington,0.29100000000000004
CS Bakersfield,0.29
Maryland ES,0.29
Southern Miss,0.289
Fordham,0.289
Hampton,0.28800000000000003
N Texas,0.287
Louisiana Tech,0.285
Kansas City,0.284
Delaware St,0.284
SE Louisiana,0.284
S Illinois,0.278
UAB,0.278
Rider,0.27699999999999997
