team,Seas_Fouls
N Texas,19.6
Prairie View,19.6
New Orleans,19.6
Cal Poly,19.6
Chattanooga,19.7
Santa Clara,19.7
Portland St,19.7
AR-Pine Bluff,19.7
Queens,19.7
S Florida,19.8
Hampton,19.8
Oral Roberts,19.8
Winthrop,19.8
Duquesne,19.8
Cornell,19.8
Texas So,19.9
Norfolk St,20.0
New Mexico St,20.0
W Kentucky,20.0
Longwood,20.0
Kent St,20.1
CS Bakersfield,20.1
Saint Peter's,20.1
Memphis,20.3
Long Beach St,20.4
North Dakota,20.4
Tarleton St,20.5
Texas A&M-CC,20.5
Marshall,20.5
SE Missouri St,20.6
Kennesaw St,20.7
UMass,21.0
Wyoming,21.1
Abl Christian,21.3
Morgan St,21.4
Miss Valley St,21.5
UNLV,21.6
S Carolina St,21.7
IU Indy,22.0
Charleston So,22.2
