team,Seas_Opp_PPG
Southern,80.2
Georgia So,80.3
W Georgia,80.5
S Carolina St,80.6
Xavier,80.6
Kent St,80.7
Radford,80.8
Charleston So,81.0
Northeastern,81.0
Coppin St,81.0
S Utah,81.3
CS Northridge,81.3
South Dakota,81.7
Mississippi St,81.8
Kansas St,81.8
AR-Pine Bluff,81.9
NC Greensboro,81.9
CS Fullerton,82.2
Oakland,82.8
Oklahoma St,82.9
UTSA,82.9
E Kentucky,83.1
St Francis PA,83.1
Queens,83.2
VMI,83.2
Bellarmine,83.3
CS Bakersfield,83.4
Alabama,83.5
Sacramento St,83.6
Miss Valley St,83.7
Jackson St,83.8
Providence,84.0
Denver,84.0
Cornell,84.6
Kansas City,84.8
Cal Poly,85.3
UL Monroe,85.4
Gardner-Webb,86.7
Cleveland St,88.6
IU Indy,89.2
N Florida,89.6
