team,Seas_Poss
Northwestern,67.3
Maryland ES,67.3
Mercyhurst,67.3
Charlotte,67.2
Incarnate Word,67.2
Navy,67.2
Houston,67.2
Clemson,67.2
Rider,67.2
Bryant,67.2
NW State,67.1
Jacksonville,67.0
Holy Cross,67.0
Drexel,67.0
C Connecticut,66.9
Green Bay,66.8
Maine,66.7
Boston U,66.7
Purdue,66.7
N Arizona,66.7
Liberty,66.7
Princeton,66.6
Pittsburgh,66.6
Delaware,66.5
Vermont,66.5
Hou Christian,66.5
App State,66.4
Canisius,66.3
George Mason,66.3
F Dickinson,66.3
West Virginia,66.3
Fordham,66.2
Harvard,66.2
Davidson,66.1
Louisiana,66.1
Merrimack,66.0
Towson,65.9
Siena,65.9
Minnesota,65.5
Colorado St,65.5
N Iowa,65.3
Niagara,65.1
Iowa,64.8
New Haven,64.7
