year,team,year_team,seed,Finish,First_Rd,Second_Rd,Sweet_Sixteen,Elite_Eight,Final_Four,Championship,Pts,AdjEM,AdjO,AdjD,AdjT,Luck,Seas_PPG,Seas_Succ_3PT,Seas_3PT_Per,Seas_FT_Succ,Seas_3PT_Rate,Seas_Off_Rebound_Per,Seas_Def_Rebound_Per,Seas_Turnovers,Seas_Fouls,Seas_Opp_PPG,Seas_Opp_3PT_Succ,Seas_Opp_3PT_Rate,Seas_Opp_Off_Rebound,Seas_Opp_Def_Rebound,Seas_Opp_Turnover,Seas_Opp_Fouls,Seas_Poss
2012,Montana,2012Montana,13,1,0,0,0,0,0,0,0,6.76,103.7,96.9,64.2,0.064,71.2,0.27,0.383,0.719,0.316,0.255,0.691,12.3,18.6,62.2,0.324,0.291,0.309,0.745,14.6,18.5,67.9
2012,Harvard,2012Harvard,12,1,0,0,0,0,0,0,0,14.34,108.8,94.4,60.7,0.027,65.1,0.267,0.355,0.75,0.344,0.293,0.758,12.3,15.2,55,0.336,0.268,0.242,0.707,12,18.5,62.2
2012,Texas,2012Texas,11,1,0,0,0,0,0,0,0,15.9,112.9,97,64.9,-0.065,73.1,0.236,0.327,0.731,0.311,0.368,0.674,12.3,19.5,66.8,0.353,0.308,0.326,0.632,13.5,21.1,68.9
2012,West Virginia,2012West Virginia,10,1,0,0,0,0,0,0,0,13.56,111.4,97.9,64,-0.019,71.6,0.224,0.302,0.671,0.303,0.388,0.714,12.6,16.7,66.2,0.317,0.304,0.286,0.612,13.5,20.3,68.4
2012,Southern Mississippi,2012Southern Mississippi,9,1,0,0,0,0,0,0,0,10.83,111.2,100.4,63.8,0.041,70.7,0.261,0.356,0.737,0.3,0.35,0.735,10.5,19.1,66.2,0.361,0.302,0.265,0.65,13.8,20.3,67.3
2012,Vermont,2012Vermont,16,1,0,0,0,0,0,0,0,5.17,105.3,100.1,61.9,-0.024,67.2,0.241,0.346,0.742,0.296,0.327,0.717,12,17.3,60.5,0.318,0.317,0.283,0.673,12.6,18.7,65
2012,Detroit,2012Detroit,15,1,0,0,0,0,0,0,0,5.48,108.1,102.6,67.1,-0.008,70.9,0.189,0.295,0.741,0.276,0.341,0.692,12.5,19.3,67.9,0.37,0.346,0.308,0.659,14.8,20,68.3
2012,Belmont,2012Belmont,14,1,0,0,0,0,0,0,0,16.96,117.1,100.1,67.2,-0.017,81.4,0.325,0.381,0.736,0.399,0.32,0.69,11.9,18.2,67.5,0.337,0.309,0.31,0.68,14.1,19.3,70.5
2012,South Florida,2012South Florida,12,2,1,0,0,0,0,0,1,13.13,103.9,90.8,58.5,0.04,58.8,0.234,0.311,0.71,0.303,0.318,0.704,13,15.4,57.3,0.306,0.324,0.296,0.682,11,16.1,61.2
2012,NC State,2012NC State,11,3,1,1,0,0,0,0,3,14.22,112.1,97.9,67,-0.004,73.4,0.219,0.355,0.708,0.261,0.348,0.713,12.8,17,68,0.338,0.33,0.287,0.652,12.1,17.7,69.4
2012,Purdue,2012Purdue,10,2,1,0,0,0,0,0,1,16.25,116.2,99.9,64.3,-0.003,72.2,0.341,0.377,0.652,0.376,0.294,0.71,8.5,17.7,66,0.356,0.332,0.29,0.706,12.6,17.5,66.1
2012,Alabama,2012Alabama,9,1,0,0,0,0,0,0,0,16.69,106.1,89.5,61.9,-0.067,64.9,0.186,0.285,0.715,0.271,0.32,0.705,12.8,18.4,58.1,0.283,0.329,0.295,0.68,13.3,16.4,65
2013,Louisville,2013Louisville,1,7,1,1,1,1,1,1,63,32.92,117.7,84.8,65.8,-0.016,73.6,0.238,0.331,0.711,0.303,0.379,0.693,12.6,17.7,58,0.312,0.335,0.307,0.621,18.6,19,69.2
